<j>	var(j)
1.204	0.256
2.626	0.358
3.362	0.422
4.911	1.352
6.707	1.373
7.822	1.241
8.789	0.943
9.561	0.665
10.224	0.755
11.369	1.945
13.300	1.772
14.288	0.946
14.898	0.783
15.565	1.198
16.870	2.600
18.773	3.557
20.541	3.697
21.917	2.432
22.750	1.704
23.390	1.406
24.000	1.608
24.844	2.831
26.404	4.692
28.262	4.365
29.621	4.809
31.093	6.213
32.763	5.873
34.097	4.328
35.035	3.393
35.799	2.959
36.510	2.887
37.255	3.250
38.156	4.043
39.295	4.958
40.623	5.653
42.022	6.298
43.470	7.127
44.984	8.257
46.602	9.079
48.211	8.193
49.526	6.149
50.473	4.539
51.190	3.649
51.798	3.286
52.385	3.507
53.066	4.627
54.029	6.950
55.479	9.490
57.253	9.151
58.721	6.019
59.617	3.631
60.179	2.702
60.639	2.597
61.131	3.104
61.779	4.373
62.748	6.386
64.134	7.932
65.669	7.259
66.925	5.716
67.901	6.013
69.004	9.543
70.776	16.086
73.367	19.434
75.833	15.020
77.457	10.784
78.591	10.093
79.673	11.285
80.887	12.775
82.237	13.311
83.591	12.273
84.793	10.225
85.774	8.282
86.576	7.047
87.278	6.521
87.949	6.488
88.643	6.730
89.386	7.047
90.182	7.252
91.014	7.313
91.862	7.392
92.734	7.857
93.678	9.172
94.795	11.665
96.205	15.052
97.945	17.887
99.849	18.328
101.631	16.472
103.137	14.165
104.391	12.419
105.480	11.064
106.450	9.814
107.310	8.658
108.084	7.702
108.781	7.029
109.438	6.558
110.069	6.188
110.679	5.862
111.279	5.597
111.864	5.490
112.466	5.620
113.100	6.040
113.811	6.768
114.622	7.776
115.573	9.090
116.681	10.626
117.958	12.007
119.350	12.431
120.719	11.476
121.930	9.896
122.959	9.005
123.917	9.733
124.983	12.643
126.392	18.277
128.356	25.932
130.899	31.432
133.585	29.551
135.799	22.077
137.329	15.021
138.348	10.992
139.107	9.508
139.790	9.710
140.511	10.983
141.346	13.028
142.349	15.432
143.537	17.584
144.855	18.557
146.215	17.922
147.481	16.009
148.595	13.839
149.553	12.352
150.415	11.892
151.268	12.518
152.169	13.741
153.182	15.082
154.276	15.718
155.408	15.147
156.479	13.399
157.409	11.034
158.177	8.785
158.794	7.110
159.308	6.208
159.776	6.200
160.268	7.162
160.865	9.435
161.679	13.317
162.840	18.740
164.450	24.367
166.399	27.065
168.403	25.124
170.133	20.353
171.470	15.844
172.508	13.247
173.384	12.813
174.259	14.870
175.310	20.238
176.744	29.634
178.796	42.037
181.521	51.516
184.504	50.727
187.144	40.688
189.102	29.225
190.459	21.335
191.448	17.158
192.252	15.460
192.992	15.479
193.751	16.721
194.578	18.813
195.525	21.675
196.616	24.815
197.855	27.561
199.217	29.327
200.640	29.490
202.032	27.954
203.333	25.378
204.502	22.376
205.518	19.548
206.410	17.343
207.211	15.849
207.945	14.976
208.651	14.731
209.360	15.033
210.089	15.658
210.863	16.534
211.685	17.548
212.568	18.538
213.502	19.401
214.478	20.253
215.502	21.147
216.565	22.055
217.674	23.271
218.837	24.746
220.070	26.337
221.369	27.940
222.731	29.442
224.146	30.544
225.585	31.019
227.024	30.920
228.436	30.048
229.778	28.339
231.028	25.988
232.166	23.279
233.179	20.424
234.063	17.729
234.836	15.397
235.519	13.515
236.120	12.090
236.668	11.148
237.187	10.737
237.697	10.939
238.226	11.823
238.816	13.750
239.520	17.269
240.415	22.942
241.618	31.237
243.240	41.860
245.345	52.354
247.838	58.135
250.407	56.015
252.731	47.994
254.621	38.751
256.114	31.934
257.327	28.267
258.411	27.086
259.460	27.371
260.518	28.154
261.604	28.645
262.705	28.303
263.797	26.917
264.816	24.646
265.749	21.872
266.579	18.914
267.298	16.169
267.919	13.846
268.453	12.085
268.932	10.860
269.372	10.192
269.795	10.122
270.220	10.700
270.685	12.056
271.224	14.347
271.886	17.794
272.702	22.400
273.739	28.023
275.040	33.982
