<j>	<F>
1.246	20.230
3.002	11.614
4.179	10.899
5.196	11.156
6.054	12.657
7.215	14.244
8.585	11.436
9.532	12.759
11.137	12.035
12.467	10.583
13.346	11.228
14.237	12.121
15.522	12.358
17.083	11.206
18.031	11.225
18.729	12.104
19.440	13.182
20.367	13.905
21.485	13.901
22.544	14.000
23.572	14.107
24.454	14.529
25.219	15.242
25.953	16.296
27.164	16.473
29.093	14.762
30.675	13.425
31.542	13.609
32.236	14.311
32.927	15.043
33.572	15.907
34.280	16.811
35.332	17.132
37.147	16.169
39.808	13.824
41.635	12.461
42.412	12.610
42.895	13.301
43.428	14.089
44.281	14.625
45.741	14.402
47.409	13.629
48.442	13.460
48.965	14.006
49.355	14.857
49.803	15.762
50.462	16.488
51.539	16.680
53.142	16.083
54.823	15.228
56.019	14.925
56.793	15.189
57.394	15.734
57.978	16.367
58.650	16.940
59.487	17.312
60.515	17.419
61.770	17.250
63.403	16.673
65.358	15.704
66.991	14.983
67.989	14.930
68.712	15.273
69.718	15.532
71.816	15.022
75.277	13.426
78.235	12.082
79.887	11.641
80.863	11.647
81.528	11.842
82.019	12.149
82.413	12.533
82.769	12.968
83.130	13.433
83.534	13.903
84.024	14.346
84.639	14.722
85.397	15.001
86.277	15.179
87.216	15.298
88.165	15.402
89.127	15.502
90.162	15.565
91.359	15.523
92.776	15.327
94.368	15.005
96.028	14.643
97.668	14.305
99.207	14.028
100.538	13.860
101.581	13.844
102.343	13.988
102.904	14.265
103.376	14.624
103.884	14.998
104.575	15.298
105.638	15.400
107.221	15.187
109.191	14.710
111.084	14.234
112.559	13.974
113.597	13.948
114.312	14.100
114.816	14.377
115.205	14.740
115.554	15.151
115.940	15.571
116.451	15.949
117.223	16.198
118.438	16.198
120.167	15.874
122.099	15.379
123.721	15.024
124.895	14.926
125.834	14.991
126.834	15.072
128.244	15.007
130.480	14.609
133.632	13.826
136.870	12.976
139.228	12.448
140.648	12.274
141.519	12.316
142.151	12.459
142.720	12.639
143.321	12.820
144.011	12.980
144.815	13.103
145.727	13.188
