<j>	<j^2>
1.246	1.939
3.002	9.934
4.179	18.342
5.196	27.698
6.054	37.357
7.215	53.391
8.585	74.684
9.532	92.385
11.137	126.278
12.467	156.956
13.346	179.538
14.237	204.542
15.522	243.757
17.083	294.056
18.031	326.577
18.729	352.074
19.440	379.360
20.367	416.628
21.485	463.430
22.544	510.074
23.572	557.258
24.454	599.368
25.219	637.110
25.953	675.066
27.164	740.910
29.093	850.302
30.675	943.394
31.542	996.598
32.236	1040.712
32.927	1085.557
33.572	1128.337
34.280	1176.835
35.332	1251.373
37.147	1386.186
39.808	1591.893
41.635	1736.924
42.412	1800.651
42.895	1841.758
43.428	1888.382
44.281	1964.930
45.741	2098.100
47.409	2252.131
48.442	2348.885
48.965	2398.961
49.355	2437.242
49.803	2482.043
50.462	2548.969
51.539	2660.469
53.142	2829.618
54.823	3010.228
56.019	3141.222
56.793	3227.677
57.394	3296.038
57.978	3363.413
58.650	3442.131
59.487	3541.618
60.515	3665.612
61.770	3820.354
63.403	4026.769
65.358	4278.839
66.991	4492.725
67.989	4625.740
68.712	4725.186
69.718	4868.399
71.816	5174.629
75.277	5688.213
78.235	6135.372
79.887	6390.780
80.863	6544.821
81.528	6651.073
82.019	6730.245
82.413	6794.623
82.769	6853.214
83.130	6913.104
83.534	6980.868
84.024	7063.502
84.639	7167.815
85.397	7297.415
86.277	7448.735
87.216	7611.765
88.165	7778.220
89.127	7949.099
90.162	8135.487
91.359	8354.216
92.776	8616.624
94.368	8915.745
96.028	9232.295
97.668	9550.045
99.207	9852.218
100.538	10116.182
101.581	10324.893
102.343	10478.530
102.904	10592.714
103.376	10690.054
103.884	10796.103
104.575	10942.242
105.638	11169.011
107.221	11509.664
109.191	11937.326
111.084	12352.396
112.559	12678.712
113.597	12910.629
114.312	13071.576
114.816	13186.009
115.205	13274.745
115.554	13355.485
115.940	13445.246
116.451	13565.352
117.223	13748.399
118.438	14038.283
120.167	14453.963
122.099	14921.293
123.721	15316.968
124.895	15606.664
125.834	15842.056
126.834	16097.354
128.244	16463.752
130.480	17053.104
133.632	17893.180
136.870	18764.287
139.228	19404.521
140.648	19794.412
141.519	20036.453
142.151	20214.494
142.720	20376.502
143.321	20549.369
144.011	20748.775
144.815	20982.289
145.727	21247.924
146.701	21532.951
147.671	21817.773
148.578	22085.477
149.406	22331.518
150.192	22566.996
151.015	22816.318
151.983	23112.410
153.201	23487.684
154.705	23954.000
156.386	24477.395
157.998	24981.414
159.321	25396.652
160.290	25702.246
160.968	25917.145
161.452	26071.627
161.825	26191.373
162.145	26294.621
162.452	26394.186
162.776	26499.934
163.144	26620.549
163.584	26765.035
164.128	26944.555
164.828	27177.217
165.793	27500.543
167.256	27996.250
169.610	28804.008
173.077	30005.197
176.941	31355.900
180.018	32440.576
182.012	33150.910
183.288	33610.148
184.177	33933.000
184.853	34179.777
185.398	34380.039
185.862	34551.145
186.277	34705.359
186.671	34851.859
187.061	34997.445
187.458	35146.379
187.870	35300.820
188.296	35461.344
188.738	35627.848
189.197	35801.664
189.689	35988.855
190.256	36205.871
190.989	36488.590
192.055	36903.285
193.689	37543.047
196.026	38462.656
198.777	39550.148
201.290	40548.848
203.186	41307.891
204.575	41870.109
205.729	42342.793
206.849	42806.066
208.031	43297.809
209.282	43820.168
210.543	44349.105
211.733	44849.133
212.781	45291.629
213.667	45666.848
214.414	45984.633
215.077	46268.832
215.734	46553.285
216.490	46883.191
217.483	47320.492
218.889	47943.711
220.855	48818.973
223.328	49923.883
225.929	51089.289
228.160	52091.781
229.780	52822.941
230.865	53314.855
231.602	53651.418
232.153	53904.488
232.619	54120.539
233.063	54327.480
233.525	54543.270
234.032	54781.594
234.612	55055.004
235.290	55375.922
236.092	55755.902
237.032	56203.406
238.114	56719.914
239.318	57296.441
240.602	57913.617
241.914	58546.727
243.209	59174.855
244.467	59787.898
245.691	60387.676
246.902	60984.434
248.125	61590.887
249.384	62218.223
250.690	62872.613
252.042	63552.891
253.416	64247.496
254.769	64934.125
256.044	65582.836
257.185	66165.227
258.158	66662.672
258.955	67071.687
259.597	67401.547
260.117	67669.992
260.558	67898.492
260.965	68110.656
261.389	68333.344
261.895	68601.266
262.577	68964.195
263.569	69494.180
265.036	70281.383
267.100	71392.297
269.671	72778.930
272.347	74225.609
274.639	75467.055
276.310	76375.148
277.428	76984.758
278.178	77396.469
278.732	77702.781
279.211	77969.961
279.700	78244.508
280.264	78562.492
280.957	78955.016
281.826	79448.437
282.900	80059.172
284.172	80784.477
285.593	81596.367
287.078	82446.883
