<j>	<j^2>
1.204	1.707
13.270	177.194
24.438	600.381
34.460	1189.078
46.709	2186.613
57.246	3281.691
68.787	4743.567
81.758	6696.596
90.788	8249.263
101.225	10252.488
118.252	13994.066
127.277	16204.763
134.824	18194.668
145.378	21155.576
165.407	27377.158
169.286	28661.471
183.092	33568.227
198.935	39589.062
209.088	43733.059
213.644	45656.809
223.965	50170.742
235.860	55662.230
256.368	65747.742
261.859	68588.805
274.329	75271.297
284.851	81232.078
305.871	93574.578
315.114	99353.430
327.184	107069.734
334.184	111706.977
345.567	119479.375
365.096	133338.531
373.332	139396.047
377.063	142186.359
382.936	146726.859
414.630	171935.391
416.957	173860.422
419.571	176056.594
432.404	187082.703
451.969	204304.375
456.486	208397.937
464.899	216189.703
478.935	229420.297
486.686	236893.578
501.518	251592.547
508.617	258699.484
510.190	260300.250
518.496	268935.219
538.912	290472.719
550.731	303365.062
572.812	328193.469
579.770	336155.531
588.588	346507.125
600.086	360137.094
607.513	369120.187
617.852	381780.500
623.952	389341.094
631.154	398398.781
648.845	421133.000
662.513	438956.437
680.359	463065.312
694.692	482623.875
698.953	488562.562
707.231	500264.500
722.805	522490.625
727.205	528846.125
733.449	538034.437
760.225	578021.562
766.813	588034.250
772.863	597363.125
782.961	613093.687
791.605	626684.062
804.697	647652.375
820.048	672547.562
827.670	685070.187
833.691	695098.250
849.650	722022.812
862.588	744153.062
885.160	783629.562
892.656	796861.187
895.659	802222.625
897.703	805880.750
899.643	809372.562
907.929	824492.125
939.673	883101.062
959.748	921283.000
976.221	953131.437
989.768	979719.562
994.844	989733.250
996.636	993298.437
1000.745	1001567.812
1030.981	1063225.875
1050.242	1103125.000
1060.096	1123859.500
1063.882	1131866.375
1066.869	1138249.375
1074.885	1155469.875
1084.373	1175923.750
1095.562	1200445.625
1120.236	1255066.375
1128.795	1274225.875
1135.058	1288449.375
1151.067	1325115.375
1161.598	1349360.250
1166.312	1360326.750
1170.989	1371258.500
1177.781	1387260.000
1192.307	1421717.625
1201.631	1443978.875
1212.746	1470909.500
1229.466	1511699.000
1238.520	1534002.750
1249.197	1560667.875
1271.938	1617991.750
1279.907	1638191.875
1282.198	1644059.125
1289.550	1663091.125
1312.527	1722995.250
1335.298	1783182.625
1343.262	1804395.750
1346.221	1812337.750
1348.887	1819525.000
1351.761	1827285.875
1354.552	1834838.375
1358.248	1844889.500
1368.297	1872364.375
1381.602	1908916.625
1391.448	1936241.500
1427.389	2038012.000
1452.168	2108889.000
1458.338	2126808.500
1463.941	2143192.250
1470.492	2162419.250
1476.885	2181261.000
1488.996	2217382.000
1516.819	2300921.500
1523.993	2322598.250
1527.652	2333769.750
1533.732	2352431.750
1544.575	2385853.250
1561.191	2437737.250
1633.559	2669058.000
1650.213	2723438.250
1664.325	2770180.500
1672.923	2798768.500
1677.676	2814665.000
1681.988	2829172.250
1691.976	2863082.500
1715.388	2942898.250
1726.717	2981630.500
1729.903	2992605.000
1732.461	3001471.750
1737.812	3020162.000
1760.084	3098434.750
1781.522	3173962.750
1785.541	3188185.250
1786.958	3193237.000
1788.072	3197218.000
1789.153	3201084.000
1790.385	3205499.500
1792.372	3212641.500
1798.184	3233615.250
1813.526	3289106.750
1825.887	3334009.500
1841.223	3390417.750
1858.586	3454476.000
1863.245	3471711.500
1865.011	3478294.750
1871.227	3501757.250
1912.958	3659984.500
1927.060	3713608.750
1928.954	3720883.750
1930.171	3725580.250
1932.587	3734967.000
1944.718	3782261.000
1965.599	3863765.250
1972.050	3889033.000
1975.756	3903676.750
1980.834	3923783.250
1985.637	3942810.750
1988.625	3954659.000
1990.201	3960916.000
1991.132	3964616.250
1991.790	3967235.250
1992.313	3969317.000
1992.794	3971231.500
1993.193	3972824.000
1993.525	3974144.000
1993.808	3975272.000
1994.060	3976279.250
1994.253	3977046.500
1994.410	3977673.750
1994.542	3978200.750
1994.631	3978553.750
1994.721	3978910.500
1994.784	3979164.000
1994.832	3979354.250
1994.866	3979490.500
1994.897	3979615.000
1994.920	3979704.500
1994.940	3979786.000
