<j>	<F>
1.627	13.934
12.496	14.320
26.017	10.350
35.527	12.901
46.031	13.658
56.683	14.182
67.849	14.008
80.731	12.969
91.444	13.345
101.836	13.610
111.380	14.636
121.450	15.010
137.911	12.876
152.890	11.721
157.201	13.846
173.991	12.231
186.264	12.216
195.405	12.621
209.293	12.097
225.197	11.392
232.212	12.092
237.082	13.377
248.052	13.485
257.745	13.841
267.248	14.067
284.506	13.117
299.168	12.485
312.829	12.139
320.570	12.680
332.925	12.507
336.145	13.674
343.254	14.470
362.906	13.066
371.923	13.432
386.070	12.990
395.853	13.217
409.263	12.968
421.624	12.810
443.117	11.979
459.645	11.389
461.751	12.202
463.114	13.205
466.844	14.086
483.488	13.472
490.283	13.935
509.776	13.103
516.011	13.551
525.546	13.791
546.067	12.865
553.335	13.211
558.082	13.810
561.001	14.658
575.409	14.370
592.451	13.739
598.765	14.187
631.633	12.521
647.487	12.109
651.699	12.603
661.446	12.738
671.855	12.784
675.446	13.337
680.054	13.870
699.481	13.256
707.702	13.452
716.348	13.654
730.180	13.468
743.876	13.289
752.338	13.471
770.805	13.030
781.791	13.008
785.151	13.512
788.690	14.049
808.186	13.516
819.535	13.477
836.793	13.129
849.762	13.019
863.606	12.874
870.804	13.095
885.930	12.919
903.617	12.577
923.504	12.168
929.070	12.424
930.825	12.901
934.094	13.331
944.116	13.422
970.400	12.662
978.121	12.806
979.715	13.290
982.154	13.762
986.902	14.127
994.002	14.371
1016.954	13.725
1028.613	13.669
1033.705	13.988
1039.147	14.309
1077.769	12.992
1095.600	12.649
1101.425	12.881
1106.142	13.172
1112.901	13.385
1125.051	13.346
1134.994	13.400
1145.664	13.429
1154.078	13.545
1157.383	13.909
1162.194	14.232
1199.048	13.108
1219.557	12.712
1229.334	12.762
1234.475	13.000
1240.939	13.196
1248.679	13.337
1253.735	13.589
1261.260	13.762
1285.750	13.220
1294.217	13.313
1309.320	13.193
1332.964	12.726
1341.360	12.820
1347.711	13.000
1358.464	13.028
1372.431	12.931
1380.673	13.033
1388.247	13.168
1396.841	13.262
1403.217	13.438
1409.708	13.616
1419.791	13.664
1433.527	13.567
1440.623	13.708
1442.914	14.044
1444.721	14.418
1450.833	14.639
1501.037	13.220
1519.220	12.938
1522.105	13.207
1524.386	13.509
1527.668	13.788
1535.295	13.922
1550.978	13.769
1570.853	13.473
1587.672	13.286
1601.928	13.188
1610.685	13.260
1616.383	13.435
1622.217	13.609
1628.326	13.777
1635.387	13.918
1652.946	13.723
1675.507	13.349
1683.169	13.450
1688.480	13.636
1698.524	13.678
1711.869	13.610
1726.667	13.505
1746.486	13.249
1757.474	13.246
1761.360	13.456
1764.126	13.710
1769.853	13.884
1784.465	13.786
1799.713	13.654
1808.258	13.730
1820.061	13.720
1843.104	13.383
1856.318	13.314
1860.050	13.518
1862.721	13.764
1875.286	13.746
1906.790	13.179
1915.977	13.223
1925.650	13.271
1939.964	13.190
1948.923	13.245
1956.127	13.351
1966.382	13.380
1977.290	13.386
1985.296	13.467
1990.515	13.623
1993.594	13.841
1995.161	14.109
1995.863	14.411
1996.200	14.737
1996.393	15.080
1996.489	15.440
1996.546	15.817
1996.608	16.210
1996.657	16.620
1996.711	17.048
1996.741	17.495
1996.783	17.961
1996.809	18.450
1996.837	18.960
1996.852	19.493
1996.879	20.051
1996.893	20.634
1996.911	21.244
1996.922	21.883
1996.936	22.551
1996.946	23.251
1996.954	23.983
