<j>	<j^2>
1.484	2.578
13.756	192.121
24.488	601.245
36.132	1307.226
47.255	2238.257
57.089	3262.327
69.801	4877.399
79.294	6292.371
90.935	8275.460
98.182	9646.553
114.869	13210.884
123.926	15366.041
138.292	19134.219
146.302	21418.963
157.833	24924.406
171.906	29568.449
180.339	32532.492
190.060	36145.344
202.987	41223.875
214.874	46189.035
222.911	49708.180
234.381	54950.492
244.441	59765.051
254.136	64608.672
268.416	72073.273
280.731	78841.187
290.683	84517.906
296.598	87976.992
307.357	94509.594
324.912	105596.492
335.073	112298.273
347.998	121151.984
360.510	129977.578
368.101	135558.078
385.695	148810.578
398.327	158683.344
403.499	162841.906
414.778	172057.781
418.512	175167.094
435.062	189332.016
446.549	199460.859
458.993	210696.250
463.919	215236.516
473.115	223892.203
502.522	252631.203
511.639	261792.734
515.305	265552.094
521.730	272288.875
552.116	304865.125
555.155	308206.094
558.167	311576.031
572.566	327916.437
591.201	349637.125
616.744	380503.062
627.138	393327.125
630.185	397148.375
633.243	401017.250
639.679	409245.750
652.340	425598.781
661.573	437726.500
668.983	447565.969
678.592	460590.406
707.242	500412.094
727.596	529432.375
730.202	533203.437
731.648	535321.687
736.227	542079.812
746.550	557384.187
756.572	572505.125
787.465	620321.937
809.931	656112.312
821.727	675293.125
826.512	683147.750
829.867	688704.562
833.690	695065.312
837.856	702034.250
846.088	715948.375
866.838	751603.562
882.850	779456.312
885.729	784540.875
899.533	809407.875
924.390	854572.000
931.097	866995.687
943.275	889931.875
961.007	923623.625
967.043	935199.437
971.110	943113.625
984.103	968589.500
998.554	997266.312
1017.293	1034978.375
1021.837	1044166.062
1023.888	1048376.062
1033.627	1068544.125
1050.100	1102777.500
1057.230	1117846.500
1081.274	1169370.375
1093.225	1195189.250
1097.016	1203474.250
1102.550	1215715.625
1120.712	1256165.375
1130.806	1278767.375
1135.881	1290287.000
1146.540	1314687.000
1159.120	1343643.000
1169.027	1366752.625
1185.270	1405022.250
1203.359	1448327.500
1225.294	1501475.000
1231.618	1516921.750
1234.704	1524522.000
1237.203	1530692.375
1239.719	1536940.875
1251.063	1565391.750
1271.141	1615875.625
1274.543	1624476.375
1277.400	1631821.000
1304.341	1701757.500
1329.300	1767170.875
1336.628	1786618.250
1339.546	1794413.500
1345.077	1809373.625
1378.300	1900183.000
1396.493	1950263.250
1400.572	1961643.250
1403.656	1970286.000
1406.400	1977989.375
1408.618	1984226.875
1410.594	1989798.875
1413.870	1999085.750
1427.580	2038262.125
1457.401	2124255.750
1472.771	2169225.250
1493.532	2231021.250
1524.711	2325042.250
1536.102	2359677.250
1539.391	2369760.250
1542.072	2378027.750
1546.186	2390765.250
1553.957	2414904.500
1565.133	2449819.000
1583.238	2506902.750
1596.616	2549271.000
1601.526	2564949.000
1609.454	2590519.250
1628.125	2651056.750
1641.093	2693277.000
1645.822	2708783.000
1651.340	2727036.500
1664.444	2770601.750
1679.126	2819601.750
1685.804	2841991.250
1688.977	2852677.250
1692.171	2863512.250
1711.694	2930505.750
1749.461	3060871.000
1760.750	3100365.000
1768.010	3125956.750
1773.778	3146358.750
1778.053	3161534.500
1784.887	3185992.750
1804.103	3255143.500
1824.483	3328980.500
1837.000	3374714.750
1843.877	3399957.250
1847.728	3414142.750
1850.702	3425151.500
1860.321	3461157.750
1897.738	3601864.250
1912.053	3656071.500
1918.382	3680278.750
1922.807	3697242.250
1925.949	3709328.750
1930.463	3726806.000
1946.069	3787580.000
1967.979	3873152.750
1975.340	3902029.000
1978.361	3913954.500
1981.033	3924538.000
1984.207	3937129.500
1987.667	3950867.250
1990.679	3962839.250
1992.729	3970992.000
1993.996	3976031.000
1994.780	3979156.000
1995.263	3981080.750
1995.573	3982314.750
1995.837	3983368.750
1996.046	3984203.000
1996.237	3984961.750
1996.357	3985443.500
1996.483	3985945.500
1996.576	3986316.750
1996.657	3986638.750
1996.716	3986874.250
1996.775	3987109.500
1996.816	3987273.000
1996.854	3987426.750
1996.881	3987532.750
1996.907	3987636.000
1996.926	3987712.500
1996.939	3987767.250
