<j>	<j^2>
1.715	3.694
2.954	9.507
4.020	16.750
4.832	23.697
5.487	30.506
6.573	43.693
7.758	60.973
9.249	86.624
10.391	108.888
11.506	133.632
12.621	160.525
13.851	193.530
15.127	230.690
16.399	270.491
17.293	300.523
18.304	337.290
19.753	393.026
21.190	451.540
22.256	496.976
22.963	529.116
23.915	575.654
25.899	677.778
28.258	804.418
29.673	884.937
30.716	947.313
31.623	1003.262
32.405	1052.735
33.078	1096.372
33.689	1136.964
34.318	1179.944
35.087	1233.955
36.127	1308.958
37.464	1408.278
38.945	1521.478
40.259	1624.411
41.174	1697.642
41.777	1747.067
42.304	1791.748
43.058	1857.694
44.464	1983.643
46.533	2172.803
48.280	2336.323
49.417	2445.941
50.236	2526.584
50.888	2592.245
51.534	2658.919
52.402	2750.750
53.705	2890.847
55.337	3069.514
56.898	3244.536
58.325	3409.604
59.813	3586.145
61.332	3769.756
62.647	3931.308
63.687	4062.047
64.641	4185.177
65.756	4332.450
67.164	4521.302
68.721	4732.478
70.093	4920.974
71.148	5068.763
72.047	5197.825
73.041	5344.150
74.348	5539.793
76.010	5791.499
77.741	6056.144
79.140	6272.014
80.094	6420.945
80.739	6522.963
81.225	6600.896
81.643	6668.615
82.043	6733.942
82.461	6802.998
82.945	6883.794
83.579	6990.832
84.521	7152.315
86.016	7412.348
88.179	7793.506
90.589	8224.538
92.665	8602.916
94.372	8921.822
95.967	9226.578
97.626	9550.262
99.427	9908.115
101.375	10301.745
103.394	10716.118
105.344	11122.243
107.102	11493.436
108.628	11820.218
109.958	12109.178
111.152	12371.736
112.251	12616.213
113.275	12846.121
114.229	13061.879
115.111	13262.933
115.922	13449.101
116.666	13621.209
117.354	13781.198
117.997	13932.049
118.614	14077.715
119.225	14222.944
119.852	14373.146
120.519	14534.034
121.248	14711.045
122.055	14908.292
122.945	15127.250
123.908	15365.629
124.919	15617.343
125.943	15873.896
126.944	16126.534
127.895	16367.897
128.775	16592.745
129.574	16798.002
130.289	16982.657
130.924	17147.636
131.491	17295.532
132.004	17430.401
132.487	17557.618
132.962	17683.860
133.461	17817.186
134.019	17967.040
134.673	18143.741
135.455	18356.237
136.375	18607.246
137.395	18886.953
138.430	19171.837
139.382	19435.135
140.199	19662.429
140.903	19859.715
141.582	20052.150
142.386	20282.981
143.526	20613.306
145.192	21099.737
147.316	21723.762
149.481	22365.806
151.424	22951.102
153.378	23552.262
155.739	24290.395
158.544	25175.995
161.289	26049.064
163.448	26741.047
164.953	27227.800
166.009	27572.641
166.809	27836.411
167.468	28054.855
168.043	28247.012
168.572	28424.541
169.083	28596.948
169.606	28774.418
170.178	28970.324
170.858	29204.636
171.731	29507.664
172.912	29920.647
174.508	30481.940
176.506	31188.109
178.667	31954.878
180.618	32649.534
182.120	33186.971
183.180	33568.542
183.931	33840.858
184.505	34050.346
184.989	34228.453
185.435	34393.208
185.872	34555.271
186.320	34722.592
186.803	34903.386
187.347	35108.218
187.987	35350.083
188.759	35642.880
189.688	35996.500
190.767	36408.689
191.942	36859.117
193.124	37313.232
194.224	37737.565
195.198	38115.291
196.056	38449.421
196.835	38754.846
197.581	39048.681
198.327	39344.352
199.095	39649.941
199.894	39968.901
