<j>	<j^2>
1.204	1.706
2.624	7.236
3.344	11.531
4.652	22.309
5.906	35.243
6.563	43.523
7.649	59.055
8.851	79.205
10.281	106.619
11.195	125.869
12.002	145.109
13.604	187.250
15.392	238.942
16.548	276.206
17.954	325.441
19.380	377.750
20.233	410.899
20.919	439.119
21.700	472.829
22.817	523.349
24.223	589.927
25.602	658.783
26.879	726.050
28.192	798.772
29.507	874.587
30.707	947.411
32.062	1033.220
33.495	1126.435
34.589	1199.615
35.362	1253.129
36.054	1302.470
36.803	1357.295
37.661	1421.331
38.581	1491.536
39.538	1566.841
40.701	1661.170
42.096	1776.484
43.236	1872.139
43.933	1932.015
44.488	1981.220
45.165	2042.509
46.090	2127.573
47.208	2232.335
48.426	2349.577
49.871	2493.047
51.569	2666.011
53.155	2830.806
54.291	2951.083
55.037	3031.716
55.667	3101.739
56.424	3187.332
57.415	3300.959
58.549	3432.456
59.640	3561.304
60.700	3689.242
61.893	3836.587
63.294	4012.876
64.774	4202.678
66.178	4386.321
67.469	4558.425
68.640	4717.330
69.701	4863.919
70.741	5010.681
71.917	5179.901
73.342	5388.772
74.966	5630.469
76.584	5875.223
78.003	6092.725
79.111	6264.535
79.902	6388.569
80.469	6478.543
80.948	6555.916
81.500	6647.166
82.366	6792.735
83.902	7054.155
86.254	7458.489
88.711	7885.639
90.477	8197.083
91.630	8404.115
92.483	8559.474
93.175	8686.680
93.740	8791.030
94.190	8874.692
94.549	8941.789
94.848	8998.182
95.123	9050.328
95.410	9105.039
95.750	9170.627
96.208	9259.423
96.882	9391.089
97.903	9592.356
99.356	9881.789
101.166	10247.295
103.250	10677.586
105.802	11218.227
108.878	11882.519
111.763	12513.701
113.754	12954.624
114.947	13222.109
115.713	13396.439
116.306	13533.024
116.852	13660.528
117.423	13794.737
118.067	13947.365
118.833	14130.224
119.770	14355.969
120.916	14633.750
122.247	14958.904
123.655	15304.940
124.985	15633.965
126.141	15922.681
127.145	16176.213
128.099	16420.319
129.131	16687.922
130.355	17008.222
131.813	17393.107
133.427	17821.589
135.001	18242.248
136.350	18605.167
137.409	18891.768
138.219	19112.709
138.863	19289.711
139.418	19443.562
139.947	19591.366
140.502	19747.790
141.136	19927.402
141.903	20146.385
142.864	20422.729
144.071	20771.932
145.527	21196.211
147.149	21672.117
148.778	22153.189
150.261	22594.711
151.535	22976.960
152.620	23305.324
153.575	23596.629
154.458	23868.065
155.313	24132.885
156.172	24400.587
157.060	24679.429
158.010	24979.788
159.064	25315.773
160.265	25701.639
161.626	26141.573
163.096	26619.628
164.573	27103.162
165.968	27563.156
167.255	27991.026
168.460	28395.099
169.616	28785.551
170.730	29163.992
171.785	29524.244
172.763	29860.006
173.665	30171.833
174.519	30468.966
175.369	30766.794
176.265	31083.024
177.253	31433.727
178.361	31829.554
179.592	32271.876
180.916	32750.185
182.276	33244.132
183.606	33730.235
