<j>	var(j)
1.446	0.421
2.560	0.397
3.457	0.306
4.273	0.320
5.728	0.461
6.607	0.350
7.382	0.398
8.749	0.771
10.132	0.980
11.409	1.182
12.588	0.970
13.470	0.883
14.427	1.178
15.648	1.613
17.066	1.928
18.344	1.563
19.282	1.438
20.238	1.600
21.269	1.315
22.048	0.835
22.614	0.699
23.246	0.997
24.380	1.994
26.048	2.069
27.257	1.525
28.127	1.128
28.801	0.905
29.469	1.359
30.791	3.766
33.362	5.148
35.136	2.548
35.923	1.648
36.523	1.736
37.271	2.519
38.428	3.495
39.800	3.014
40.806	2.354
41.687	3.324
43.052	5.935
45.130	8.132
47.234	7.325
48.778	5.648
49.900	4.659
50.831	4.173
51.685	3.922
52.512	3.830
53.348	3.853
54.212	3.840
55.084	3.544
55.890	2.887
56.553	2.132
57.065	1.589
57.486	1.377
57.907	1.574
58.477	2.500
59.496	4.764
61.289	7.100
63.268	5.761
64.554	3.385
65.299	2.172
65.819	1.705
66.279	1.655
66.783	1.909
67.423	2.465
68.298	3.422
69.517	4.845
71.108	6.120
72.822	6.150
74.319	5.291
75.521	4.405
76.511	4.123
77.495	5.307
78.841	8.414
80.810	11.752
83.073	13.081
85.225	14.310
87.342	15.149
89.316	13.398
90.887	10.425
92.056	8.144
92.969	6.646
93.727	5.596
94.383	4.928
94.984	4.694
95.586	4.935
96.252	5.656
97.045	6.778
98.012	7.962
99.133	8.503
100.285	7.779
101.296	6.025
102.060	4.133
102.589	2.717
102.953	1.857
103.220	1.402
103.441	1.205
103.650	1.196
103.883	1.406
104.192	2.044
104.700	3.718
105.702	7.589
107.633	13.149
110.261	14.383
112.492	11.041
114.028	7.907
115.088	5.332
115.791	3.360
116.246	2.215
116.570	1.806
116.870	2.041
117.262	3.209
117.956	6.327
119.366	12.589
121.820	18.364
124.567	17.026
126.701	15.052
128.549	16.784
130.524	18.122
132.441	15.361
133.909	10.383
134.856	6.644
135.477	4.965
135.974	4.817
136.497	5.797
137.165	7.802
138.089	10.631
139.334	13.406
140.828	14.697
142.360	14.204
143.772	13.569
145.106	14.403
146.522	16.715
148.126	19.130
149.869	20.098
151.590	19.488
153.181	18.576
154.655	18.383
156.088	18.837
