<j>	<F>
1.026	23.252
2.512	14.945
3.078	22.703
4.679	14.161
5.073	22.746
6.086	22.846
7.229	22.162
8.816	15.558
9.125	22.533
10.050	24.909
11.588	21.846
13.551	14.049
14.162	16.156
15.787	16.234
17.909	11.697
18.732	12.124
19.355	13.188
19.909	14.777
20.928	15.987
23.443	13.167
25.067	11.452
25.951	11.723
26.649	12.312
27.176	13.243
27.556	14.616
27.830	16.557
28.060	19.175
28.485	21.990
30.217	20.666
32.838	16.006
34.405	14.579
35.352	14.800
36.747	14.729
38.657	13.487
39.770	13.078
40.245	13.763
40.544	14.880
40.772	16.305
40.970	18.056
41.234	20.034
41.935	21.380
43.905	19.555
45.793	17.322
46.621	17.425
46.992	18.635
47.310	20.283
48.019	21.376
49.648	20.317
51.483	18.603
53.019	17.668
54.137	17.353
54.715	17.946
54.983	19.236
55.165	20.935
55.413	22.769
56.068	23.999
58.320	21.876
60.832	18.562
61.673	18.607
62.226	19.390
62.838	20.142
63.679	20.628
65.292	19.959
67.345	18.300
68.429	17.947
68.846	18.697
69.067	19.892
69.285	21.263
69.714	22.471
70.966	22.471
74.280	19.646
79.430	15.460
82.657	13.318
83.650	13.152
84.039	13.548
84.305	14.085
84.531	14.695
84.739	15.366
84.946	16.094
85.172	16.866
85.435	17.662
85.757	18.455
86.147	19.218
86.599	19.942
87.113	20.623
87.735	21.201
88.539	21.548
89.575	21.603
91.375	20.945
95.091	18.307
97.851	16.319
98.570	16.375
98.768	17.036
98.880	17.851
98.976	18.754
99.081	19.727
99.256	20.727
99.837	21.463
102.527	20.345
107.603	16.660
109.498	15.581
109.877	15.951
110.076	16.543
110.277	17.178
110.503	17.834
110.763	18.500
111.059	19.171
111.388	19.845
111.775	20.505
112.370	21.031
113.769	20.906
116.878	19.251
120.134	17.332
121.918	16.670
123.073	16.572
124.085	16.594
125.026	16.661
125.888	16.775
126.661	16.946
127.370	17.170
128.149	17.393
129.593	17.366
133.744	16.207
141.428	13.490
146.442	11.819
148.326	11.456
149.326	11.460
150.105	11.544
150.780	11.660
151.373	11.800
151.890	11.962
152.340	12.148
152.729	12.355
153.065	12.584
153.358	12.835
153.612	13.107
153.835	13.399
154.034	13.712
154.212	14.045
154.376	14.397
154.530	14.770
154.679	15.161
154.830	15.570
154.990	15.994
155.168	16.430
155.380	16.870
155.656	17.299
156.064	17.684
156.786	17.938
158.268	17.843
161.158	17.072
164.958	15.808
167.750	14.947
169.133	14.722
169.792	14.833
170.160	15.086
170.402	15.407
170.584	15.769
170.738	16.161
170.890	16.573
171.061	16.995
171.277	17.416
171.572	17.816
171.985	18.170
172.555	18.450
173.291	18.640
174.147	18.753
175.041	18.836
175.928	18.923
176.861	18.997
177.980	18.985
179.428	18.805
181.261	18.429
183.423	17.905
185.918	17.284
189.060	16.506
193.236	15.453
197.681	14.334
200.816	13.622
202.428	13.391
203.219	13.431
203.703	13.581
204.105	13.766
204.509	13.960
204.945	14.149
205.422	14.331
205.938	14.503
206.488	14.668
207.064	14.827
207.670	14.980
208.326	15.122
209.079	15.239
209.990	15.313
211.108	15.323
212.417	15.266
213.796	15.174
215.065	15.102
216.104	15.095
216.910	15.163
217.559	15.287
218.142	15.440
218.731	15.599
219.366	15.746
220.050	15.878
220.761	15.998
221.457	16.121
222.096	16.260
222.658	16.427
223.150	16.623
223.613	16.838
224.129	17.047
224.838	17.204
225.961	17.231
227.723	17.038
230.054	16.627
232.357	16.187
234.033	15.935
235.024	15.914
235.587	16.048
235.953	16.262
236.258	16.509
236.574	16.762
236.939	17.006
237.373	17.231
237.879	17.434
238.436	17.619
239.006	17.796
239.544	17.985
240.017	18.199
240.423	18.445
240.799	18.714
241.237	18.974
241.922	19.157
243.165	19.137
245.231	18.789
247.777	18.211
249.850	17.768
251.016	17.660
251.545	17.808
251.775	18.089
251.886	18.432
251.954	18.806
252.008	19.199
252.058	19.608
252.108	20.031
252.163	20.466
252.225	20.913
252.302	21.369
252.409	21.827
252.593	22.266
253.050	22.606
254.643	22.492
259.933	20.872
268.153	18.034
272.782	16.640
274.888	16.266
276.375	16.135
277.676	16.065
278.839	16.032
279.866	16.035
280.762	16.073
281.553	16.141
282.276	16.230
282.971	16.330
283.673	16.431
284.403	16.526
285.171	16.611
285.976	16.685
286.827	16.749
287.750	16.795
288.793	16.812
289.999	16.784
291.356	16.713
292.755	16.620
294.025	16.551
295.031	16.547
295.740	16.623
296.197	16.771
296.479	16.975
296.651	17.218
296.761	17.487
296.838	17.775
296.898	18.077
296.951	18.390
297.004	18.712
297.066	19.041
297.150	19.373
297.295	19.697
297.617	19.978
298.466	20.110
300.714	19.817
305.296	18.777
310.530	17.465
313.610	16.776
314.848	16.658
315.370	16.772
315.685	16.958
315.951	17.165
316.212	17.378
316.483	17.594
316.772	17.809
317.089	18.021
317.454	18.224
317.905	18.408
318.535	18.551
319.558	18.596
321.406	18.432
324.605	17.916
328.917	17.095
332.829	16.348
335.308	15.954
336.638	15.851
337.391	15.899
337.902	16.012
338.315	16.153
338.687	16.307
339.041	16.468
339.392	16.633
339.759	16.799
340.174	16.957
340.699	17.097
341.453	17.191
342.644	17.194
344.569	17.040
347.431	16.677
350.922	16.164
354.192	15.682
356.590	15.375
358.105	15.255
359.020	15.262
359.591	15.345
359.966	15.471
360.229	15.624
360.422	15.795
360.573	15.979
360.697	16.172
360.806	16.373
360.910	16.580
361.015	16.792
361.127	17.006
361.253	17.222
361.401	17.438
361.581	17.651
361.812	17.857
362.129	18.048
362.605	18.207
363.395	18.299
364.813	18.255
367.349	17.963
371.331	17.349
376.133	16.553
380.444	15.870
