<j>	<F>
1.119	2.538
1.196	2.644
1.241	2.774
1.257	2.918
1.266	3.073
1.273	3.241
1.281	3.422
1.291	3.617
1.302	3.829
1.315	4.058
1.330	4.307
1.348	4.577
1.369	4.869
1.396	5.187
1.428	5.532
1.469	5.905
1.521	6.309
1.587	6.744
1.675	7.210
1.791	7.705
1.948	8.224
2.163	8.757
2.454	9.287
2.844	9.794
3.346	10.253
3.952	10.652
4.629	11.000
5.340	11.320
6.083	11.623
6.914	11.881
7.919	12.031
9.147	12.027
10.536	11.893
11.926	11.734
13.186	11.648
14.309	11.655
15.354	11.717
16.351	11.803
17.266	11.926
18.055	12.118
18.719	12.392
19.309	12.729
19.896	13.085
20.533	13.421
21.246	13.709
22.018	13.951
22.804	14.174
23.557	14.416
24.266	14.693
24.978	14.986
25.808	15.216
26.925	15.255
28.404	15.017
29.979	14.657
31.232	14.484
32.074	14.602
32.676	14.913
33.213	15.298
33.827	15.658
34.691	15.873
36.037	15.772
37.919	15.284
39.886	14.692
41.491	14.342
42.943	14.166
44.754	13.867
47.074	13.299
49.282	12.724
50.771	12.470
51.642	12.529
52.235	12.748
52.776	13.015
53.383	13.267
54.120	13.467
55.011	13.594
56.018	13.656
57.041	13.693
57.985	13.759
58.823	13.878
59.612	14.032
60.456	14.173
61.443	14.252
62.580	14.251
63.769	14.208
64.877	14.190
65.854	14.237
66.775	14.326
67.817	14.385
69.208	14.311
71.098	14.021
73.272	13.580
75.176	13.214
76.489	13.077
77.322	13.147
77.903	13.336
78.392	13.576
78.877	13.830
79.407	14.075
80.033	14.290
80.826	14.447
81.880	14.503
83.267	14.420
84.912	14.214
86.540	13.988
87.868	13.864
88.834	13.885
89.554	14.016
90.185	14.199
90.860	14.379
91.686	14.510
92.755	14.553
94.137	14.478
95.844	14.280
97.804	13.987
99.862	13.659
101.831	13.362
103.558	13.143
104.972	13.025
106.082	13.004
106.947	13.064
107.641	13.183
108.232	13.341
108.781	13.520
109.339	13.703
109.954	13.874
110.668	14.018
111.513	14.119
112.493	14.174
113.566	14.190
114.654	14.193
115.677	14.211
116.601	14.263
117.469	14.341
118.403	14.413
119.596	14.418
121.262	14.286
123.450	13.984
125.826	13.600
127.854	13.297
129.287	13.164
130.255	13.178
130.995	13.273
131.705	13.390
132.521	13.488
133.532	13.537
134.762	13.523
136.142	13.460
137.518	13.384
138.731	13.341
139.704	13.360
140.452	13.442
141.037	13.574
141.531	13.738
141.991	13.918
142.460	14.101
142.976	14.276
143.577	14.432
144.303	14.555
145.192	14.632
146.264	14.655
147.493	14.626
148.807	14.566
150.104	14.503
151.316	14.463
152.432	14.453
153.484	14.463
154.519	14.482
155.566	14.499
156.627	14.510
157.686	14.520
158.725	14.535
159.729	14.559
160.703	14.591
161.662	14.630
162.631	14.667
163.634	14.697
164.682	14.713
165.763	14.719
166.837	14.722
167.850	14.738
168.757	14.780
169.540	14.857
170.206	14.967
170.785	15.105
171.309	15.262
171.806	15.431
172.299	15.605
172.803	15.779
173.327	15.949
173.880	16.113
174.480	16.266
175.156	16.399
175.956	16.497
176.946	16.539
178.184	16.505
179.675	16.389
181.325	16.217
182.975	16.039
184.508	15.896
185.926	15.792
187.313	15.707
188.741	15.614
190.207	15.509
191.624	15.412
192.884	15.352
193.937	15.346
194.805	15.393
195.560	15.475
196.280	15.572
197.035	15.665
197.865	15.738
198.780	15.788
199.753	15.819
200.732	15.844
201.662	15.879
202.519	15.934
203.314	16.008
204.094	16.091
204.933	16.163
205.917	16.200
207.126	16.180
208.609	16.088
210.352	15.926
212.278	15.715
214.278	15.486
216.251	15.266
218.106	15.075
219.759	14.931
221.153	14.846
222.279	14.823
223.173	14.855
223.895	14.930
224.506	15.033
225.058	15.154
225.595	15.282
226.157	15.408
226.793	15.521
227.568	15.606
228.586	15.641
229.987	15.594
231.918	15.432
234.421	15.145
237.287	14.774
240.086	14.411
242.451	14.137
244.278	13.973
245.661	13.902
246.742	13.895
247.635	13.927
248.418	13.982
249.139	14.051
249.825	14.128
250.495	14.209
251.159	14.292
251.822	14.376
252.487	14.460
253.153	14.544
253.819	14.628
254.486	14.712
255.154	14.797
255.823	14.883
256.496	14.968
257.177	15.051
257.868	15.134
258.569	15.215
259.282	15.293
260.014	15.369
260.779	15.439
261.612	15.497
262.573	15.533
263.763	15.527
265.315	15.454
267.357	15.287
269.915	15.022
272.810	14.690
275.704	14.358
278.305	14.082
280.513	13.880
282.364	13.746
283.933	13.662
285.274	13.616
286.418	13.603
287.391	13.617
288.217	13.656
288.927	13.714
289.558	13.787
290.143	13.869
290.718	13.955
291.315	14.040
291.963	14.118
292.686	14.186
293.500	14.239
294.411	14.275
295.409	14.297
296.470	14.306
297.559	14.309
298.637	14.312
299.671	14.320
300.637	14.339
301.523	14.371
302.327	14.416
303.050	14.474
303.696	14.546
304.272	14.631
304.784	14.728
305.239	14.835
305.649	14.952
306.025	15.077
306.382	15.207
306.735	15.341
307.105	15.475
307.519	15.603
308.011	15.719
308.632	15.815
309.455	15.877
310.586	15.886
312.161	15.817
314.318	15.647
317.084	15.369
320.258	15.019
323.415	14.669
326.150	14.387
328.291	14.203
329.890	14.109
331.085	14.081
332.010	14.098
332.762	14.144
333.406	14.209
333.983	14.285
334.523	14.369
335.048	14.456
335.582	14.544
336.149	14.628
336.783	14.704
337.524	14.766
338.426	14.805
339.553	14.812
340.969	14.776
342.718	14.691
344.787	14.556
347.085	14.386
349.449	14.204
351.703	14.037
353.723	13.901
355.460	13.806
356.927	13.749
358.166	13.724
359.224	13.725
360.145	13.746
360.965	13.780
361.715	13.826
362.420	13.878
363.103	13.934
363.786	13.991
364.489	14.047
365.230	14.099
366.024	14.143
366.879	14.180
367.795	14.208
368.759	14.229
369.747	14.245
370.727	14.261
371.662	14.282
372.525	14.311
373.295	14.352
373.968	14.407
374.548	14.476
375.050	14.556
375.495	14.647
375.906	14.743
376.312	14.843
376.749	14.941
377.263	15.031
377.923	15.103
378.830	15.143
380.118	15.133
381.937	15.051
384.382	14.882
387.363	14.636
390.550	14.356
393.515	14.101
395.985	13.912
397.938	13.792
399.509	13.727
400.868	13.693
402.153	13.673
403.452	13.653
404.807	13.628
406.220	13.596
407.660	13.559
409.079	13.524
410.427	13.494
411.671	13.476
412.797	13.472
413.817	13.479
414.762	13.497
415.671	13.520
416.589	13.543
417.558	13.563
418.612	13.573
419.771	13.573
421.030	13.561
422.359	13.539
423.704	13.514
425.002	13.491
426.192	13.479
427.232	13.482
428.106	13.503
428.818	13.541
429.389	13.596
429.845	13.665
430.216	13.745
430.527	13.834
430.803	13.928
431.067	14.025
431.339	14.123
431.643	14.220
432.005	14.311
432.453	14.394
433.024	14.464
433.759	14.515
434.699	14.543
435.874	14.543
437.299	14.512
438.950	14.453
440.774	14.372
442.697	14.278
444.649	14.180
