<j>	var(j)
1.246	0.387
3.002	0.921
4.179	0.875
5.196	0.705
6.054	0.711
7.215	1.332
8.585	0.975
9.532	1.532
11.137	2.247
12.467	1.536
13.346	1.420
14.237	1.855
15.522	2.821
17.083	2.218
18.031	1.476
18.729	1.284
19.440	1.445
20.367	1.813
21.486	1.844
22.550	1.870
23.598	1.727
24.543	1.681
25.496	1.971
26.692	3.106
28.339	3.566
29.759	2.826
30.782	2.091
31.548	1.697
32.242	1.605
32.951	1.500
33.668	1.754
34.659	3.159
36.382	4.929
38.246	3.751
39.354	2.254
40.058	1.820
40.693	1.646
41.311	1.533
41.954	1.802
42.828	3.072
44.396	6.558
47.021	9.179
49.278	5.271
50.306	2.556
50.847	2.083
51.368	2.686
52.136	4.268
53.392	6.135
54.975	5.628
56.180	3.194
56.831	1.790
57.242	1.473
57.644	1.710
58.184	2.470
59.043	3.985
60.413	5.858
62.128	5.995
63.566	4.223
64.501	2.795
65.151	2.202
65.716	2.118
66.315	2.367
67.037	2.875
67.946	3.613
69.090	4.820
70.581	6.850
72.480	8.304
74.343	6.766
75.630	4.489
76.493	4.392
77.473	7.979
79.355	17.198
82.678	24.597
85.950	17.998
87.839	10.212
88.864	6.416
89.525	4.486
90.007	3.402
90.395	2.836
90.742	2.622
91.088	2.673
91.469	2.953
91.919	3.441
92.476	4.087
93.164	4.760
93.977	5.266
94.877	5.497
95.812	5.583
96.766	5.832
97.775	6.550
98.919	7.879
100.275	9.604
101.845	11.156
103.539	12.081
105.236	12.203
106.832	11.306
108.221	9.409
109.327	7.104
110.148	5.143
110.755	3.951
111.248	3.634
111.742	4.248
112.371	5.998
113.303	9.142
114.711	13.166
116.582	15.679
118.546	14.469
120.167	10.951
121.324	7.573
122.117	5.169
122.670	3.688
123.085	2.935
123.439	2.768
123.804	3.159
124.257	4.260
124.911	6.416
125.927	9.863
127.442	13.573
129.326	14.666
131.114	12.250
132.486	9.408
133.537	8.627
134.555	10.840
135.900	17.228
138.002	28.217
141.060	37.490
144.396	34.457
146.953	23.237
148.521	14.266
149.469	9.732
150.136	8.081
150.717	7.982
151.315	8.719
151.990	9.871
152.768	11.069
153.647	11.917
154.591	12.093
155.543	11.562
156.447	10.673
157.284	10.002
158.082	10.102
158.909	11.369
159.864	13.943
161.045	17.444
162.496	20.577
164.133	21.423
165.741	19.087
167.100	14.794
168.120	10.531
168.843	7.366
169.359	5.379
169.750	4.279
170.076	3.778
170.380	3.684
170.692	3.897
171.039	4.380
171.447	5.161
171.947	6.384
172.587	8.468
173.465	12.482
174.788	20.594
176.933	34.913
180.220	50.538
184.168	52.486
187.537	39.391
189.773	25.677
191.169	17.207
192.106	12.507
192.798	9.741
193.351	8.003
193.817	6.912
194.232	6.273
194.621	5.951
195.003	5.836
195.390	5.836
195.788	5.881
196.201	5.938
196.628	6.026
197.074	6.252
197.552	6.857
198.096	8.303
198.783	11.380
199.758	17.173
201.234	26.217
203.389	36.000
206.070	39.969
208.703	35.040
210.798	26.918
212.340	21.471
213.572	19.643
214.717	20.068
215.892	21.205
217.124	21.825
218.371	21.192
219.557	19.253
220.618	16.586
221.525	14.006
222.295	12.192
222.978	11.607
223.648	12.662
224.406	15.911
225.384	22.063
226.751	31.382
228.651	42.075
231.055	49.016
233.631	47.046
235.903	37.360
237.598	26.156
238.750	17.743
239.533	12.749
240.109	10.239
240.586	9.250
241.033	9.185
241.490	9.748
241.989	10.823
242.555	12.375
243.215	14.383
243.992	16.775
244.904	19.371
245.955	21.859
247.132	23.845
248.398	25.021
249.704	25.338
251.005	25.064
252.275	24.637
253.513	24.455
254.734	24.736
255.964	25.502
257.225	26.615
258.530	27.808
259.878	28.681
261.247	28.765
262.596	27.669
263.871	25.293
265.018	21.929
266.001	18.141
266.810	14.515
267.460	11.452
267.979	9.119
268.400	7.513
268.757	6.547
269.077	6.118
269.388	6.152
269.711	6.611
270.070	7.514
270.491	8.955
271.005	11.126
271.660	14.369
272.519	19.172
273.673	25.988
275.219	34.587
277.210	42.989
279.545	47.438
281.943	45.299
284.081	38.278
285.806	30.784
287.167	25.958
288.324	24.535
289.435	25.845
290.618	28.699
291.926	31.761
293.353	33.838
294.840	34.305
296.313	33.363
297.720	31.786
299.043	30.306
300.296	29.180
301.495	28.167
302.647	26.806
303.734	24.762
304.731	22.019
305.613	18.871
306.368	15.740
307.000	12.989
307.527	10.824
307.974	9.302
308.367	8.377
308.731	7.965
309.086	7.972
309.451	8.309
309.841	8.899
310.268	9.657
310.739	10.489
311.258	11.280
311.822	11.905
312.422	12.241
313.042	12.205
313.662	11.778
314.264	11.018
314.829	10.047
315.349	9.015
315.821	8.062
316.250	7.301
316.647	6.813
317.028	6.674
317.413	6.989
317.831	7.968
318.326	10.050
318.976	14.098
319.917	21.583
321.370	34.139
323.602	50.908
326.670	64.028
330.083	62.501
333.026	47.493
335.076	30.689
336.350	18.891
337.135	12.084
337.648	8.367
338.014	6.275
338.297	4.998
338.530	4.139
338.728	3.510
338.900	3.020
339.051	2.624
339.186	2.297
339.308	2.026
339.417	1.799
339.517	1.610
339.609	1.452
339.695	1.320
339.774	1.209
339.849	1.115
339.921	1.034
339.988	0.964
340.054	0.902
340.116	0.846
340.176	0.793
340.234	0.744
340.290	0.697
340.344	0.651
340.396	0.607
340.445	0.563
340.492	0.521
340.537	0.479
340.579	0.439
340.619	0.400
340.656	0.363
340.691	0.328
340.723	0.294
340.753	0.263
340.780	0.234
340.805	0.208
340.827	0.183
340.848	0.161
340.866	0.141
340.883	0.123
340.898	0.107
340.911	0.093
340.923	0.080
340.933	0.069
340.943	0.059
340.951	0.051
340.958	0.043
340.964	0.037
340.970	0.031
340.974	0.026
340.978	0.022
340.982	0.018
340.985	0.015
340.987	0.013
340.990	0.010
340.991	0.009
340.993	0.007
340.994	0.006
340.995	0.005
340.996	0.004
340.997	0.003
340.998	0.002
340.998	0.002
340.998	0.002
340.999	0.001
340.999	0.001
340.999	0.001
340.999	0.001
341.000	0.000
341.000	0.000
341.000	0.000
341.000	0.000
341.000	0.000
341.000	0.000
341.000	0.000
341.000	0.000
341.000	0.000
341.000	0.000
341.000	0.000
341.000	0.000
341.000	0.000
341.000	0.000
341.000	0.000
341.000	0.000
341.000	0.000
341.000	0.000
341.000	0.000
341.000	0.000
341.000	0.000
341.000	0.000
341.000	0.000
341.000	0.000
341.000	0.000
341.000	0.000
341.000	0.000
341.000	0.000
341.000	0.000
341.000	0.000
341.000	0.000
341.000	0.000
341.000	0.000
341.000	0.000
341.000	0.000
341.000	0.000
341.000	0.000
341.000	0.000
341.000	0.000
341.000	0.000
341.000	0.000
341.000	0.000
341.000	0.000
341.000	0.000
341.000	0.000
341.000	0.000
341.000	0.000
341.000	0.000
341.000	0.000
341.000	0.000
341.000	0.000
341.000	0.000
341.000	0.000
341.000	0.000
341.000	0.000
341.000	0.000
341.000	0.000
341.000	0.000
341.000	0.000
341.000	0.000
341.000	0.000
341.000	0.000
341.000	0.000
341.000	0.000
341.000	0.000
341.000	0.000
341.000	0.000
341.000	0.000
341.000	0.000
341.000	0.000
341.000	0.000
341.000	0.000
341.000	0.000
341.000	0.000
341.000	0.000
341.000	0.000
341.000	0.000
341.000	0.000
341.000	0.000
341.000	0.000
341.000	0.000
341.000	0.000
341.000	0.000
341.000	0.000
341.000	0.000
341.000	0.000
341.000	0.000
341.000	0.000
341.000	0.000
341.000	0.000
341.000	0.000
341.000	0.000
341.000	0.000
341.000	0.000
341.000	0.000
341.000	0.000
341.000	0.000
341.000	0.000
341.000	0.000
341.000	0.000
341.000	0.000
341.000	0.000
341.000	0.000
341.000	0.000
341.000	0.000
341.000	0.000
341.000	0.000
341.000	0.000
341.000	0.000
341.000	0.000
341.000	0.000
341.000	0.000
341.000	0.000
341.000	0.000
341.000	0.000
341.000	0.000
341.000	0.000
341.000	0.000
341.000	0.000
341.000	0.000
341.000	0.000
341.000	0.000
341.000	0.000
341.000	0.000
341.000	0.000
341.000	0.000
341.000	0.000
341.000	0.000
341.000	0.000
341.000	0.000
341.000	0.000
341.000	0.000
341.000	0.000
341.000	0.000
341.000	0.000
341.000	0.000
341.000	0.000
341.000	0.000
341.000	0.000
341.000	0.000
341.000	0.000
341.000	0.000
341.000	0.000
341.000	0.000
341.000	0.000
341.000	0.000
341.000	0.000
341.000	0.000
341.000	0.000
341.000	0.000
341.000	0.000
341.000	0.000
341.000	0.000
341.000	0.000
341.000	0.000
341.000	0.000
341.000	0.000
341.000	0.000
341.000	0.000
341.000	0.000
341.000	0.000
341.000	0.000
341.000	0.000
341.000	0.000
341.000	0.000
341.000	0.000
341.000	0.000
341.000	0.000
341.000	0.000
341.000	0.000
341.000	0.000
341.000	0.000
341.000	0.000
341.000	0.000
341.000	0.000
341.000	0.000
341.000	0.000
341.000	0.000
341.000	0.000
341.000	0.000
341.000	0.000
341.000	0.000
341.000	0.000
341.000	0.000
341.000	0.000
341.000	0.000
341.000	0.000
341.000	0.000
341.000	0.000
341.000	0.000
341.000	0.000
341.000	0.000
341.000	0.000
341.000	0.000
341.000	0.000
341.000	0.000
341.000	0.000
341.000	0.000
341.000	0.000
341.000	0.000
341.000	0.000
341.000	0.000
341.000	0.000
341.000	0.000
341.000	0.000
341.000	0.000
341.000	0.000
341.000	0.000
341.000	0.000
341.000	0.000
341.000	0.000
341.000	0.000
341.000	0.000
341.000	0.000
341.000	0.000
341.000	0.000
341.000	0.000
341.000	0.000
341.000	0.000
341.000	0.000
341.000	0.000
341.000	0.000
341.000	0.000
341.000	0.000
341.000	0.000
341.000	0.000
341.000	0.000
341.000	0.000
341.000	0.000
341.000	0.000
341.000	0.000
341.000	0.000
341.000	0.000
341.000	0.000
341.000	0.000
341.000	0.000
341.000	0.000
341.000	0.000
341.000	0.000
341.000	0.000
341.000	0.000
341.000	0.000
341.000	0.000
341.000	0.000
341.000	0.000
341.000	0.000
341.000	0.000
341.000	0.000
341.000	0.000
341.000	0.000
341.000	0.000
341.000	0.000
341.000	0.000
341.000	0.000
341.000	0.000
341.000	0.000
341.000	0.000
341.000	0.000
341.000	0.000
341.000	0.000
341.000	0.000
341.000	0.000
341.000	0.000
341.000	0.000
341.000	0.000
341.000	0.000
341.000	0.000
341.000	0.000
341.000	0.000
341.000	0.000
341.000	0.000
341.000	0.000
341.000	0.000
341.000	0.000
341.000	0.000
341.000	0.000
341.000	0.000
341.000	0.000
341.000	0.000
341.000	0.000
341.000	0.000
341.000	0.000
341.000	0.000
341.000	0.000
341.000	0.000
341.000	0.000
341.000	0.000
341.000	0.000
341.000	0.000
341.000	0.000
341.000	0.000
341.000	0.000
341.000	0.000
341.000	0.000
341.000	0.000
341.000	0.000
341.000	0.000
341.000	0.000
341.000	0.000
341.000	0.000
341.000	0.000
341.000	0.000
341.000	0.000
341.000	0.000
341.000	0.000
341.000	0.000
341.000	0.000
341.000	0.000
341.000	0.000
341.000	0.000
341.000	0.000
341.000	0.000
341.000	0.000
341.000	0.000
341.000	0.000
341.000	0.000
341.000	0.000
341.000	0.000
341.000	0.000
341.000	0.000
341.000	0.000
341.000	0.000
341.000	0.000
341.000	0.000
341.000	0.000
341.000	0.000
341.000	0.000
341.000	0.000
341.000	0.000
341.000	0.000
341.000	0.000
341.000	0.000
341.000	0.000
341.000	0.000
341.000	0.000
341.000	0.000
341.000	0.000
341.000	0.000
341.000	0.000
341.000	0.000
341.000	0.000
341.000	0.000
341.000	0.000
341.000	0.000
341.000	0.000
341.000	0.000
341.000	0.000
341.000	0.000
341.000	0.000
341.000	0.000
341.000	0.000
341.000	0.000
341.000	0.000
341.000	0.000
341.000	0.000
341.000	0.000
341.000	0.000
341.000	0.000
341.000	0.000
341.000	0.000
341.000	0.000
341.000	0.000
341.000	0.000
341.000	0.000
341.000	0.000
341.000	0.000
341.000	0.000
341.000	0.000
341.000	0.000
341.000	0.000
341.000	0.000
341.000	0.000
341.000	0.000
341.000	0.000
341.000	0.000
341.000	0.000
341.000	0.000
341.000	0.000
341.000	0.000
341.000	0.000
341.000	0.000
341.000	0.000
341.000	0.000
341.000	0.000
341.000	0.000
341.000	0.000
341.000	0.000
341.000	0.000
341.000	0.000
341.000	0.000
341.000	0.000
341.000	0.000
341.000	0.000
341.000	0.000
341.000	0.000
341.000	0.000
341.000	0.000
341.000	0.000
341.000	0.000
341.000	0.000
341.000	0.000
341.000	0.000
341.000	0.000
341.000	0.000
341.000	0.000
341.000	0.000
341.000	0.000
