<j>	var(j)
1.242	0.369
2.954	0.780
4.020	0.592
4.832	0.355
5.493	0.422
6.648	0.648
8.067	0.881
9.115	0.516
9.961	0.977
11.392	0.982
12.313	0.752
13.332	1.439
14.811	1.335
15.821	1.152
16.773	0.959
17.513	0.870
18.460	1.508
19.889	1.709
21.030	1.200
21.880	1.754
23.376	3.612
25.397	3.619
26.793	3.123
27.964	2.916
28.979	1.917
29.624	1.139
30.070	0.945
30.536	1.119
31.219	1.718
32.345	2.609
33.794	2.703
34.990	2.061
35.908	2.355
37.108	4.121
38.993	6.800
41.317	8.675
43.484	7.142
44.901	4.664
45.799	3.904
46.604	4.001
47.468	4.054
48.353	3.590
49.134	2.775
49.755	2.201
50.296	2.209
50.913	2.817
51.770	3.862
52.939	4.792
54.276	4.863
55.506	3.982
56.450	2.734
57.099	1.926
57.607	1.868
58.188	2.597
59.092	4.402
60.609	7.176
62.669	8.544
64.598	7.583
66.106	6.557
67.353	5.775
68.419	4.935
69.322	4.447
70.168	5.127
71.213	8.003
72.866	13.369
75.287	17.250
77.767	15.570
79.657	12.901
81.133	12.128
82.487	12.415
83.840	12.978
85.207	13.674
86.608	14.613
88.061	15.453
89.538	15.336
90.947	13.761
92.168	11.259
93.146	8.849
93.920	7.125
94.561	6.118
95.129	5.652
95.680	5.620
96.252	5.996
96.888	6.810
97.639	8.159
98.560	10.048
99.698	12.155
101.052	13.674
102.503	13.523
103.869	11.588
104.993	8.970
105.848	6.915
106.527	5.940
107.133	6.046
107.787	7.120
108.589	9.076
109.629	11.771
110.966	14.806
112.575	17.663
114.389	19.700
116.271	20.275
118.077	18.674
119.636	15.418
120.872	11.954
121.817	9.700
122.597	9.192
123.364	10.676
124.286	14.348
125.548	20.133
127.272	26.252
129.389	28.881
131.505	25.516
133.236	18.842
134.450	12.938
135.279	9.246
135.883	7.291
136.379	6.371
136.828	6.007
137.270	6.008
137.730	6.273
138.225	6.827
138.789	7.693
139.440	8.928
140.216	10.503
141.136	12.199
142.203	13.550
143.376	14.064
144.560	13.549
145.682	12.648
146.716	12.675
147.774	15.071
149.061	21.438
150.870	32.011
153.434	42.972
156.472	46.131
159.335	39.859
161.574	31.663
163.259	26.547
164.655	24.140
165.907	23.216
167.107	22.939
168.287	22.897
169.456	23.188
170.634	23.507
171.820	23.832
173.013	24.071
174.212	24.124
175.402	24.347
176.595	24.743
177.796	25.311
179.022	26.150
180.275	26.926
181.552	27.617
182.850	28.086
184.154	28.107
185.440	27.652
186.700	26.567
187.890	24.626
188.988	22.025
189.965	18.980
190.806	15.825
191.513	12.924
192.099	10.455
192.576	8.471
192.973	6.999
193.309	5.946
193.607	5.200
193.874	4.770
194.125	4.604
194.383	4.729
194.653	5.231
194.967	6.303
195.363	8.307
195.900	11.983
196.703	18.675
197.977	30.424
199.987	48.732
203.031	70.904
206.962	85.064
211.040	81.385
214.482	65.376
217.008	48.206
218.786	35.136
220.060	26.216
221.010	20.350
221.747	16.510
222.359	13.951
222.883	12.206
223.349	11.015
223.780	10.163
224.187	9.526
224.577	9.057
224.953	8.691
225.328	8.395
225.699	8.132
226.057	7.886
226.419	7.655
226.782	7.441
227.139	7.208
227.497	6.972
227.847	6.777
228.195	6.623
228.550	6.492
228.903	6.464
229.260	6.503
229.634	6.656
230.030	6.925
230.446	7.304
230.896	7.829
231.396	8.550
231.954	9.603
232.589	11.314
233.352	14.444
234.366	20.654
235.827	33.107
238.131	55.973
241.765	88.288
246.726	111.030
251.885	103.667
255.995	77.488
258.779	53.534
260.606	37.799
261.897	28.111
262.845	21.934
263.599	17.788
264.209	14.862
264.735	12.759
265.191	11.276
265.603	10.367
265.989	9.992
266.371	10.144
266.769	10.876
267.204	12.320
267.711	14.639
268.326	17.973
269.091	22.419
270.058	27.942
271.242	34.041
272.683	39.856
274.336	43.949
276.117	45.274
277.867	43.824
279.531	40.415
281.025	36.497
282.364	32.969
283.553	30.373
284.654	28.603
285.691	27.606
286.699	27.196
287.687	27.234
288.677	27.727
289.688	28.681
290.748	30.106
291.847	31.768
293.007	33.689
294.227	35.532
295.513	37.105
296.847	38.166
298.201	38.476
299.536	38.096
300.850	37.066
302.124	35.732
303.339	34.083
304.493	32.358
305.576	30.611
306.609	28.906
307.578	27.359
308.500	25.984
309.377	25.035
310.224	24.457
311.055	24.438
311.904	25.097
312.777	26.345
313.691	27.991
314.667	29.802
315.712	31.423
316.808	32.389
317.936	32.335
319.045	31.113
320.108	28.763
321.085	25.717
321.959	22.362
322.716	19.146
323.370	16.328
323.929	14.051
324.419	12.253
324.852	10.917
325.247	9.923
325.615	9.238
325.960	8.761
326.295	8.437
326.625	8.226
326.953	8.148
327.284	8.229
327.626	8.555
327.987	9.251
328.390	10.580
328.867	13.022
329.472	17.333
330.292	24.624
331.454	36.102
333.162	52.390
335.550	70.550
338.596	83.753
341.907	84.932
344.973	75.529
347.531	63.713
349.626	55.429
351.422	51.838
353.102	51.393
354.749	51.771
356.365	51.442
357.944	49.493
359.432	45.978
360.816	41.348
362.053	36.410
363.120	31.505
364.033	27.098
364.823	23.307
365.521	20.141
366.122	17.682
366.650	15.778
367.138	14.413
367.581	13.605
368.010	13.304
368.437	13.611
368.888	14.618
369.380	16.316
369.931	18.786
370.577	22.069
371.346	26.127
372.260	30.690
373.339	35.482
374.578	39.589
375.934	42.364
377.357	43.086
378.780	41.799
380.157	38.992
381.415	35.206
382.528	31.098
383.519	27.108
384.380	23.512
385.128	20.359
