<j>	<F>
1.563	15.004
2.718	13.449
3.608	14.310
4.058	22.863
5.075	22.734
6.264	21.633
8.274	12.614
8.829	15.224
9.132	22.496
10.296	23.115
11.895	16.762
12.516	20.432
13.927	17.383
14.628	20.092
15.967	17.827
16.780	19.709
18.403	17.187
20.449	14.749
21.911	12.660
22.446	13.746
22.839	15.555
23.247	17.891
23.998	19.475
24.881	19.689
25.260	22.584
26.077	24.690
28.701	18.639
29.963	16.756
30.467	18.359
31.252	19.390
32.295	19.600
34.733	17.451
37.516	13.325
38.178	13.557
38.501	14.655
38.737	16.096
38.922	17.919
39.090	20.162
39.316	22.717
39.763	24.959
40.769	25.349
42.620	22.644
43.906	21.267
44.553	22.414
46.588	21.078
50.358	15.839
52.313	14.335
53.427	14.135
54.215	14.453
55.152	14.739
56.406	14.633
57.572	14.440
58.251	14.721
58.575	15.499
58.763	16.582
58.911	17.876
59.063	19.347
59.312	20.881
60.024	21.836
62.043	20.380
64.070	18.379
65.019	18.376
65.950	18.630
67.237	18.403
68.766	17.783
70.113	17.314
71.069	17.346
71.888	17.647
72.906	17.776
74.172	17.553
75.317	17.366
76.137	17.562
76.842	17.979
77.786	18.220
79.308	17.853
81.237	16.944
82.711	16.374
83.466	16.528
83.850	17.132
84.156	17.911
84.580	18.654
85.301	19.116
86.348	19.152
87.353	19.120
88.026	19.477
88.621	20.058
89.833	20.120
92.552	18.584
95.305	16.740
96.446	16.423
96.853	16.893
97.132	17.571
97.511	18.233
98.165	18.691
99.242	18.751
100.656	18.440
102.219	18.015
104.143	17.392
106.442	16.462
108.236	15.808
109.145	15.788
109.545	16.182
109.766	16.765
109.982	17.417
110.419	17.995
111.784	18.056
115.588	16.581
120.360	14.313
122.684	13.444
123.579	13.436
124.055	13.677
124.390	14.009
124.679	14.385
124.970	14.782
125.296	15.183
125.687	15.568
126.167	15.920
126.750	16.221
127.424	16.469
128.145	16.683
128.858	16.896
129.540	17.133
130.257	17.374
131.270	17.488
133.127	17.163
136.049	16.192
138.691	15.246
140.014	14.977
140.522	15.183
140.756	15.575
140.922	16.034
141.078	16.525
141.243	17.037
141.425	17.565
141.630	18.105
141.865	18.652
142.142	19.196
142.489	19.718
142.994	20.157
143.895	20.349
145.648	19.960
148.384	18.865
151.071	17.764
152.967	17.199
154.393	16.980
155.904	16.804
158.165	16.360
161.530	15.453
164.907	14.475
166.972	13.988
167.915	13.960
168.359	14.153
168.633	14.432
168.861	14.745
169.084	15.074
169.321	15.410
169.577	15.751
169.857	16.094
170.162	16.437
170.495	16.779
170.872	17.114
171.368	17.415
172.236	17.586
174.128	17.357
177.760	16.388
181.832	15.132
184.171	14.513
185.059	14.490
185.393	14.714
185.568	15.020
185.701	15.359
185.823	15.716
185.946	16.087
186.078	16.471
186.235	16.861
186.465	17.243
186.924	17.562
188.123	17.635
191.245	17.011
196.555	15.506
200.740	14.292
202.427	13.963
202.968	14.069
203.189	14.307
203.334	14.586
203.465	14.882
203.600	15.187
203.753	15.499
203.939	15.811
204.186	16.114
204.536	16.393
205.056	16.622
205.838	16.762
206.978	16.773
208.506	16.633
210.314	16.378
212.189	16.093
213.993	15.840
215.759	15.619
217.629	15.388
219.719	15.107
221.985	14.778
224.192	14.459
226.066	14.224
227.484	14.108
228.488	14.105
229.187	14.187
229.680	14.329
230.040	14.513
230.318	14.726
230.549	14.960
230.759	15.209
230.971	15.465
231.212	15.722
231.510	15.970
231.906	16.197
232.453	16.383
233.216	16.506
234.247	16.543
235.546	16.488
237.028	16.364
238.558	16.218
240.030	16.088
241.416	15.987
242.726	15.911
243.950	15.860
245.046	15.842
245.972	15.871
246.718	15.955
247.309	16.087
247.793	16.258
248.215	16.454
248.619	16.663
249.034	16.873
249.489	17.077
250.002	17.265
250.592	17.431
251.278	17.568
252.117	17.661
253.316	17.660
255.518	17.402
259.870	16.581
266.074	15.241
270.905	14.210
273.145	13.840
273.998	13.840
274.376	13.972
274.620	14.147
274.841	14.335
275.074	14.525
275.339	14.713
275.652	14.896
276.029	15.068
276.490	15.224
277.052	15.358
277.729	15.466
278.518	15.546
279.398	15.601
280.326	15.641
281.244	15.679
282.099	15.729
282.859	15.802
283.516	15.901
284.085	16.026
284.594	16.170
285.084	16.324
285.607	16.476
286.226	16.607
287.011	16.699
288.020	16.732
289.251	16.699
290.599	16.625
291.878	16.556
292.922	16.543
293.668	16.608
294.153	16.749
294.452	16.949
294.633	17.190
294.747	17.459
294.825	17.747
294.886	18.050
294.940	18.364
294.998	18.686
295.071	19.014
295.191	19.338
295.442	19.634
296.080	19.825
297.814	19.698
301.825	18.876
307.533	17.488
311.671	16.518
313.550	16.219
314.417	16.236
315.018	16.344
315.617	16.462
316.299	16.564
317.086	16.640
317.967	16.691
318.900	16.725
319.825	16.757
320.686	16.803
321.447	16.872
322.102	16.968
322.665	17.090
323.160	17.233
323.612	17.390
324.035	17.557
324.441	17.732
324.829	17.914
325.194	18.104
325.532	18.305
325.835	18.519
326.100	18.749
326.327	18.995
326.517	19.257
326.675	19.536
326.806	19.830
326.917	20.138
327.013	20.460
327.102	20.793
327.200	21.132
327.362	21.463
327.841	21.715
329.893	21.542
338.118	19.730
353.231	16.241
362.863	14.326
367.321	13.664
369.581	13.429
370.712	13.390
371.272	13.449
371.567	13.557
371.747	13.688
371.877	13.831
371.987	13.980
372.091	14.133
372.197	14.290
372.312	14.448
372.447	14.606
372.613	14.763
372.830	14.915
373.125	15.057
373.536	15.184
374.112	15.285
374.906	15.350
375.957	15.370
377.257	15.343
378.722	15.281
380.200	15.208
381.528	15.156
382.604	15.144
383.409	15.180
383.989	15.258
384.410	15.368
384.737	15.499
385.022	15.642
385.311	15.789
385.644	15.931
386.074	16.060
386.699	16.161
387.734	16.200
389.694	16.102
393.597	15.719
400.472	14.905
409.131	13.833
416.255	12.984
420.647	12.530
423.288	12.328
425.130	12.238
426.608	12.195
427.862	12.177
428.929	12.178
429.821	12.198
430.553	12.233
431.146	12.284
431.626	12.347
432.014	12.421
432.334	12.504
432.600	12.593
432.828	12.688
433.025	12.788
433.201	12.892
433.359	13.000
433.505	13.110
433.640	13.224
433.767	13.340
433.889	13.459
434.005	13.580
434.117	13.704
434.227	13.830
434.335	13.958
434.443	14.088
434.550	14.221
434.659	14.355
434.771	14.492
434.887	14.630
435.009	14.769
435.142	14.909
435.291	15.050
435.467	15.189
435.692	15.324
436.004	15.449
436.484	15.555
437.282	15.620
438.668	15.607
441.035	15.460
444.699	15.131
449.393	14.650
454.053	14.159
457.648	13.803
459.970	13.618
461.371	13.558
462.241	13.572
462.836	13.624
463.289	13.697
463.666	13.781
464.000	13.872
464.307	13.968
464.595	14.067
464.872	14.169
465.141	14.273
465.403	14.380
465.660	14.488
465.911	14.598
466.158	14.711
466.397	14.825
466.629	14.942
466.851	15.062
467.062	15.185
467.261	15.311
467.448	15.441
467.620	15.575
467.779	15.712
467.924	15.854
468.057	16.000
468.181	16.150
468.299	16.303
468.421	16.458
468.566	16.614
468.772	16.763
469.125	16.895
469.800	16.983
471.136	16.975
473.643	16.792
477.670	16.371
482.613	15.790
486.946	15.280
489.732	14.991
491.180	14.904
491.855	14.938
492.163	15.032
492.312	15.153
492.397	15.287
492.456	15.427
492.506	15.571
492.555	15.718
492.609	15.867
492.673	16.017
492.755	16.167
492.870	16.315
493.043	16.458
493.314	16.589
493.754	16.698
494.471	16.769
495.614	16.777
497.333	16.699
499.662	16.523
502.382	16.279
505.034	16.034
507.197	15.855
508.721	15.768
509.700	15.765
510.303	15.820
510.677	15.912
510.921	16.027
511.091	16.156
511.220	16.294
511.323	16.438
511.410	16.586
511.485	16.739
511.552	16.896
511.611	17.056
511.664	17.220
511.713	17.387
511.758	17.558
511.801	17.732
511.841	17.909
511.880	18.090
511.919	18.273
511.960	18.459
512.004	18.648
512.056	18.838
512.121	19.030
512.209	19.220
512.336	19.406
512.535	19.582
512.859	19.737
513.406	19.852
514.330	19.895
515.847	19.823
518.151	19.595
521.205	19.216
524.594	18.768
527.749	18.365
530.338	18.070
532.329	17.887
533.821	17.796
534.927	17.774
535.761	17.802
536.440	17.861
537.097	17.930
537.897	17.982
539.052	17.983
540.799	17.894
543.284	17.687
546.335	17.383
549.405	17.064
551.927	16.822
553.698	16.694
554.850	16.664
555.618	16.696
556.193	16.762
556.692	16.843
557.182	16.927
557.692	17.009
558.233	17.087
558.800	17.161
559.385	17.232
