<j>	<Ffjc>
1221.400	8.568
1222.000	8.580
1222.000	8.601
1222.000	8.622
1222.000	8.643
1222.000	8.665
1222.000	8.686
1222.000	8.708
1222.000	8.730
1222.000	8.751
1222.000	8.773
1222.000	8.795
1222.000	8.817
1222.000	8.840
1222.000	8.862
1222.000	8.884
1222.000	8.907
1222.000	8.929
1222.000	8.952
1222.000	8.974
1222.000	8.997
1222.000	9.020
1222.000	9.043
1222.000	9.066
1222.000	9.089
1222.000	9.113
1222.000	9.136
1222.000	9.160
1222.000	9.183
1222.000	9.207
1222.000	9.231
1222.000	9.254
1222.000	9.278
1222.000	9.303
1222.000	9.327
1222.000	9.351
1222.000	9.376
1222.000	9.400
1222.000	9.425
1222.000	9.449
1222.000	9.474
1222.000	9.499
1222.000	9.524
1222.000	9.550
1222.000	9.575
1222.000	9.600
1222.000	9.626
1222.000	9.651
1222.000	9.677
1222.000	9.703
1222.000	9.729
1222.000	9.755
1222.000	9.781
1222.000	9.808
1222.000	9.834
1222.000	9.861
1222.000	9.887
1222.000	9.914
1222.000	9.941
1222.000	9.968
1222.000	9.996
1222.000	10.023
1222.000	10.050
1222.000	10.078
1222.000	10.106
1222.000	10.134
1222.000	10.162
1222.000	10.190
1222.000	10.218
1222.000	10.246
1222.000	10.275
1222.000	10.303
1222.000	10.332
1222.000	10.361
1222.000	10.390
1222.000	10.419
1222.000	10.449
1222.000	10.478
1222.000	10.508
1222.000	10.538
1222.000	10.568
1222.000	10.598
1222.000	10.628
1222.000	10.658
1222.000	10.689
1222.000	10.720
1222.000	10.750
1222.000	10.781
1222.000	10.813
1222.000	10.844
1222.000	10.875
1222.000	10.907
1222.000	10.939
1222.000	10.971
1222.000	11.003
1222.000	11.035
1222.000	11.067
1222.000	11.100
1222.000	11.133
1222.000	11.166
1222.000	11.199
1222.000	11.232
1222.000	11.266
1222.000	11.299
1222.000	11.333
1222.000	11.367
1222.000	11.401
1222.000	11.435
1222.000	11.470
1222.000	11.505
1222.000	11.539
1222.000	11.575
1222.000	11.610
1222.000	11.645
1222.000	11.681
1222.000	11.717
1222.000	11.753
1222.000	11.789
1222.000	11.825
1222.000	11.862
1222.000	11.899
1222.000	11.935
1222.000	11.973
1222.000	12.010
1222.000	12.048
1222.000	12.085
1222.000	12.123
1222.000	12.162
1222.000	12.200
1222.000	12.239
1222.000	12.277
1222.000	12.317
1222.000	12.356
1222.000	12.395
1222.000	12.435
1222.000	12.475
1222.000	12.515
1222.000	12.555
1222.000	12.596
1222.000	12.637
1222.000	12.678
1222.000	12.719
1222.000	12.761
1222.000	12.803
1222.000	12.845
1222.000	12.887
1222.000	12.929
1222.000	12.972
1222.000	13.015
1222.000	13.058
1222.000	13.102
1222.000	13.145
1222.000	13.189
1222.000	13.234
1222.000	13.278
1222.000	13.323
1222.000	13.368
1222.000	13.413
1222.000	13.459
1222.000	13.504
1222.000	13.551
1222.000	13.597
1222.000	13.644
1222.000	13.690
1222.000	13.738
1222.000	13.785
1222.000	13.833
1222.000	13.881
1222.000	13.929
1222.000	13.978
1222.000	14.027
1222.000	14.076
1222.000	14.125
1222.000	14.175
1222.000	14.225
1222.000	14.276
1222.000	14.326
1222.000	14.377
1222.000	14.429
1222.000	14.480
1222.000	14.532
1222.000	14.584
1222.000	14.637
1222.000	14.690
1222.000	14.743
1222.000	14.797
1222.000	14.851
1222.000	14.905
1222.000	14.959
1222.000	15.014
1222.000	15.069
1222.000	15.125
1222.000	15.181
1222.000	15.237
1222.000	15.294
1222.000	15.351
1222.000	15.408
1222.000	15.466
1222.000	15.524
1222.000	15.582
1222.000	15.641
1222.000	15.700
1222.000	15.760
1222.000	15.820
1222.000	15.880
1222.000	15.941
1222.000	16.002
1222.000	16.064
1222.000	16.125
1222.000	16.188
1222.000	16.250
1222.000	16.313
1222.000	16.377
1222.000	16.441
1222.000	16.505
1222.000	16.570
1222.000	16.635
1222.000	16.700
1222.000	16.766
1222.000	16.833
1222.000	16.900
1222.000	16.967
1222.000	17.035
1222.000	17.103
1222.000	17.171
1222.000	17.240
1222.000	17.310
1222.000	17.380
1222.000	17.450
1222.000	17.521
1222.000	17.593
1222.000	17.664
1222.000	17.737
1222.000	17.809
1222.000	17.883
1222.000	17.956
1222.000	18.031
1222.000	18.105
1222.000	18.181
1222.000	18.256
1222.000	18.332
1222.000	18.409
1222.000	18.486
1222.000	18.564
1222.000	18.642
1222.000	18.721
1222.000	18.800
1222.000	18.880
1222.000	18.961
1222.000	19.042
1222.000	19.123
1222.000	19.205
1222.000	19.288
1222.000	19.371
1222.000	19.454
1222.000	19.538
1222.000	19.623
1222.000	19.709
1222.000	19.795
1222.000	19.881
1222.000	19.968
1222.000	20.056
1222.000	20.144
1222.000	20.233
1222.000	20.322
1222.000	20.412
1222.000	20.503
1222.000	20.594
1222.000	20.686
1222.000	20.779
1222.000	20.872
1222.000	20.966
1222.000	21.060
1222.000	21.155
1222.000	21.251
1222.000	21.347
1222.000	21.444
1222.000	21.542
1222.000	21.640
1222.000	21.739
1222.000	21.838
1222.000	21.939
1222.000	22.040
1222.000	22.141
1222.000	22.244
1222.000	22.347
1222.000	22.450
1222.000	22.555
1222.000	22.660
1222.000	22.766
1222.000	22.872
1222.000	22.979
1222.000	23.087
1222.000	23.196
1222.000	23.305
1222.000	23.415
1222.000	23.526
1222.000	23.638
1222.000	23.750
1222.000	23.863
1222.000	23.977
1222.000	24.092
1222.000	24.207
1222.000	24.324
1222.000	24.440
1222.000	24.558
1222.000	24.677
1222.000	24.796
1222.000	24.916
1222.000	25.037
1222.000	25.159
1222.000	25.281
1222.000	25.404
1222.000	25.528
1222.000	25.653
1222.000	25.779
1222.000	25.906
1222.000	26.033
1222.000	26.161
1222.000	26.290
1222.000	26.420
1222.000	26.551
1222.000	26.683
1222.000	26.815
1222.000	26.949
1222.000	27.083
1222.000	27.218
1222.000	27.354
1222.000	27.491
1222.000	27.629
1222.000	27.768
1222.000	27.907
1222.000	28.048
1222.000	28.189
1222.000	28.332
1222.000	28.475
1222.000	28.620
1222.000	28.765
1222.000	28.912
1222.000	29.059
1222.000	29.208
1222.000	29.357
1222.000	29.507
1222.000	29.659
1222.000	29.812
1222.000	29.965
1222.000	30.120
1222.000	30.276
1222.000	30.433
1222.000	30.591
1222.000	30.751
1222.000	30.911
1222.000	31.073
1222.000	31.236
1222.000	31.400
1222.000	31.565
1222.000	31.731
1222.000	31.899
1222.000	32.068
1222.000	32.239
1222.000	32.410
1222.000	32.583
1222.000	32.757
1222.000	32.933
1222.000	33.110
1222.000	33.288
1222.000	33.467
1222.000	33.648
1222.000	33.831
1222.000	34.014
1222.000	34.199
1222.000	34.385
1222.000	34.571
1222.000	34.751
1222.000	34.904
1222.000	34.992
1222.000	35.000
1222.000	35.000
1222.000	35.000
1222.000	35.000
1222.000	35.000
1222.000	35.000
1222.000	35.000
1222.000	35.000
1222.000	35.000
1222.000	35.000
1222.000	35.000
1222.000	35.000
1222.000	35.000
1222.000	35.000
1222.000	35.000
1222.000	35.000
1222.000	35.000
1222.000	35.000
1222.000	35.000
1222.000	35.000
1222.000	35.000
1222.000	35.000
1222.000	35.000
1222.000	35.000
1222.000	35.000
1222.000	35.000
1222.000	35.000
1222.000	35.000
1222.000	35.000
1222.000	35.000
1222.000	35.000
1222.000	35.000
1222.000	35.000
1222.000	35.000
1222.000	35.000
1222.000	35.000
1222.000	35.000
1222.000	35.000
1222.000	35.000
1222.000	35.000
1222.000	35.000
1222.000	35.000
1222.000	35.000
1222.000	35.000
1222.000	35.000
1222.000	35.000
1222.000	35.000
1222.000	35.000
1222.000	35.000
1222.000	35.000
1222.000	35.000
1222.000	35.000
1222.000	35.000
1222.000	35.000
1222.000	35.000
1222.000	35.000
1222.000	35.000
1222.000	35.000
1222.000	35.000
1222.000	35.000
1222.000	35.000
1222.000	35.000
1222.000	35.000
1222.000	35.000
1222.000	35.000
1222.000	35.000
1222.000	35.000
1222.000	35.000
1222.000	35.000
1222.000	35.000
1222.000	35.000
1222.000	35.000
1222.000	35.000
1222.000	35.000
1222.000	35.000
1222.000	35.000
1222.000	35.000
1222.000	35.000
1222.000	35.000
1222.000	35.000
1222.000	35.000
1222.000	35.000
1222.000	35.000
1222.000	35.000
1222.000	35.000
1222.000	35.000
1222.000	35.000
1222.000	35.000
1222.000	35.000
1222.000	35.000
1222.000	35.000
1222.000	35.000
1222.000	35.000
1222.000	35.000
1222.000	35.000
1222.000	35.000
1222.000	35.000
1222.000	35.000
1222.000	35.000
1222.000	35.000
1222.000	35.000
1222.000	35.000
1222.000	35.000
1222.000	35.000
1222.000	35.000
1222.000	35.000
1222.000	35.000
1222.000	35.000
1222.000	35.000
1222.000	35.000
1222.000	35.000
1222.000	35.000
1222.000	35.000
1222.000	35.000
1222.000	35.000
1222.000	35.000
1222.000	35.000
1222.000	35.000
1222.000	35.000
1222.000	35.000
1222.000	35.000
1222.000	35.000
1222.000	35.000
1222.000	35.000
1222.000	35.000
1222.000	35.000
1222.000	35.000
1222.000	35.000
1222.000	35.000
1222.000	35.000
1222.000	35.000
1222.000	35.000
1222.000	35.000
1222.000	35.000
1222.000	35.000
1222.000	35.000
1222.000	35.000
1222.000	35.000
1222.000	35.000
1222.000	35.000
1222.000	35.000
1222.000	35.000
1222.000	35.000
1222.000	35.000
1222.000	35.000
1222.000	35.000
1222.000	35.000
1222.000	35.000
1222.000	35.000
1222.000	35.000
1222.000	35.000
1222.000	35.000
1222.000	35.000
1222.000	35.000
1222.000	35.000
1222.000	35.000
1222.000	35.000
1222.000	35.000
1222.000	35.000
1222.000	35.000
1222.000	35.000
1222.000	35.000
1222.000	35.000
1222.000	35.000
1222.000	35.000
1222.000	35.000
1222.000	35.000
1222.000	35.000
1222.000	35.000
1222.000	35.000
1222.000	35.000
1222.000	35.000
1222.000	35.000
1222.000	35.000
1222.000	35.000
1222.000	35.000
1222.000	35.000
1222.000	35.000
1222.000	35.000
1222.000	35.000
1222.000	35.000
1222.000	35.000
1222.000	35.000
1222.000	35.000
1222.000	35.000
1222.000	35.000
1222.000	35.000
1222.000	35.000
1222.000	35.000
1222.000	35.000
1222.000	35.000
1222.000	35.000
1222.000	35.000
1222.000	35.000
1222.000	35.000
1222.000	35.000
1222.000	35.000
1222.000	35.000
1222.000	35.000
1222.000	35.000
1222.000	35.000
1222.000	35.000
1222.000	35.000
1222.000	35.000
1222.000	35.000
1222.000	35.000
1222.000	35.000
1222.000	35.000
1222.000	35.000
1222.000	35.000
1222.000	35.000
1222.000	35.000
1222.000	35.000
1222.000	35.000
1222.000	35.000
1222.000	35.000
1222.000	35.000
1222.000	35.000
1222.000	35.000
1222.000	35.000
1222.000	35.000
1222.000	35.000
1222.000	35.000
1222.000	35.000
1222.000	35.000
1222.000	35.000
1222.000	35.000
1222.000	35.000
1222.000	35.000
1222.000	35.000
1222.000	35.000
1222.000	35.000
1222.000	35.000
1222.000	35.000
1222.000	35.000
1222.000	35.000
1222.000	35.000
1222.000	35.000
1222.000	35.000
1222.000	35.000
1222.000	35.000
1222.000	35.000
1222.000	35.000
1222.000	35.000
1222.000	35.000
1222.000	35.000
1222.000	35.000
