<j>	<Ffjc>
1995.315	3.869
1999.000	3.865
1999.000	3.870
1999.000	3.875
1999.000	3.880
1999.000	3.886
1999.000	3.891
1999.000	3.896
1999.000	3.901
1999.000	3.906
1999.000	3.912
1999.000	3.917
1999.000	3.922
1999.000	3.927
1999.000	3.932
1999.000	3.938
1999.000	3.943
1999.000	3.948
1999.000	3.953
1999.000	3.959
1999.000	3.964
1999.000	3.969
1999.000	3.974
1999.000	3.980
1999.000	3.985
1999.000	3.990
1999.000	3.995
1999.000	4.001
1999.000	4.006
1999.000	4.011
1999.000	4.017
1999.000	4.022
1999.000	4.027
1999.000	4.033
1999.000	4.038
1999.000	4.043
1999.000	4.049
1999.000	4.054
1999.000	4.059
1999.000	4.065
1999.000	4.070
1999.000	4.075
1999.000	4.081
1999.000	4.086
1999.000	4.091
1999.000	4.097
1999.000	4.102
1999.000	4.107
1999.000	4.113
1999.000	4.118
1999.000	4.124
1999.000	4.129
1999.000	4.135
1999.000	4.140
1999.000	4.145
1999.000	4.151
1999.000	4.156
1999.000	4.162
1999.000	4.167
1999.000	4.173
1999.000	4.178
1999.000	4.183
1999.000	4.189
1999.000	4.194
1999.000	4.200
1999.000	4.205
1999.000	4.211
1999.000	4.216
1999.000	4.222
1999.000	4.227
1999.000	4.233
1999.000	4.238
1999.000	4.244
1999.000	4.249
1999.000	4.255
1999.000	4.261
1999.000	4.266
1999.000	4.272
1999.000	4.277
1999.000	4.283
1999.000	4.288
1999.000	4.294
1999.000	4.299
1999.000	4.305
1999.000	4.311
1999.000	4.316
1999.000	4.322
1999.000	4.327
1999.000	4.333
1999.000	4.339
1999.000	4.344
1999.000	4.350
1999.000	4.356
1999.000	4.361
1999.000	4.367
1999.000	4.372
1999.000	4.378
1999.000	4.384
1999.000	4.390
1999.000	4.395
1999.000	4.401
1999.000	4.407
1999.000	4.412
1999.000	4.418
1999.000	4.424
1999.000	4.429
1999.000	4.435
1999.000	4.441
1999.000	4.447
1999.000	4.452
1999.000	4.458
1999.000	4.464
1999.000	4.470
1999.000	4.475
1999.000	4.481
1999.000	4.487
1999.000	4.493
1999.000	4.498
1999.000	4.504
1999.000	4.510
1999.000	4.516
1999.000	4.522
1999.000	4.528
1999.000	4.533
1999.000	4.539
1999.000	4.545
1999.000	4.551
1999.000	4.557
1999.000	4.563
1999.000	4.568
1999.000	4.574
1999.000	4.580
1999.000	4.586
1999.000	4.592
1999.000	4.598
1999.000	4.604
1999.000	4.610
1999.000	4.616
1999.000	4.622
1999.000	4.628
1999.000	4.633
1999.000	4.639
1999.000	4.645
1999.000	4.651
1999.000	4.657
1999.000	4.663
1999.000	4.669
1999.000	4.675
1999.000	4.681
1999.000	4.687
1999.000	4.693
1999.000	4.699
1999.000	4.705
1999.000	4.711
1999.000	4.717
1999.000	4.723
1999.000	4.729
1999.000	4.736
1999.000	4.742
1999.000	4.748
1999.000	4.754
1999.000	4.760
1999.000	4.766
1999.000	4.772
1999.000	4.778
1999.000	4.784
1999.000	4.790
1999.000	4.797
1999.000	4.803
1999.000	4.809
1999.000	4.815
1999.000	4.821
1999.000	4.827
1999.000	4.833
1999.000	4.840
1999.000	4.846
1999.000	4.852
1999.000	4.858
1999.000	4.864
1999.000	4.871
1999.000	4.877
1999.000	4.883
1999.000	4.889
1999.000	4.896
1999.000	4.902
1999.000	4.908
1999.000	4.914
1999.000	4.921
1999.000	4.927
1999.000	4.933
1999.000	4.940
1999.000	4.946
1999.000	4.952
1999.000	4.959
1999.000	4.965
1999.000	4.971
1999.000	4.978
1999.000	4.984
1999.000	4.990
1999.000	4.997
1999.000	5.003
1999.000	5.010
1999.000	5.016
1999.000	5.022
1999.000	5.029
1999.000	5.035
1999.000	5.042
1999.000	5.048
1999.000	5.055
1999.000	5.061
1999.000	5.068
1999.000	5.074
1999.000	5.080
1999.000	5.087
1999.000	5.093
1999.000	5.100
1999.000	5.107
1999.000	5.113
1999.000	5.120
1999.000	5.126
1999.000	5.133
1999.000	5.139
1999.000	5.146
1999.000	5.152
1999.000	5.159
1999.000	5.166
1999.000	5.172
1999.000	5.179
1999.000	5.185
1999.000	5.192
1999.000	5.199
1999.000	5.205
1999.000	5.212
1999.000	5.219
1999.000	5.225
1999.000	5.232
1999.000	5.239
1999.000	5.245
1999.000	5.252
1999.000	5.259
1999.000	5.266
1999.000	5.272
1999.000	5.279
1999.000	5.286
1999.000	5.293
1999.000	5.299
1999.000	5.306
1999.000	5.313
1999.000	5.320
1999.000	5.327
1999.000	5.333
1999.000	5.340
1999.000	5.347
1999.000	5.354
1999.000	5.361
1999.000	5.368
1999.000	5.375
1999.000	5.381
1999.000	5.388
1999.000	5.395
1999.000	5.402
1999.000	5.409
1999.000	5.416
1999.000	5.423
1999.000	5.430
1999.000	5.437
1999.000	5.444
1999.000	5.451
1999.000	5.458
1999.000	5.465
1999.000	5.472
1999.000	5.479
1999.000	5.486
1999.000	5.493
1999.000	5.500
1999.000	5.507
1999.000	5.514
1999.000	5.521
1999.000	5.528
1999.000	5.536
1999.000	5.543
1999.000	5.550
1999.000	5.557
1999.000	5.564
1999.000	5.571
1999.000	5.578
1999.000	5.586
1999.000	5.593
1999.000	5.600
1999.000	5.607
1999.000	5.614
1999.000	5.622
1999.000	5.629
1999.000	5.636
1999.000	5.643
1999.000	5.651
1999.000	5.658
1999.000	5.665
1999.000	5.673
1999.000	5.680
1999.000	5.687
1999.000	5.695
1999.000	5.702
1999.000	5.709
1999.000	5.717
1999.000	5.724
1999.000	5.732
1999.000	5.739
1999.000	5.746
1999.000	5.754
1999.000	5.761
1999.000	5.769
1999.000	5.776
1999.000	5.784
1999.000	5.791
1999.000	5.799
1999.000	5.806
