<j>	<F>
1121.469	13.349
1118.734	13.244
1116.063	13.132
1113.435	13.017
1110.921	12.894
1108.541	12.765
1106.224	12.633
1103.868	12.503
1101.352	12.379
1098.187	12.277
1091.046	12.304
1066.893	12.901
1038.969	13.705
1031.164	13.876
1029.278	13.817
1028.359	13.683
1027.536	13.514
1026.505	13.334
1025.007	13.161
1022.605	13.015
1018.042	12.941
1007.831	13.074
991.677	13.477
981.411	13.715
977.876	13.683
976.185	13.550
974.703	13.387
973.056	13.218
971.014	13.058
968.083	12.930
962.987	12.882
952.811	13.036
937.750	13.428
928.074	13.653
924.819	13.592
923.521	13.413
922.314	13.200
919.836	12.996
911.484	12.898
884.513	13.214
852.146	13.815
842.755	14.020
841.487	14.043
840.974	14.032
840.090	14.013
838.693	13.991
836.860	13.966
834.692	13.941
832.322	13.919
830.048	13.883
828.042	13.801
825.928	13.671
822.745	13.533
817.001	13.464
807.724	13.534
797.452	13.678
789.535	13.749
782.920	13.747
775.745	13.743
767.673	13.763
759.369	13.824
752.649	13.921
749.056	13.992
747.699	13.995
746.989	13.928
746.158	13.798
744.927	13.621
742.888	13.439
739.137	13.326
733.001	13.354
726.451	13.435
722.119	13.397
719.733	13.228
718.217	12.990
716.870	12.733
714.920	12.511
710.710	12.425
702.362	12.571
691.502	12.825
678.904	13.143
666.223	13.508
658.482	13.678
654.441	13.642
651.072	13.542
647.079	13.471
642.829	13.423
639.410	13.312
636.926	13.114
634.195	12.905
628.480	12.867
617.349	13.181
607.670	13.440
602.066	13.423
596.143	13.394
588.206	13.541
581.997	13.671
579.171	13.569
577.626	13.326
576.259	13.031
574.642	12.739
572.347	12.491
568.490	12.353
560.839	12.470
548.000	12.929
535.977	13.392
529.997	13.479
527.155	13.305
524.540	13.082
521.174	12.897
516.052	12.834
507.779	13.042
500.573	13.202
497.412	13.016
495.720	12.685
493.998	12.352
491.207	12.103
482.339	12.354
467.545	13.147
463.214	13.048
462.270	12.624
461.678	12.167
461.012	11.731
460.049	11.339
457.787	11.074
447.472	11.487
431.514	12.277
420.329	12.428
394.010	13.350
380.223	13.961
378.378	14.009
377.241	13.959
375.566	13.927
374.144	13.837
373.097	13.549
371.846	13.130
369.717	12.716
364.158	12.475
343.567	12.535
269.110	13.090
190.000	13.870
174.004	14.021
168.392	14.026
163.650	14.034
160.904	14.043
159.584	14.048
158.893	14.050
158.651	14.052
158.573	14.052
158.518	14.052
158.490	14.053
158.480	14.053
158.473	14.053
158.469	14.053
158.468	14.053
158.468	14.053
158.467	14.053
158.466	14.053
158.464	14.053
158.463	14.053
158.462	14.053
158.461	14.053
158.454	14.052
158.435	14.052
158.404	14.052
158.314	14.050
158.101	14.047
157.838	14.046
157.509	14.041
156.950	14.025
156.122	14.026
155.553	14.011
154.575	13.946
153.300	13.821
151.851	13.260
149.589	12.406
144.093	12.279
135.443	12.837
128.552	13.118
122.703	13.217
117.763	13.044
111.303	12.973
104.189	13.436
100.017	13.250
92.053	12.586
74.928	13.518
66.672	13.813
63.411	13.898
61.611	13.935
58.949	13.761
57.278	13.835
56.063	13.568
53.288	11.858
45.666	12.175
39.780	13.241
32.793	12.274
25.139	13.626
22.910	13.272
16.928	14.233
12.711	11.415
7.511	10.654
1.691	13.610
