<j>	<Ffjc>
1046.985	13.391
1049.029	13.351
1051.261	13.303
1053.649	13.247
1056.134	13.187
1058.636	13.125
1061.067	13.066
1063.344	13.013
1065.406	12.969
1067.220	12.936
1068.780	12.914
1070.100	12.903
1071.211	12.901
1072.147	12.907
1072.944	12.919
1073.639	12.937
1074.260	12.958
1074.837	12.981
1075.393	13.005
1075.948	13.030
1076.523	13.055
1077.133	13.078
1077.794	13.099
1078.521	13.118
1079.326	13.133
1080.219	13.145
1081.207	13.152
1082.291	13.156
1083.469	13.155
1084.730	13.150
1086.061	13.142
1087.438	13.132
1088.837	13.121
1090.231	13.109
1091.593	13.098
1092.902	13.089
1094.142	13.084
1095.301	13.081
1096.376	13.082
1097.370	13.087
1098.288	13.095
1099.142	13.106
1099.944	13.119
1100.707	13.134
1101.446	13.150
1102.176	13.168
1102.911	13.185
1103.667	13.201
1104.459	13.216
1105.302	13.229
1106.210	13.240
1107.199	13.247
1108.281	13.250
1109.468	13.249
1110.770	13.244
1112.189	13.233
1113.726	13.217
1115.372	13.196
1117.113	13.171
1118.928	13.143
1120.789	13.113
1122.666	13.082
1124.529	13.051
1126.349	13.021
1128.104	12.995
1129.775	12.971
1131.351	12.952
1132.826	12.937
1134.202	12.925
1135.481	12.918
1136.672	12.915
1137.782	12.914
1138.822	12.917
1139.805	12.923
1140.741	12.930
1141.645	12.939
1142.528	12.948
1143.405	12.959
1144.290	12.969
1145.198	12.978
1146.143	12.987
1147.141	12.993
1148.205	12.997
1149.347	12.997
1150.576	12.995
1151.897	12.988
1153.307	12.979
1154.798	12.965
1156.353	12.949
1157.949	12.931
1159.556	12.912
1161.144	12.894
1162.682	12.877
1164.143	12.863
1165.505	12.853
1166.755	12.847
1167.888	12.845
1168.904	12.848
1169.810	12.856
1170.614	12.867
1171.330	12.882
1171.969	12.901
1172.546	12.921
1173.073	12.945
1173.560	12.969
1174.020	12.996
1174.460	13.023
1174.891	13.050
1175.318	13.078
1175.750	13.106
1176.192	13.134
1176.650	13.161
1177.128	13.188
1177.632	13.214
1178.165	13.238
1178.731	13.262
1179.333	13.284
1179.975	13.304
1180.657	13.323
1181.381	13.340
1182.148	13.355
1182.958	13.369
1183.809	13.381
1184.700	13.391
1185.627	13.399
1186.589	13.407
1187.579	13.412
1188.593	13.417
1189.626	13.421
1190.671	13.424
1191.721	13.427
1192.771	13.430
1193.812	13.434
1194.839	13.437
1195.844	13.442
1196.823	13.447
1197.770	13.454
1198.680	13.462
1199.551	13.472
1200.380	13.483
1201.166	13.497
1201.910	13.512
1202.612	13.529
1203.274	13.547
1203.899	13.567
1204.490	13.589
1205.052	13.612
1205.587	13.636
1206.101	13.662
1206.598	13.688
1207.082	13.715
1207.558	13.742
1208.030	13.770
1208.501	13.797
1208.977	13.825
1209.462	13.853
1209.960	13.880
1210.476	13.906
1211.016	13.931
1211.589	13.956
1212.205	13.978
1212.880	13.998
1213.637	14.016
1214.510	14.028
1215.550	14.034
1216.832	14.031
1218.461	14.013
1220.580	13.977
1223.361	13.915
1226.979	13.821
1231.548	13.689
1237.018	13.521
1243.106	13.329
1249.320	13.132
1255.116	12.950
1260.096	12.799
1264.099	12.685
1267.171	12.607
1269.468	12.559
1271.170	12.533
1272.438	12.524
1273.397	12.527
1274.138	12.539
1274.724	12.556
1275.200	12.577
1275.594	12.602
1275.929	12.629
1276.219	12.658
1276.473	12.688
1276.701	12.719
1276.906	12.752
1277.095	12.785
1277.269	12.819
1277.432	12.853
1277.586	12.888
1277.731	12.923
1277.869	12.959
1278.002	12.995
1278.130	13.032
1278.254	13.069
1278.374	13.106
1278.492	13.143
1278.607	13.181
1278.721	13.219
1278.834	13.257
1278.946	13.296
1279.057	13.335
1279.170	13.373
1279.284	13.412
1279.400	13.451
1279.519	13.491
1279.643	13.530
1279.771	13.569
1279.907	13.608
1280.052	13.647
1280.207	13.686
1280.376	13.724
1280.562	13.762
1280.768	13.800
1281.001	13.836
1281.267	13.872
1281.576	13.906
1281.940	13.938
1282.379	13.967
1282.917	13.992
1283.594	14.013
1284.463	14.026
1285.605	14.029
1287.128	14.018
1289.181	13.987
1291.939	13.929
1295.582	13.839
1300.221	13.711
1305.807	13.548
1312.049	13.359
1318.446	13.164
1324.441	12.983
1329.623	12.832
1333.822	12.717
1337.078	12.636
1339.550	12.584
1341.423	12.554
1342.863	12.540
1343.999	12.538
1344.924	12.542
1345.705	12.553
1346.385	12.567
1346.994	12.583
1347.552	12.602
1348.073	12.621
1348.567	12.642
1349.038	12.664
1349.493	12.686
1349.936	12.709
1350.367	12.732
1350.792	12.756
1351.210	12.780
1351.624	12.804
1352.036	12.828
1352.448	12.852
1352.859	12.877
1353.273	12.901
1353.691	12.925
1354.113	12.950
1354.541	12.974
1354.976	12.998
1355.419	13.022
1355.872	13.045
1356.335	13.069
1356.811	13.092
1357.301	13.114
