<j>	<j^2>
-19.870	198.517
-12.888	198.517
-4.298	198.517
2.231	198.517
-5.007	198.517
-11.045	198.517
-6.016	198.517
25.170	198.517
16.110	198.517
21.642	198.517
-7.139	198.517
-4.455	198.517
15.643	198.517
6.339	198.517
-15.921	198.517
-7.052	198.517
3.761	198.517
18.112	198.517
3.774	198.517
3.662	198.517
27.757	198.517
30.129	198.517
-9.720	198.517
-5.138	198.517
32.631	198.517
-1.377	198.517
15.141	198.517
7.558	198.517
-16.771	198.517
8.796	198.517
7.813	198.517
23.051	198.517
-22.131	198.517
16.772	198.517
-19.320	198.517
8.734	198.517
-5.856	198.517
15.533	198.517
12.035	198.517
-0.234	198.517
9.155	198.517
1.261	198.517
18.525	198.517
7.691	198.517
-14.679	198.517
-8.837	198.517
12.193	198.517
16.714	198.517
-6.408	198.517
-12.666	198.517
5.025	187.245
-4.876	183.032
-0.345	181.993
5.927	181.975
-5.666	182.232
26.713	187.219
-7.250	187.803
-9.353	183.149
6.634	180.361
16.310	177.106
-10.800	179.033
-4.348	178.998
-11.187	180.527
0.822	180.464
10.722	173.818
-0.836	171.842
19.224	176.535
-11.715	177.405
-17.059	185.952
-10.458	189.672
-1.963	177.205
-13.357	165.671
0.476	163.100
9.536	163.337
10.723	145.502
-1.538	145.521
3.138	141.724
5.774	141.330
4.689	134.771
-4.179	134.360
12.914	136.215
-5.932	127.526
11.329	118.429
11.399	115.678
-3.957	107.351
5.200	106.600
3.128	105.435
8.274	102.450
4.441	100.418
-9.422	102.796
0.451	101.564
9.758	103.013
-1.241	97.025
14.321	99.708
3.472	94.567
0.620	92.358
-14.531	95.204
3.939	90.365
15.356	93.331
-15.864	95.366
-8.756	97.063
7.959	97.272
1.881	97.224
-3.938	97.313
-0.210	96.398
-4.447	83.402
-7.875	83.611
-4.152	82.041
-9.921	83.509
-4.754	78.672
13.233	79.686
-7.361	80.454
8.321	78.869
-3.555	79.240
-1.101	77.182
8.147	78.333
-2.699	71.288
0.277	68.347
14.842	65.954
6.172	63.675
7.356	64.141
21.842	67.479
2.842	67.418
-6.352	67.786
-1.133	66.376
-6.797	67.638
2.556	67.609
6.546	67.751
2.191	67.567
-4.693	67.694
-2.853	65.386
2.645	64.330
9.957	63.815
-7.251	63.183
-9.882	65.098
3.335	64.843
6.166	65.303
11.239	66.364
-1.831	66.276
1.213	64.059
-2.262	64.279
11.585	64.995
-2.136	65.096
2.149	61.477
-9.198	63.322
2.358	63.385
7.478	59.471
0.574	59.300
-2.315	55.179
-11.885	52.817
-2.279	51.154
2.967	50.202
3.441	50.323
4.422	50.114
-0.103	50.109
5.608	49.920
5.987	48.662
0.109	48.056
1.102	45.346
0.035	44.538
1.483	41.826
-4.861	41.038
9.270	41.315
9.687	42.007
4.446	41.938
-3.945	41.844
-0.956	41.585
-0.469	41.644
3.295	38.167
0.679	37.741
-3.204	37.433
4.678	28.903
-1.049	28.899
-0.946	27.898
2.950	27.885
-2.316	26.857
0.264	26.827
3.355	26.317
-1.127	26.377
-4.661	26.369
-3.769	26.528
-1.661	26.596
1.508	24.877
6.545	24.226
3.301	21.878
4.036	21.949
-3.057	21.788
-2.975	19.908
1.215	19.773
4.375	20.025
2.571	19.873
-1.908	17.669
-2.424	17.704
-4.982	18.298
3.907	16.517
-6.895	17.647
1.715	16.700
3.408	16.867
-3.176	16.984
-0.634	13.803
-2.455	13.825
8.110	14.814
21.716	23.405
18.264	29.033
17.999	34.387
21.326	41.718
20.222	47.973
13.316	50.182
21.666	57.259
16.177	60.413
17.313	64.135
11.886	63.826
17.955	67.156
17.065	69.865
14.499	71.884
8.506	70.614
21.221	75.147
22.949	80.556
15.452	82.261
20.263	85.632
15.981	85.434
12.704	86.016
20.868	88.428
14.174	87.830
17.990	89.417
12.945	87.627
17.486	87.881
11.116	87.397
19.465	87.500
21.160	86.171
11.448	82.394
13.599	79.743
14.557	78.424
22.784	80.985
17.753	80.642
17.841	80.386
13.661	76.023
14.481	71.545
21.543	70.685
16.508	69.546
12.898	67.342
20.237	63.613
14.511	58.334
16.851	51.085
8.559	49.547
16.628	40.187
15.221	36.594
16.731	33.775
14.318	26.641
12.921	21.258
12.982	14.391
17.530	13.011
14.592	12.511
15.116	12.464
18.015	12.466
15.785	11.943
15.600	11.609
15.702	11.452
19.904	11.117
10.807	11.679
18.368	11.758
11.630	11.802
24.501	13.177
17.148	13.180
14.812	13.161
12.754	12.196
14.171	11.757
17.892	10.854
9.553	11.682
12.592	11.487
13.957	11.548
16.649	11.379
17.255	10.888
14.759	10.858
15.640	10.750
14.623	10.620
12.613	10.738
17.714	10.403
15.386	10.113
20.312	9.936
16.314	9.580
12.649	9.680
18.993	9.866
14.879	8.860
22.439	9.704
15.821	9.612
14.282	9.568
17.592	9.606
11.160	9.314
17.195	9.350
14.044	9.251
16.794	8.836
11.905	9.079
14.443	9.060
15.632	8.078
15.456	8.055
17.033	8.097
11.902	8.336
16.292	8.320
17.209	8.233
12.991	8.232
16.833	8.187
18.116	8.291
12.879	8.441
15.816	8.323
17.728	8.415
16.487	8.430
15.932	8.432
12.568	8.231
16.499	7.790
13.545	7.712
16.848	7.430
17.785	5.896
20.272	6.304
17.747	6.389
23.580	7.476
17.344	7.464
18.935	7.572
19.840	7.023
18.595	6.883
20.554	7.143
21.041	7.581
20.313	7.869
19.980	8.042
21.276	8.454
19.204	8.481
20.498	8.372
19.881	8.531
18.917	8.546
18.381	8.366
19.913	8.517
19.681	8.223
18.895	8.216
20.267	8.273
21.543	8.104
21.248	8.354
19.100	8.194
18.200	8.203
20.969	7.562
19.257	7.599
17.015	7.320
18.152	7.298
20.392	6.665
17.392	6.404
20.380	6.373
16.931	6.250
16.203	6.305
20.387	5.554
18.768	5.464
18.516	5.432
22.356	5.092
20.755	5.107
17.215	5.146
17.899	4.453
18.131	4.276
15.703	4.453
22.549	4.609
20.301	4.453
18.560	3.590
18.383	3.457
15.461	3.088
18.463	2.983
18.542	2.949
16.353	3.097
18.526	3.063
17.570	2.715
20.695	2.700
17.207	2.776
22.254	2.963
73.952	62.940
127.544	293.060
110.103	446.678
77.352	502.690
68.578	539.283
73.721	583.504
69.757	617.776
63.606	641.080
59.164	656.940
20.753	656.175
27.749	653.464
31.078	651.248
29.624	648.846
32.650	646.019
32.902	643.705
30.859	641.769
35.480	639.932
35.103	636.844
32.636	632.887
37.905	630.806
36.874	627.407
37.917	622.534
34.297	617.707
68.623	638.015
65.592	650.478
56.877	654.389
66.397	664.082
60.318	664.912
65.863	673.135
61.795	674.367
47.190	665.655
24.666	664.043
20.099	664.584
26.259	657.581
25.936	651.362
49.023	641.666
40.112	627.804
63.003	628.311
69.010	630.886
62.558	624.191
64.981	617.512
61.463	603.135
26.914	594.865
25.688	587.660
32.122	572.977
34.428	559.419
30.273	547.114
35.621	535.069
39.251	517.012
53.609	503.062
72.379	501.518
63.964	378.834
64.504	304.542
64.868	292.157
63.711	288.281
56.247	275.033
63.722	269.967
62.963	269.516
58.937	269.396
62.298	260.941
58.337	255.710
63.942	255.230
47.824	248.059
23.225	255.956
26.167	261.115
35.095	258.469
44.163	255.426
39.272	253.495
44.721	248.551
70.295	255.104
66.584	257.485
63.140	257.706
69.676	259.245
60.427	254.785
67.732	256.141
63.642	258.637
61.309	256.018
69.877	261.408
59.454	258.440
59.179	257.451
57.967	258.011
61.969	245.118
64.937	226.653
63.817	213.787
63.923	199.433
57.124	198.913
61.767	195.373
60.185	194.629
57.127	190.709
67.159	192.577
39.079	195.400
30.076	206.108
35.127	198.439
64.233	183.645
63.296	174.291
68.286	168.274
68.799	157.426
56.999	148.069
59.315	141.382
65.596	142.280
60.029	138.026
65.619	138.508
62.744	138.079
59.501	137.072
62.227	136.742
60.889	136.935
62.913	136.746
64.426	137.110
62.150	137.491
56.652	137.062
67.443	139.010
68.955	140.781
61.006	138.866
68.069	115.241
63.629	93.101
61.013	80.452
62.616	75.131
62.382	65.657
65.100	60.338
62.229	58.747
62.540	58.210
65.655	58.528
62.443	57.107
62.136	57.114
64.573	56.472
67.710	57.217
68.089	58.160
64.204	56.832
76.089	61.149
61.799	61.029
67.414	61.401
69.915	62.712
62.456	62.535
66.684	62.921
66.002	63.171
68.150	63.395
66.648	63.775
65.161	63.831
67.603	63.751
63.215	63.338
63.841	51.851
66.061	29.284
64.684	12.174
68.632	12.534
63.631	12.520
83.218	19.300
84.801	27.049
60.354	26.165
71.792	26.299
67.819	26.415
60.643	26.286
67.382	26.359
65.265	26.202
69.258	25.694
80.761	29.898
71.351	29.853
89.135	39.946
78.881	42.691
67.145	42.172
66.908	39.842
69.640	39.938
86.250	46.951
90.743	56.342
73.921	56.940
69.784	56.461
69.393	55.245
67.985	54.457
66.666	53.676
89.955	62.039
83.480	64.737
84.244	67.587
70.821	67.122
68.985	65.828
68.892	64.400
73.610	63.751
85.575	67.778
81.820	69.750
78.007	69.408
77.627	69.722
73.843	67.667
74.044	67.273
86.221	71.034
72.641	68.900
69.249	68.393
74.083	67.445
87.025	70.837
77.158	70.161
79.990	69.461
85.499	71.281
84.574	70.794
85.377	70.555
67.006	70.225
89.881	72.194
64.558	73.688
81.169	71.316
82.632	71.148
87.102	72.092
90.105	70.889
81.716	70.944
80.264	69.522
79.573	64.078
72.035	62.619
85.592	60.784
91.577	62.926
87.044	64.349
85.078	64.160
82.870	62.274
85.534	63.245
83.588	60.898
81.904	57.978
85.799	56.812
83.571	56.234
78.303	53.669
88.825	54.811
80.559	52.796
83.888	50.805
100.723	55.984
87.718	52.697
84.824	51.396
81.905	51.294
85.555	51.497
79.628	49.347
88.907	47.275
88.460	44.709
86.056	43.501
85.022	43.434
108.308	56.923
95.509	59.588
81.594	59.000
85.595	57.235
80.801	55.535
93.541	57.374
93.815	56.699
82.546	52.109
90.093	50.436
86.561	50.398
97.685	52.424
86.157	51.871
96.537	54.383
90.168	54.785
101.810	59.993
91.252	52.959
91.662	53.269
96.566	45.075
90.616	44.552
82.857	44.510
106.033	51.487
89.205	51.416
83.671	51.014
85.880	49.930
96.328	49.877
92.995	44.838
95.535	45.589
106.617	51.810
106.971	58.068
91.260	57.713
90.692	56.776
109.070	63.764
111.913	72.093
95.412	70.821
83.637	71.382
95.490	70.582
92.175	67.075
92.232	66.925
112.611	72.974
98.700	72.287
93.991	70.955
101.348	72.042
105.371	73.867
97.183	71.537
109.033	75.013
98.576	71.154
85.496	72.135
95.696	71.483
92.667	70.117
93.467	68.280
120.757	78.316
115.592	86.875
91.348	83.317
86.809	82.856
94.936	78.355
109.468	81.952
91.817	82.221
117.916	87.689
106.606	88.624
112.146	90.682
83.932	94.439
105.064	92.939
119.759	102.582
102.333	101.550
97.484	101.331
90.124	101.684
109.789	103.314
117.271	110.082
102.770	108.819
93.360	103.950
110.767	105.647
103.701	103.660
117.214	103.868
104.269	99.563
116.342	103.763
97.945	102.556
103.660	101.901
119.203	107.618
111.979	109.154
99.814	106.865
96.415	104.837
