<j>	<F>
18.324	4.295
-9.644	5.212
-9.036	5.768
20.420	5.116
5.560	4.949
-7.190	5.469
11.176	5.508
-1.388	5.665
3.056	5.647
-7.127	6.273
18.888	5.378
19.826	5.104
4.366	5.097
15.533	4.904
9.454	4.879
-6.473	5.551
-0.091	5.669
20.442	5.092
16.975	4.978
10.231	4.813
6.964	5.068
10.146	5.021
23.135	4.632
11.513	4.700
21.008	4.272
10.964	4.710
6.061	4.727
5.149	5.102
-3.152	5.571
16.794	5.264
32.380	4.548
16.263	4.572
6.610	4.791
14.640	4.745
11.301	4.872
9.156	5.102
-7.400	5.367
-11.678	6.475
18.766	5.988
27.705	5.247
6.945	5.347
10.447	5.430
22.539	4.828
11.733	5.080
0.762	5.654
-9.771	6.289
8.174	6.326
15.491	5.809
10.437	5.818
13.274	5.508
16.710	5.465
6.654	5.669
11.092	5.646
10.688	5.582
8.461	5.734
0.913	6.277
6.274	6.248
7.420	6.228
5.173	6.278
20.358	5.878
9.860	6.032
33.009	4.987
0.629	5.615
3.302	6.112
4.314	6.471
25.880	5.534
15.711	5.571
44.957	4.541
13.399	4.944
4.185	5.490
16.505	5.321
25.897	4.950
-3.545	5.858
21.612	5.449
25.037	5.095
27.246	4.971
60.464	3.852
11.399	4.583
-10.192	5.473
7.963	5.821
14.737	5.767
0.995	6.302
-0.109	6.885
18.715	6.147
11.753	6.447
10.540	6.529
3.031	6.808
3.544	7.265
1.333	7.526
7.804	7.542
15.402	7.121
-9.006	8.202
9.746	7.961
-4.385	8.761
9.706	8.180
0.478	8.606
5.789	8.600
17.006	7.837
-4.277	8.742
0.560	8.941
-4.354	9.855
3.942	9.547
8.637	9.291
8.492	8.946
13.453	8.538
-2.147	9.311
8.140	9.054
0.917	9.241
8.617	9.116
0.552	9.508
0.034	9.891
5.338	9.674
11.880	9.241
5.587	9.297
0.740	9.859
6.967	9.430
-3.198	10.329
6.483	10.120
5.708	10.041
5.580	9.900
6.470	10.105
2.427	10.154
5.300	10.109
2.183	10.463
1.362	10.751
2.171	10.861
5.719	10.864
3.742	10.852
-0.045	11.416
10.499	10.464
6.204	10.739
9.026	10.442
14.477	9.669
6.703	9.936
-0.798	10.726
4.418	10.593
7.410	10.361
7.307	10.544
3.361	10.929
2.379	11.194
1.695	11.484
5.422	11.345
9.766	10.960
13.836	10.515
10.584	10.611
2.554	11.064
4.612	11.139
-6.586	12.273
6.616	11.627
5.840	11.807
0.744	12.206
3.634	12.214
-0.162	12.773
0.462	13.025
4.117	12.907
-3.041	13.674
1.476	13.807
-2.915	14.475
0.177	14.591
1.683	14.665
-2.718	15.285
1.268	15.319
-2.766	16.022
3.257	15.710
0.261	16.158
0.969	16.490
-0.155	16.655
-0.093	17.097
1.735	17.071
1.728	17.201
-2.160	18.034
-3.501	18.567
0.519	18.438
4.915	18.114
-0.349	18.860
0.110	19.159
1.620	19.125
-1.582	19.775
-0.786	20.004
0.458	20.194
0.084	20.499
1.396	20.498
-2.939	21.461
8.536	20.117
1.257	20.960
5.852	20.547
1.796	21.027
2.459	21.244
1.028	21.543
-0.570	22.018
-1.444	22.563
-1.966	22.882
1.543	22.776
3.248	22.613
1.863	22.996
-3.077	23.950
-1.847	24.187
-0.672	24.398
3.797	23.845
-0.951	24.746
0.514	24.874
-0.487	25.226
1.675	25.088
-1.688	25.875
0.207	25.865
-0.655	26.269
1.102	26.207
-3.398	27.263
-2.647	27.492
0.061	27.354
2.494	27.075
-2.996	28.227
2.896	27.528
0.708	27.891
-1.936	28.735
-0.214	28.690
14.845	26.081
20.463	24.379
20.650	23.644
19.508	23.125
18.745	22.582
18.604	22.031
20.541	21.180
42.995	17.688
46.832	15.801
40.801	15.240
34.432	14.853
34.020	14.160
36.986	13.207
27.555	13.313
33.853	12.441
27.616	12.351
25.224	12.335
25.718	12.175
19.616	12.482
21.555	12.342
23.893	12.121
26.745	11.917
18.869	12.364
14.448	12.992
18.633	12.752
11.950	13.604
15.848	13.626
11.306	14.198
16.365	14.201
14.521	14.597
20.877	14.239
15.943	14.690
16.528	14.827
19.857	14.748
20.225	14.754
20.967	14.653
14.261	15.494
21.989	14.894
14.135	15.795
14.446	16.084
21.655	15.556
11.620	16.724
22.451	16.031
22.199	15.824
13.675	16.847
16.166	16.938
14.476	17.403
15.669	17.593
16.653	17.686
14.687	18.236
20.598	17.661
17.181	18.096
14.296	18.688
15.899	18.870
22.521	18.205
14.709	19.083
10.464	20.027
16.969	19.760
16.804	19.879
15.958	20.190
14.111	20.644
17.931	20.398
18.679	20.393
12.982	21.465
20.039	20.726
11.377	21.978
15.918	21.889
21.238	21.102
18.280	21.502
18.115	21.709
16.671	22.009
15.597	22.509
17.792	22.283
16.783	22.547
15.872	22.854
12.724	23.695
16.652	23.363
11.697	24.409
13.289	24.573
13.435	24.849
11.354	25.549
20.097	24.428
15.444	25.163
13.167	25.925
19.383	24.999
16.572	25.426
17.888	25.394
15.399	25.864
19.187	25.464
17.627	25.708
20.050	25.417
19.150	25.411
11.834	26.912
16.864	26.352
15.728	26.605
15.548	26.957
15.885	27.060
12.334	27.883
17.339	27.349
14.266	27.955
16.869	27.778
16.050	28.006
17.283	27.908
15.824	28.325
15.724	28.523
15.890	28.710
16.708	28.633
14.109	29.349
17.464	28.854
17.255	28.936
15.317	29.550
12.978	30.137
15.935	29.935
16.350	29.904
13.718	30.567
14.621	30.736
14.919	30.800
17.253	30.494
17.630	30.538
17.068	30.703
15.650	31.115
13.379	31.760
17.422	31.173
13.629	32.103
15.910	31.806
17.897	31.518
14.015	32.440
13.570	32.830
15.556	32.599
15.509	32.750
17.933	32.355
13.739	33.252
15.396	33.231
12.774	33.943
14.669	33.814
16.483	33.507
12.844	34.488
16.870	33.806
16.855	33.838
14.256	34.591
13.787	34.920
14.091	35.048
13.428	35.438
12.574	35.831
15.424	35.431
13.976	35.920
14.209	36.095
119.012	17.153
134.326	13.598
106.414	14.208
99.766	12.968
80.376	12.812
69.933	12.291
44.480	13.143
27.646	14.839
27.718	15.092
30.909	15.127
36.589	14.711
31.785	15.319
60.100	12.914
30.153	14.839
36.364	14.472
32.738	15.048
34.251	15.038
34.720	15.176
39.927	14.823
33.136	15.455
28.086	16.275
58.742	13.725
61.421	12.499
27.270	15.220
32.148	15.261
40.222	14.708
32.220	15.547
49.177	14.380
69.749	12.157
32.133	14.541
27.067	15.564
35.077	15.297
43.564	14.804
65.981	12.554
69.390	11.619
33.744	13.721
27.684	15.049
35.836	14.871
43.120	14.645
67.585	12.215
43.613	13.500
29.012	15.259
32.918	15.490
36.584	15.550
70.176	12.761
