<j>	<F>
-1.311	8.344
-1.311	8.344
-1.311	8.344
-1.311	8.344
-1.311	8.344
-1.311	8.344
-1.311	8.344
-1.311	8.344
-1.311	8.344
-1.311	8.344
-1.094	9.480
0.000	10.709
-0.351	12.155
0.533	13.645
3.110	15.022
10.296	15.641
18.642	15.849
24.708	15.920
28.471	16.051
32.850	16.057
37.166	15.964
41.768	15.738
47.809	15.192
54.744	14.352
60.585	13.482
61.312	13.240
60.842	13.334
62.821	13.448
66.729	13.421
70.526	13.363
74.480	13.268
78.082	13.177
80.393	13.217
81.901	13.443
84.206	13.649
86.996	13.848
90.219	14.000
93.132	14.159
96.149	14.320
99.892	14.404
104.260	14.364
108.773	14.238
112.912	14.096
116.206	13.998
120.047	13.894
122.571	13.913
125.214	13.957
128.321	14.000
133.529	13.821
135.831	13.865
139.094	13.870
142.362	13.885
146.599	13.820
150.275	13.772
153.082	13.790
156.481	13.771
160.066	13.753
163.583	13.719
164.771	13.920
168.846	13.902
171.410	13.998
173.615	14.160
175.887	14.338
178.465	14.503
181.486	14.631
184.389	14.765
186.895	14.930
189.371	15.107
192.018	15.285
193.983	15.539
197.207	15.651
199.911	15.819
202.603	15.969
205.283	16.129
207.755	16.310
210.965	16.411
214.001	16.506
218.323	16.469
222.698	16.341
227.064	16.169
230.831	16.064
233.961	16.003
237.231	15.948
240.946	15.865
245.235	15.701
249.879	15.502
254.502	15.278
258.228	15.119
261.568	15.032
264.829	14.972
267.681	14.969
270.896	14.954
274.672	14.890
277.713	14.887
281.128	14.890
283.220	14.986
287.803	14.902
290.727	14.909
293.794	14.934
297.575	14.900
301.240	14.864
305.504	14.754
308.419	14.761
311.972	14.714
315.036	14.701
318.159	14.713
319.154	14.917
321.623	15.057
323.875	15.218
325.349	15.460
326.666	15.740
328.283	16.016
332.711	16.037
336.985	16.008
340.500	16.011
344.108	15.980
347.806	15.934
350.838	15.944
355.017	15.863
360.917	15.597
366.693	15.291
370.340	15.119
373.675	15.034
376.968	14.982
380.019	14.962
383.859	14.901
387.065	14.885
391.245	14.796
394.048	14.797
395.234	14.966
396.310	15.189
399.546	15.278
403.110	15.309
407.376	15.266
411.652	15.198
415.216	15.168
421.075	14.971
425.827	14.813
430.829	14.631
436.087	14.412
441.720	14.150
446.608	13.922
448.940	13.893
451.824	13.892
453.652	13.981
455.864	14.078
457.302	14.274
460.582	14.365
462.793	14.515
465.914	14.618
469.683	14.660
473.264	14.694
477.885	14.653
480.671	14.716
484.691	14.708
489.019	14.662
493.675	14.560
497.932	14.474
502.951	14.327
507.337	14.209
511.461	14.119
516.506	13.982
520.415	13.910
524.287	13.844
529.070	13.721
533.040	13.642
535.843	13.637
538.396	13.677
541.256	13.712
543.690	13.776
545.885	13.867
547.394	14.008
550.778	14.040
553.891	14.076
556.190	14.164
560.597	14.133
564.800	14.088
567.281	14.135
570.818	14.134
574.174	14.139
577.356	14.149
581.034	14.128
582.999	14.215
586.007	14.249
589.117	14.275
590.791	14.382
592.560	14.501
597.426	14.444
600.893	14.439
604.471	14.424
607.989	14.412
611.514	14.399
614.716	14.402
617.645	14.426
620.854	14.436
624.060	14.447
627.115	14.466
630.115	14.499
632.021	14.588
633.624	14.717
635.493	14.838
636.922	14.995
641.392	14.967
645.771	14.917
649.846	14.866
653.940	14.809
657.529	14.779
658.886	14.880
662.346	14.889
665.899	14.878
670.165	14.822
676.159	14.647
679.075	14.640
682.352	14.628
685.706	14.619
689.316	14.602
692.700	14.592
696.626	14.545
700.550	14.504
704.288	14.470
707.188	14.477
708.671	14.583
710.519	14.686
712.411	14.795
713.783	14.940
715.258	15.081
717.785	15.167
722.276	15.142
725.962	15.127
730.337	15.068
734.503	15.014
738.497	14.960
742.438	14.908
745.418	14.912
749.341	14.871
752.170	14.893
754.672	14.937
755.558	15.078
756.369	15.254
756.739	15.467
757.511	15.672
757.934	15.905
758.943	16.114
765.323	16.003
772.311	15.818
777.328	15.689
783.686	15.494
789.309	15.324
794.759	15.155
801.147	14.930
806.367	14.757
812.179	14.554
817.197	14.386
816.692	14.548
816.343	14.741
818.755	14.827
819.112	15.012
821.003	15.126
823.056	15.227
824.168	15.376
826.107	15.492
828.232	15.586
829.679	15.723
833.118	15.752
835.376	15.827
837.668	15.902
841.054	15.920
842.928	16.014
846.981	15.994
852.944	15.859
859.927	15.650
865.740	15.484
872.839	15.240
877.819	15.092
882.837	14.954
888.009	14.817
892.617	14.706
897.158	14.602
899.566	14.619
900.595	14.729
900.225	14.929
900.466	15.119
900.354	15.338
901.263	15.520
902.347	15.691
902.967	15.873
906.275	15.921
909.073	15.974
912.684	15.978
915.858	15.990
919.518	15.977
923.158	15.959
926.729	15.940
930.900	15.881
935.462	15.810
939.409	15.764
942.133	15.775
943.635	15.839
943.582	15.979
944.776	16.054
945.370	16.142
946.865	16.173
948.344	16.184
948.930	16.230
948.676	16.296
948.004	16.381
947.134	16.475
947.156	16.532
948.233	16.535
947.896	16.606
947.877	16.663
947.348	16.749
947.372	16.807
947.840	16.841
948.231	16.878
949.758	16.858
951.154	16.840
951.113	16.896
952.894	16.860
954.034	16.852
954.382	16.889
955.905	16.863
956.231	16.897
956.178	16.953
955.274	17.058
954.537	17.158
953.214	17.285
953.686	17.326
953.268	17.407
953.226	17.473
954.930	17.441
954.363	17.528
954.871	17.563
958.018	17.460
960.333	17.386
963.018	17.291
965.393	17.212
969.382	17.046
971.422	16.976
973.499	16.903
974.351	16.896
976.762	16.806
977.854	16.782
975.380	16.946
976.541	16.933
976.540	16.974
977.294	16.978
976.948	17.040
977.557	17.054
979.120	17.020
981.883	16.924
984.071	16.854
985.497	16.819
987.860	16.732
988.642	16.726
990.446	16.674
991.051	16.678
992.080	16.663
991.427	16.738
991.655	16.768
990.577	16.864
990.253	16.922
990.692	16.945
991.452	16.953
992.266	16.958
992.473	16.990
992.558	17.033
992.170	17.101
992.535	17.132
991.738	17.226
991.543	17.291
990.543	17.399
990.167	17.479
989.514	17.573
987.875	17.724
986.757	17.850
986.474	17.931
986.374	18.001
986.631	18.053
987.364	18.080
987.722	18.123
989.060	18.116
989.792	18.136
989.645	18.211
991.476	18.174
991.661	18.226
991.203	18.318
990.789	18.410
991.267	18.452
991.233	18.519
990.369	18.641
988.648	18.811
988.678	18.886
989.407	18.915
989.355	18.986
992.606	18.870
996.157	18.726
1002.992	18.415
1010.251	18.078
1019.138	17.670
1030.893	17.120
1041.202	16.612
1050.929	16.142
1061.732	15.623
1072.591	15.102
1080.099	14.743
1088.005	14.372
1091.536	14.201
1093.251	14.110
1092.670	14.116
1089.428	14.230
1087.994	14.282
1088.679	14.258
1087.200	14.310
1085.023	14.393
1085.382	14.388
1084.903	14.413
1085.530	14.400
1087.877	14.327
1090.713	14.231
1094.018	14.113
1096.109	14.041
1097.182	14.011
1096.778	14.035
1096.632	14.052
1094.367	14.153
1093.027	14.223
1090.193	14.356
1088.215	14.455
1086.556	14.546
1087.042	14.560
1085.849	14.634
1085.979	14.661
1088.208	14.614
1090.642	14.555
1092.547	14.510
1093.180	14.514
1095.189	14.467
1095.342	14.489
1093.273	14.606
1090.869	14.734
1093.671	14.672
1094.578	14.671
1094.955	14.689
1094.662	14.734
1095.441	14.740
1096.088	14.754
1098.164	14.710
1101.201	14.631
1105.126	14.503
1105.669	14.506
1104.885	14.563
1101.534	14.724
1099.400	14.848
1098.841	14.913
1100.527	14.891
1100.174	14.942
1100.703	14.962
1099.276	15.055
1098.790	15.118
1100.745	15.086
1099.533	15.176
1100.990	15.161
1102.081	15.160
1103.282	15.150
1101.373	15.263
1101.559	15.305
1098.390	15.479
1098.270	15.535
1097.120	15.634
1097.220	15.681
1100.114	15.612
1100.372	15.645
1101.478	15.646
1101.074	15.708
1101.865	15.724
1104.137	15.676
1105.657	15.654
1107.106	15.636
1108.749	15.607
1108.524	15.656
1108.288	15.707
1109.671	15.695
1110.594	15.695
1111.791	15.686
1112.052	15.714
1112.417	15.739
