<j>	<Ffjc>
1060.891	12.762
1061.906	12.766
1062.842	12.773
1063.694	12.784
1064.463	12.798
1065.151	12.816
1065.765	12.837
1066.310	12.861
1066.795	12.887
1067.227	12.916
1067.615	12.948
1067.965	12.981
1068.284	13.015
1068.580	13.051
1068.857	13.088
1069.123	13.126
1069.383	13.164
1069.644	13.203
1069.916	13.241
1070.208	13.279
1070.534	13.316
1070.915	13.351
1071.377	13.382
1071.958	13.409
1072.710	13.429
1073.706	13.440
1075.037	13.436
1076.813	13.414
1079.147	13.369
1082.127	13.296
1085.764	13.195
1089.942	13.070
1094.407	12.931
1098.818	12.793
1102.844	12.670
1106.269	12.570
1109.015	12.499
1111.125	12.453
1112.700	12.430
1113.861	12.424
1114.714	12.432
1115.346	12.449
1115.822	12.472
1116.189	12.500
1116.479	12.532
1116.715	12.567
1116.911	12.603
1117.079	12.640
1117.227	12.679
1117.359	12.719
1117.479	12.759
1117.590	12.800
1117.696	12.841
1117.797	12.883
1117.896	12.925
1117.994	12.968
1118.092	13.011
1118.194	13.053
1118.300	13.096
1118.413	13.139
1118.535	13.182
1118.671	13.225
1118.824	13.267
1119.000	13.308
1119.207	13.348
1119.453	13.387
1119.754	13.424
1120.127	13.459
1120.598	13.489
1121.201	13.515
1121.983	13.533
1123.005	13.541
1124.349	13.537
1126.110	13.515
1128.390	13.473
1131.275	13.405
1134.802	13.311
1138.911	13.193
1143.420	13.058
1148.049	12.917
1152.484	12.783
1156.469	12.666
1159.860	12.573
1162.631	12.504
1164.837	12.458
1166.570	12.431
1167.930	12.419
1169.006	12.418
1169.869	12.426
1170.573	12.440
1171.161	12.459
1171.659	12.481
1172.092	12.506
1172.473	12.534
1172.816	12.563
1173.128	12.593
1173.416	12.624
1173.685	12.657
1173.940	12.690
1174.184	12.723
1174.420	12.757
1174.650	12.792
1174.879	12.827
1175.107	12.862
1175.340	12.897
1175.580	12.931
1175.833	12.966
1176.104	13.000
1176.403	13.034
1176.740	13.066
1177.131	13.096
1177.598	13.124
1178.169	13.148
1178.884	13.167
1179.796	13.179
1180.973	13.181
1182.497	13.171
1184.457	13.144
1186.936	13.098
1189.983	13.031
1193.579	12.943
1197.609	12.837
1201.857	12.723
1206.054	12.609
1209.940	12.505
1213.332	12.419
1216.150	12.353
1218.406	12.308
1220.169	12.282
1221.533	12.270
1222.589	12.270
1223.419	12.278
1224.085	12.293
1224.638	12.312
1225.112	12.334
1225.534	12.358
1225.922	12.384
1226.290	12.410
1226.647	12.437
1227.000	12.465
1227.355	12.492
1227.714	12.520
1228.081	12.547
1228.458	12.574
1228.847	12.601
1229.250	12.628
1229.667	12.654
1230.101	12.679
1230.551	12.704
1231.019	12.729
1231.506	12.753
1232.012	12.776
1232.537	12.798
1233.081	12.820
1233.645	12.841
1234.228	12.862
1234.829	12.882
1235.448	12.901
1236.082	12.920
1236.731	12.938
1237.394	12.956
1238.067	12.973
1238.749	12.990
1239.437	13.007
1240.130	13.023
1240.825	13.039
1241.520	13.056
1242.213	13.072
1242.904	13.089
1243.591	13.106
1244.274	13.122
1244.953	13.140
1245.630	13.157
1246.305	13.174
1246.984	13.191
1247.668	13.208
1248.366	13.225
1249.084	13.241
1249.833	13.256
1250.627	13.270
1251.482	13.281
1252.421	13.290
1253.470	13.294
1254.660	13.294
1256.028	13.287
1257.614	13.273
1259.454	13.249
1261.579	13.215
1264.004	13.170
1266.716	13.114
1269.672	13.049
1272.797	12.978
1275.989	12.903
1279.140	12.830
1282.152	12.762
1284.955	12.702
1287.512	12.650
1289.819	12.607
1291.894	12.573
1293.772	12.546
1295.491	12.525
1297.090	12.508
1298.603	12.495
1300.054	12.484
1301.463	12.475
1302.843	12.467
1304.200	12.460
1305.534	12.454
1306.845	12.448
1308.127	12.443
1309.376	12.439
1310.585	12.436
1311.749	12.435
1312.864	12.436
1313.926	12.438
1314.932	12.441
1315.883	12.447
1316.779	12.455
1317.620	12.464
1318.409	12.475
1319.149	12.487
1319.842	12.501
1320.492	12.517
1321.102	12.534
1321.676	12.552
1322.216	12.571
1322.727	12.592
1323.211	12.613
1323.671	12.636
1324.111	12.659
1324.534	12.682
1324.942	12.707
1325.339	12.732
1325.726	12.757
1326.109	12.782
1326.488	12.808
1326.868	12.834
1327.251	12.860
1327.640	12.886
1328.039	12.911
1328.452	12.936
1328.881	12.961
1329.333	12.985
1329.810	13.008
1330.320	13.031
1330.869	13.052
1331.464	13.071
1332.117	13.089
1332.838	13.104
1333.644	13.117
1334.554	13.126
1335.592	13.131
1336.787	13.131
1338.175	13.124
1339.795	13.110
1341.687	13.087
1343.889	13.053
1346.425	13.009
1349.294	12.953
1352.464	12.887
1355.859	12.813
1359.368	12.736
1362.859	12.658
1366.197	12.585
1369.271	12.520
1372.010	12.465
1374.380	12.423
1376.389	12.392
1378.063	12.372
1379.447	12.362
1380.587	12.360
1381.527	12.364
1382.307	12.374
1382.961	12.387
1383.515	12.404
1383.991	12.424
1384.406	12.446
1384.773	12.470
1385.101	12.495
1385.399	12.521
1385.672	12.548
1385.923	12.575
1386.158	12.604
1386.377	12.633
1386.584	12.662
1386.779	12.693
1386.965	12.723
1387.141	12.754
1387.309	12.785
1387.470	12.817
1387.625	12.849
1387.773	12.882
1387.915	12.914
1388.053	12.947
1388.186	12.981
1388.315	13.015
1388.441	13.048
1388.564	13.083
1388.685	13.117
1388.805	13.152
1388.925	13.186
1389.046	13.221
1389.169	13.256
1389.295	13.291
1389.427	13.326
1389.567	13.361
1389.718	13.396
1389.883	13.430
1390.067	13.464
1390.277	13.498
1390.521	13.530
1390.808	13.561
1391.153	13.590
1391.573	13.617
1392.090	13.640
1392.732	13.659
1393.536	13.673
1394.541	13.680
1395.795	13.679
1397.349	13.666
1399.246	13.642
1401.516	13.605
1404.163	13.554
1407.148	13.491
1410.387	13.418
1413.756	13.340
1417.109	13.262
1420.307	13.189
1423.240	13.125
1425.845	13.072
1428.103	13.031
1430.027	13.001
1431.653	12.982
1433.027	12.971
1434.193	12.968
1435.191	12.971
1436.055	12.978
1436.814	12.989
1437.488	13.003
1438.093	13.019
1438.641	13.038
1439.143	13.058
1439.606	13.079
1440.034	13.102
1440.434	13.126
1440.809	13.150
1441.162	13.176
1441.497	13.202
1441.817	13.229
