<j>	<Ffjc>
1046.252	13.412
1047.311	13.413
1048.252	13.419
1049.095	13.431
1049.861	13.447
1050.567	13.465
1051.226	13.487
1051.850	13.509
1052.448	13.534
1053.024	13.559
1053.583	13.586
1054.127	13.613
1054.657	13.641
1055.173	13.670
1055.675	13.699
1056.165	13.729
1056.644	13.760
1057.116	13.792
1057.587	13.823
1058.066	13.855
1058.569	13.886
1059.117	13.915
1059.742	13.941
1060.492	13.961
1061.432	13.973
1062.650	13.973
1064.261	13.956
1066.396	13.915
1069.180	13.844
1072.681	13.740
1076.849	13.605
1081.471	13.448
1086.195	13.285
1090.640	13.134
1094.523	13.007
1097.721	12.910
1100.256	12.843
1102.233	12.802
1103.778	12.780
1105.006	12.772
1106.009	12.775
1106.853	12.785
1107.583	12.800
1108.230	12.818
1108.815	12.840
1109.350	12.864
1109.846	12.889
1110.309	12.916
1110.744	12.945
1111.156	12.974
1111.549	13.005
1111.926	13.036
1112.290	13.068
1112.644	13.100
1112.992	13.133
1113.337	13.167
1113.681	13.200
1114.028	13.234
1114.379	13.267
1114.738	13.300
1115.106	13.333
1115.486	13.366
1115.879	13.398
1116.288	13.430
1116.714	13.461
1117.157	13.492
1117.619	13.521
1118.099	13.550
1118.599	13.578
1119.117	13.606
1119.653	13.632
1120.205	13.658
1120.772	13.684
1121.353	13.708
1121.945	13.732
1122.547	13.756
1123.156	13.780
1123.770	13.803
1124.388	13.826
1125.007	13.849
1125.626	13.872
1126.243	13.895
1126.857	13.918
1127.469	13.942
1128.076	13.966
1128.678	13.989
1129.277	14.014
1129.872	14.038
1130.465	14.063
1131.055	14.088
1131.646	14.112
1132.239	14.137
1132.838	14.162
1133.445	14.186
1134.067	14.210
1134.708	14.233
1135.376	14.255
1136.081	14.275
1136.834	14.293
1137.648	14.308
1138.539	14.320
1139.527	14.328
1140.632	14.330
1141.877	14.325
1143.284	14.313
1144.874	14.292
1146.662	14.262
1148.659	14.222
1150.866	14.173
1153.279	14.114
1155.892	14.046
1158.698	13.971
1161.700	13.887
1164.908	13.796
1168.330	13.697
1171.964	13.591
1175.780	13.478
1179.705	13.362
1183.625	13.246
1187.402	13.137
1190.907	13.039
1194.042	12.956
