<j>	var(j)
1.627	0.545
2.665	0.455
3.602	0.797
5.200	0.724
6.076	0.796
7.341	1.602
8.825	1.065
9.673	0.951
10.562	1.334
11.938	1.731
13.108	1.728
14.378	2.908
16.103	2.681
17.224	1.881
18.038	1.510
18.752	1.420
19.533	1.932
20.729	3.314
22.489	4.461
24.218	3.899
25.427	2.813
26.290	2.660
27.171	3.204
28.289	4.146
29.666	4.262
30.900	3.368
31.831	3.161
32.765	3.788
33.915	4.477
35.194	4.537
36.396	4.559
37.580	4.868
38.801	4.425
39.836	3.231
40.586	2.456
41.205	2.360
41.871	2.667
42.680	3.078
43.632	3.260
44.620	3.087
45.544	2.772
46.385	2.646
47.237	3.372
48.426	6.304
50.553	11.202
53.264	10.348
55.058	5.809
55.986	3.547
56.585	2.782
57.100	2.691
57.647	3.076
58.330	4.043
59.280	5.818
60.643	8.104
62.370	9.165
64.055	7.799
65.339	5.660
66.246	4.125
66.926	3.262
67.496	2.955
68.057	3.222
68.723	4.319
69.680	6.902
71.217	11.177
73.416	13.736
75.586	10.899
77.051	6.947
77.956	5.054
78.650	5.086
79.407	7.046
80.517	11.257
82.250	16.069
84.440	16.237
86.313	11.010
87.463	6.284
88.117	4.033
88.565	3.164
88.945	2.835
89.310	2.717
89.683	2.726
90.085	2.859
90.534	3.167
91.064	3.808
91.744	5.168
92.712	7.985
94.216	12.906
96.436	17.825
98.977	17.310
101.014	12.115
102.309	7.783
103.139	5.813
103.791	5.479
104.449	6.402
105.258	8.859
106.415	13.496
108.144	19.457
110.399	22.344
112.650	18.950
114.340	13.480
115.494	10.167
116.380	9.371
117.223	10.034
118.149	11.379
119.210	12.625
120.371	13.111
121.549	12.533
122.653	11.230
123.632	9.825
124.490	8.759
125.267	8.170
126.010	7.967
126.751	8.013
127.510	8.083
128.288	8.000
129.066	7.641
129.815	7.121
130.522	6.728
131.211	6.906
131.943	8.092
132.842	10.892
134.067	15.863
135.825	22.938
138.167	29.314
140.822	30.369
143.229	25.670
145.080	19.707
146.450	15.859
147.544	14.497
148.564	15.062
149.635	16.951
150.840	19.437
152.213	21.786
153.695	23.051
155.231	23.034
156.704	22.372
158.103	22.119
159.469	23.135
160.877	25.332
162.402	27.689
164.014	28.643
165.627	27.049
167.108	23.043
168.321	18.243
169.278	13.944
170.012	10.923
170.591	9.174
171.100	8.378
171.573	8.324
172.062	8.757
172.597	9.523
173.182	10.461
173.849	11.431
174.583	12.286
175.376	12.972
176.229	13.741
177.128	15.065
178.128	17.698
179.320	22.330
180.804	28.699
182.665	34.721
184.802	36.427
186.872	31.861
188.571	23.667
189.790	15.821
190.592	10.496
191.127	7.513
191.533	6.142
191.872	5.852
192.215	6.434
192.609	7.994
193.117	10.991
193.842	16.215
194.934	24.415
196.543	35.072
198.766	44.648
201.378	46.989
203.871	40.506
205.869	30.302
207.292	21.657
208.303	16.164
209.063	13.073
209.693	11.369
210.255	10.445
210.781	10.048
211.300	9.945
211.830	10.048
212.368	10.282
212.932	10.542
213.526	10.724
214.135	10.810
214.753	10.785
