<j>	var(j)
1.193	0.170
2.134	0.159
3.524	0.390
4.480	0.323
5.335	0.403
6.888	0.818
8.225	1.285
9.767	1.419
10.816	0.719
11.408	0.551
12.080	0.689
13.097	1.022
14.314	0.934
15.351	1.586
17.202	2.831
18.747	1.824
19.715	2.676
21.226	4.167
22.986	3.669
24.198	2.734
25.092	2.089
25.802	1.551
26.385	1.294
26.953	1.309
27.632	1.737
28.661	2.758
30.149	3.145
31.449	2.636
32.535	3.553
34.044	5.282
35.852	5.182
37.265	4.033
38.308	3.693
39.293	4.052
40.392	4.733
41.646	5.106
42.905	4.324
43.891	2.809
44.526	1.689
44.941	1.166
45.274	0.986
45.606	1.051
46.037	1.643
46.874	4.096
48.984	9.865
52.097	9.720
54.050	5.889
55.141	4.063
55.914	3.184
56.554	2.762
57.149	2.655
57.768	2.862
58.488	3.432
59.394	4.319
60.532	5.066
61.784	4.915
62.904	3.897
63.761	2.881
64.417	2.355
65.002	2.286
65.624	2.480
66.336	2.737
67.146	3.214
68.164	5.395
70.005	12.387
73.333	17.806
76.294	11.804
77.887	8.041
78.984	6.883
79.932	5.984
80.759	5.124
81.483	4.470
82.137	3.985
82.743	3.529
83.299	3.039
83.799	2.580
84.247	2.262
84.669	2.154
85.106	2.267
85.604	2.582
86.210	3.164
86.999	4.579
88.225	8.696
90.489	16.358
93.685	17.578
96.125	11.711
97.598	9.453
98.821	9.404
100.022	8.932
101.124	7.641
102.049	6.342
102.828	5.755
103.567	6.105
104.388	7.323
105.398	9.043
106.629	10.399
107.981	10.429
109.261	9.186
110.349	7.753
111.269	7.021
112.125	7.302
113.048	8.782
114.185	11.803
115.701	16.419
117.692	20.873
119.958	21.380
121.999	17.104
123.491	11.932
124.502	8.698
125.257	7.445
125.932	7.369
126.626	7.836
127.383	8.457
128.212	9.011
129.101	9.430
130.034	9.798
131.007	10.292
132.033	11.048
133.133	11.995
134.318	12.752
135.551	12.741
136.748	11.622
137.811	9.665
138.682	7.549
139.365	5.837
139.907	4.737
140.366	4.242
140.801	4.346
141.276	5.228
141.886	7.408
142.794	11.741
144.241	18.381
146.354	23.837
148.738	22.109
150.650	14.789
151.829	8.597
152.515	5.599
152.991	4.807
153.435	5.333
153.963	6.929
154.681	9.713
155.706	13.679
157.124	17.915
158.877	20.268
160.706	19.167
162.310	15.756
163.572	12.331
164.551	9.987
165.357	8.678
166.074	8.024
166.754	7.685
167.418	7.407
168.069	7.029
168.695	6.479
169.279	5.776
169.808	5.005
170.276	4.271
170.687	3.675
171.054	3.308
171.402	3.278
171.770	3.775
172.227	5.157
172.895	7.983
173.956	12.569
175.564	17.391
177.563	18.450
179.421	14.586
180.762	9.820
181.651	6.910
182.304	5.741
182.880	5.582
183.469	6.034
184.131	7.040
184.927	8.797
185.944	11.766
187.311	16.655
189.198	23.863
191.712	31.577
194.648	34.734
197.444	30.573
199.640	23.103
201.206	17.045
202.351	13.680
203.288	12.479
204.166	12.798
205.087	14.278
206.128	16.725
207.348	19.859
208.776	23.076
210.385	25.457
212.090	26.226
213.772	25.361
215.340	23.613
216.764	21.827
218.062	20.376
219.262	19.136
220.381	17.809
221.416	16.230
222.354	14.496
223.193	12.889
223.945	11.728
224.641	11.277
225.326	11.729
226.057	13.225
226.901	15.803
227.920	19.212
229.152	22.644
230.572	24.722
232.067	24.213
233.474	21.098
234.660	16.679
235.580	12.486
236.270	9.358
236.797	7.419
237.228	6.462
237.620	6.226
238.013	6.503
238.439	7.142
238.920	8.019
239.471	9.006
240.098	9.977
240.799	10.834
241.565	11.578
242.388	12.351
243.272	13.428
244.242	15.105
245.339	17.506
246.606	20.350
248.052	22.852
249.622	24.034
251.210	23.464
252.704	21.753
254.058	20.265
255.316	20.540
256.611	24.023
258.149	31.694
260.153	42.558
262.701	51.445
265.515	51.289
268.057	41.646
269.973	29.551
271.286	20.636
272.206	15.816
272.929	13.869
273.584	13.495
274.236	13.805
274.914	14.238
275.618	14.432
276.336	14.185
277.043	13.447
277.715	12.311
278.333	10.967
278.889	9.632
279.383	8.495
279.827	7.691
280.240	7.316
280.645	7.463
281.073	8.260
281.564	9.912
282.171	12.716
282.968	17.006
284.042	22.906
285.472	29.800
287.271	35.808
289.321	38.325
291.383	36.079
293.217	30.400
294.701	23.806
295.839	18.025
296.696	13.589
297.348	10.385
297.854	8.133
298.258	6.580
298.594	5.540
298.885	4.892
299.151	4.563
299.407	4.525
299.672	4.791
299.962	5.419
300.303	6.523
300.727	8.294
301.282	11.045
302.038	15.309
303.098	21.992
304.617	32.377
306.798	47.060
309.773	62.511
313.326	69.108
316.785	60.521
319.500	43.486
321.325	28.266
322.485	18.610
323.259	13.578
323.843	11.364
324.350	10.656
324.840	10.693
325.343	11.055
325.872	11.507
326.429	11.916
327.011	12.212
327.614	12.380
328.230	12.458
328.855	12.541
329.493	12.800
330.152	13.517
330.863	15.168
331.678	18.554
332.700	24.911
334.089	35.638
336.053	50.820
338.721	66.181
341.914	72.700
345.081	65.196
347.678	49.497
349.542	34.664
350.821	24.554
351.732	18.702
352.440	15.543
353.041	13.836
353.588	12.838
354.104	12.154
354.599	11.592
355.077	11.070
355.540	10.567
355.988	10.100
356.422	9.703
356.847	9.425
357.266	9.320
357.688	9.452
358.126	9.894
358.594	10.736
359.112	12.080
359.707	14.033
360.409	16.687
361.252	20.056
362.267	23.994
363.473	28.126
364.866	31.872
366.410	34.683
368.049	36.362
369.724	37.245
371.405	37.967
373.089	38.995
374.790	40.251
376.513	41.061
378.230	40.516
379.879	38.052
381.388	33.860
382.703	28.785
383.805	23.826
384.714	19.707
385.470	16.749
386.123	14.981
386.718	14.288
387.300	14.521
387.903	15.535
388.560	17.178
389.295	19.253
390.123	21.477
391.047	23.460
392.050	24.770
393.099	25.052
394.147	24.185
395.148	22.363
396.066	20.017
396.885	17.666
397.611	15.773
398.268	14.694
398.893	14.703
399.535	16.045
400.255	18.958
401.122	23.595
402.209	29.812
403.573	36.842
405.222	43.146
407.089	46.945
409.041	47.438
410.943	45.571
412.723	43.396
414.395	42.733
416.033	44.478
417.731	48.615
419.569	54.421
421.586	60.546
423.767	65.121
426.030	66.303
428.246	63.157
430.279	56.239
432.035	47.252
433.477	38.085
434.624	30.078
435.529	23.841
436.249	19.499
436.847	16.966
437.379	16.179
437.901	17.231
438.473	20.419
439.169	26.251
440.078	35.264
441.303	47.539
442.938	61.808
445.006	74.580
447.401	80.879
449.869	77.381
452.115	65.454
453.938	50.043
455.295	35.817
456.255	24.990
456.925	17.695
457.407	13.187
457.773	10.615
458.076	9.318
458.350	8.857
458.617	8.962
458.894	9.474
459.192	10.296
459.522	11.361
459.892	12.610
460.308	13.976
460.773	15.376
461.289	16.708
461.854	17.865
462.461	18.751
463.099	19.308
463.759	19.547
464.429	19.562
465.103	19.541
465.781	19.756
466.473	20.567
467.204	22.411
468.013	25.802
468.957	31.284
470.112	39.245
471.558	49.493
473.354	60.618
475.488	69.672
477.841	73.161
480.197	69.370
482.332	59.839
484.110	48.131
485.508	37.387
486.586	29.144
487.430	23.612
488.123	20.406
488.735	19.052
489.319	19.208
489.920	20.706
490.580	23.537
491.342	27.804
492.250	33.636
493.352	41.047
494.691	49.712
496.293	58.755
498.149	66.710
500.200	71.915
502.341	73.297
504.457	71.005
506.449	66.312
508.270	60.848
509.916	55.852
511.413	51.871
512.796	48.867
514.094	46.483
515.323	44.273
516.489	41.870
517.586	39.072
518.606	35.856
519.539	32.347
520.380	28.751
521.127	25.287
521.787	22.135
522.367	19.416
522.881	17.188
523.340	15.460
523.759	14.215
524.150	13.421
524.524	13.049
524.894	13.078
525.272	13.510
525.668	14.364
526.096	15.690
526.570	17.568
527.109	20.104
527.732	23.418
528.464	27.606
529.332	32.679
530.360	38.460
531.565	44.480
532.943	49.937
534.467	53.821
536.077	55.248
537.694	53.877
539.238	50.086
540.648	44.802
541.894	39.079
542.973	33.744
543.904	29.264
544.714	25.813
545.435	23.394
546.095	21.963
546.724	21.509
547.349	22.102
