<j>	var(j)
1.280	0.283
2.440	0.395
3.559	0.439
4.579	0.361
5.405	0.360
6.572	0.575
7.924	0.774
9.161	0.983
10.361	0.794
11.183	0.498
11.839	0.460
12.653	0.749
14.088	1.065
15.285	0.980
16.417	1.866
18.357	2.542
19.642	1.262
20.342	1.281
21.195	1.534
22.221	1.589
23.227	1.595
24.259	2.016
25.580	3.380
27.475	4.565
29.188	3.094
30.157	1.870
30.776	1.213
31.226	0.863
31.612	0.757
32.034	0.791
32.562	0.932
33.300	1.501
34.671	3.444
36.923	4.348
38.646	4.389
40.386	7.685
42.837	9.381
44.910	7.859
46.421	7.392
47.770	6.771
48.940	5.601
49.887	4.526
50.667	3.851
51.361	3.568
52.043	3.641
52.784	3.965
53.627	4.198
54.527	3.871
55.345	3.012
55.988	2.220
56.497	1.872
56.978	1.912
57.527	2.151
58.188	2.387
58.944	2.525
59.768	2.905
60.787	4.413
62.372	7.682
64.672	9.765
66.816	7.414
68.171	4.739
69.035	3.596
69.733	3.169
70.380	2.880
70.995	2.663
71.597	2.729
72.270	3.431
73.188	5.313
74.635	9.202
76.902	14.841
79.786	17.188
82.314	13.490
83.999	10.053
85.225	9.449
86.396	10.183
87.645	10.645
88.908	10.067
90.061	8.690
91.040	7.135
91.845	5.717
92.502	4.476
93.032	3.434
93.455	2.652
93.802	2.172
94.108	2.005
94.418	2.165
94.786	2.718
95.291	3.787
96.035	5.433
97.108	7.305
98.478	8.616
99.976	9.309
101.510	10.254
103.123	11.235
104.763	10.928
106.231	9.420
107.442	8.393
108.534	8.977
109.733	11.225
111.219	14.239
112.993	15.965
114.802	14.705
116.326	11.427
117.455	8.323
118.276	6.373
118.925	5.459
119.507	5.205
120.089	5.314
120.705	5.582
121.371	5.870
122.086	6.094
122.841	6.253
123.627	6.453
124.452	6.899
125.353	7.855
126.396	9.552
127.664	11.940
129.200	14.306
130.925	15.427
132.646	14.905
134.209	13.890
135.621	13.870
137.021	15.557
138.574	18.638
140.364	21.608
142.306	22.444
144.173	20.593
145.783	17.464
147.101	14.538
148.184	12.334
149.105	10.820
149.923	9.870
150.682	9.345
151.414	9.067
152.137	8.832
152.852	8.465
153.545	7.887
154.199	7.135
154.800	6.328
155.344	5.590
155.838	5.001
156.294	4.580
156.727	4.307
157.150	4.149
157.573	4.087
158.006	4.137
158.462	4.378
158.966	4.986
159.569	6.275
160.362	8.657
161.477	12.239
163.006	15.815
164.825	16.760
166.561	14.295
167.937	11.033
168.988	9.302
169.909	9.577
170.902	11.713
172.141	15.560
173.759	20.361
175.752	23.931
177.891	23.945
179.847	20.970
181.463	17.752
182.803	15.974
184.012	15.666
185.201	16.278
186.432	17.343
187.729	18.567
189.095	19.655
190.509	20.151
191.919	19.559
193.248	17.724
194.423	15.050
195.405	12.231
196.201	9.803
196.847	7.965
197.383	6.669
197.844	5.784
198.256	5.197
198.640	4.848
199.010	4.733
199.386	4.907
199.793	5.488
200.268	6.682
200.871	8.804
201.690	12.243
202.839	17.240
204.424	23.398
206.462	29.371
208.832	33.782
211.343	36.556
213.863	38.373
216.334	39.342
218.711	39.089
220.937	37.348
222.958	34.145
224.729	29.843
226.229	25.115
227.466	20.695
228.479	17.090
229.317	14.489
230.037	12.853
230.688	12.052
231.311	11.939
231.942	12.378
232.609	13.220
233.333	14.268
234.121	15.260
234.968	15.881
235.848	15.856
236.724	15.065
237.553	13.613
238.301	11.777
238.950	9.880
239.500	8.167
239.962	6.755
240.352	5.658
240.687	4.833
240.982	4.218
241.247	3.761
241.492	3.435
241.723	3.243
241.949	3.239
242.186	3.559
242.462	4.505
242.835	6.675
243.419	11.114
244.420	19.039
246.099	29.815
248.513	37.366
251.163	34.328
253.309	24.600
254.761	18.242
255.889	20.350
257.268	33.387
259.567	58.892
263.298	87.818
268.026	95.939
272.349	78.801
275.499	59.134
277.749	47.725
279.535	41.545
281.069	36.617
282.401	31.482
283.534	26.312
284.476	21.730
285.256	18.183
285.915	15.835
286.499	14.656
287.050	14.551
287.610	15.421
288.215	17.181
288.901	19.732
289.698	22.914
290.629	26.452
291.702	29.937
292.909	32.901
294.221	34.977
295.595	36.069
296.992	36.395
298.382	36.332
