<j>	<Ffjc>
1047.851	13.328
1048.370	13.356
1048.869	13.384
1049.357	13.414
1049.838	13.444
1050.318	13.474
1050.803	13.504
1051.295	13.534
1051.799	13.564
1052.318	13.592
1052.853	13.621
1053.408	13.648
1053.984	13.675
1054.582	13.700
1055.207	13.724
1055.861	13.747
1056.551	13.769
1057.289	13.788
1058.090	13.805
1058.984	13.817
1060.014	13.824
1061.248	13.822
1062.783	13.807
1064.760	13.774
1067.356	13.714
1070.763	13.620
1075.129	13.484
1080.448	13.308
1086.467	13.102
1092.692	12.886
1098.550	12.685
1103.609	12.518
1107.700	12.391
1110.873	12.303
1113.291	12.247
1115.143	12.215
1116.588	12.199
1117.747	12.196
1118.705	12.200
1119.519	12.211
1120.229	12.226
1120.858	12.244
1121.426	12.264
1121.943	12.287
1122.418	12.311
1122.859	12.337
1123.270	12.364
1123.654	12.392
1124.016	12.421
1124.358	12.451
1124.683	12.482
1124.993	12.513
1125.289	12.545
1125.573	12.578
1125.848	12.612
1126.115	12.645
1126.376	12.679
1126.632	12.714
1126.885	12.749
1127.138	12.784
1127.394	12.819
1127.655	12.854
1127.924	12.889
1128.208	12.924
1128.510	12.958
1128.839	12.991
1129.203	13.023
1129.614	13.053
1130.087	13.082
1130.640	13.107
1131.296	13.128
1132.082	13.145
1133.032	13.155
1134.181	13.157
1135.566	13.150
1137.220	13.132
1139.164	13.103
1141.397	13.062
1143.889	13.010
1146.576	12.950
1149.366	12.884
1152.148	12.819
1154.815	12.757
1157.283	12.703
1159.497	12.658
1161.438	12.624
1163.115	12.601
1164.555	12.587
1165.798	12.580
1166.883	12.581
1167.850	12.586
1168.734	12.594
1169.569	12.605
1170.380	12.617
1171.193	12.630
1172.030	12.642
1172.911	12.652
1173.853	12.660
1174.872	12.666
1175.979	12.668
1177.182	12.667
1178.485	12.663
1179.883	12.654
1181.365	12.643
1182.913	12.628
1184.501	12.612
1186.099	12.595
1187.674	12.579
1189.198	12.564
1190.642	12.552
1191.986	12.543
1193.216	12.538
1194.328	12.538
1195.320	12.542
1196.198	12.550
1196.971	12.562
1197.649	12.577
1198.244	12.596
1198.768	12.618
1199.230	12.642
1199.640	12.668
1200.008	12.696
1200.339	12.725
1200.641	12.756
1200.919	12.787
1201.177	12.820
1201.417	12.854
1201.644	12.888
1201.860	12.922
1202.065	12.958
1202.263	12.994
1202.453	13.030
1202.638	13.067
1202.817	13.104
1202.991	13.141
1203.162	13.179
1203.328	13.217
1203.492	13.256
1203.652	13.294
1203.809	13.333
1203.965	13.373
1204.118	13.412
1204.269	13.452
1204.418	13.492
1204.567	13.533
1204.714	13.574
1204.861	13.614
1205.008	13.656
1205.156	13.697
1205.304	13.738
1205.455	13.780
1205.609	13.822
1205.767	13.863
1205.931	13.905
1206.103	13.947
1206.284	13.988
1206.479	14.029
1206.691	14.070
1206.924	14.109
1207.186	14.148
1207.484	14.186
1207.830	14.221
1208.235	14.255
1208.718	14.285
1209.300	14.310
1210.007	14.331
1210.869	14.345
1211.920	14.350
1213.195	14.346
1214.727	14.330
1216.534	14.301
1218.616	14.260
1220.947	14.208
1223.465	14.146
1226.083	14.080
1228.699	14.013
1231.216	13.949
1233.557	13.894
1235.675	13.847
1237.556	13.811
1239.213	13.786
1240.671	13.769
1241.966	13.759
1243.134	13.755
1244.210	13.756
1245.223	13.760
1246.197	13.765
1247.154	13.771
1248.109	13.778
1249.075	13.785
1250.062	13.790
1251.077	13.795
1252.125	13.798
1253.209	13.800
1254.328	13.800
1255.479	13.799
1256.659	13.797
1257.860	13.793
1259.073	13.789
1260.287	13.785
1261.491	13.781
1262.674	13.778
1263.825	13.776
1264.933	13.775
1265.992	13.777
1266.994	13.781
1267.937	13.787
1268.820	13.796
1269.643	13.807
1270.411	13.820
1271.129	13.836
1271.802	13.854
1272.439	13.873
1273.049	13.894
1273.641	13.915
1274.226	13.937
1274.816	13.959
1275.423	13.981
1276.059	14.001
1276.739	14.020
1277.475	14.037
1278.282	14.051
1279.172	14.061
1280.155	14.068
1281.240	14.070
1282.431	14.068
1283.725	14.062
1285.114	14.051
1286.586	14.037
1288.121	14.020
1289.696	14.001
1291.289	13.981
1292.877	13.961
1294.444	13.941
1295.978	13.924
1297.473	13.907
1298.929	13.893
1300.350	13.880
1301.742	13.868
1303.110	13.857
1304.460	13.847
1305.792	13.838
1307.106	13.830
1308.396	13.823
1309.655	13.816
1310.875	13.811
1312.044	13.808
1313.153	13.808
1314.196	13.810
1315.167	13.814
1316.062	13.822
1316.883	13.833
1317.631	13.847
1318.311	13.863
1318.928	13.882
1319.490	13.904
1320.004	13.927
1320.479	13.953
1320.924	13.979
1321.349	14.007
1321.768	14.035
1322.195	14.064
1322.653	14.091
1323.168	14.117
1323.781	14.139
1324.548	14.155
1325.548	14.164
1326.886	14.159
1328.696	14.138
1331.130	14.092
1334.329	14.018
1338.357	13.912
1343.136	13.776
1348.391	13.621
1353.696	13.463
1358.603	13.318
1362.791	13.199
1366.133	13.111
1368.670	13.054
1370.535	13.021
1371.885	13.009
1372.862	13.010
1373.579	13.022
1374.120	13.040
1374.541	13.063
1374.882	13.089
1375.170	13.118
1375.421	13.148
1375.649	13.179
1375.860	13.211
1376.059	13.243
1376.251	13.276
1376.438	13.309
1376.621	13.343
1376.803	13.376
1376.983	13.410
1377.163	13.444
1377.344	13.478
1377.526	13.513
1377.709	13.547
1377.895	13.582
1378.082	13.616
1378.272	13.651
1378.464	13.685
1378.659	13.720
1378.857	13.755
1379.058	13.789
1379.262	13.824
1379.468	13.859
1379.678	13.894
1379.890	13.929
1380.104	13.964
1380.322	13.998
1380.541	14.033
1380.763	14.068
1380.986	14.104
1381.212	14.139
1381.439	14.174
1381.668	14.209
1381.898	14.245
1382.130	14.280
1382.363	14.316
1382.598	14.351
1382.834	14.387
1383.073	14.423
1383.313	14.458
1383.556	14.494
1383.801	14.530
1384.051	14.566
1384.304	14.602
1384.563	14.638
1384.827	14.673
1385.099	14.709
1385.380	14.744
1385.672	14.779
1385.977	14.814
1386.298	14.848
1386.639	14.881
1387.006	14.913
1387.407	14.944
1387.851	14.974
1388.356	15.001
1388.944	15.025
1389.651	15.044
1390.530	15.056
1391.660	15.058
1393.155	15.046
1395.175	15.013
1397.923	14.951
1401.619	14.851
1406.418	14.708
1412.296	14.522
1418.933	14.305
1425.738	14.081
1432.061	13.876
1437.439	13.707
1441.718	13.582
1444.984	13.496
1447.437	13.441
1449.294	13.410
1450.732	13.395
1451.888	13.392
1452.856	13.395
1453.703	13.403
1454.474	13.415
1455.203	13.428
1455.916	13.442
1456.631	13.456
1457.367	13.469
1458.140	13.482
1458.968	13.493
1459.867	13.501
1460.858	13.507
1461.961	13.509
1463.198	13.507
1464.590	13.499
1466.157	13.486
1467.915	13.467
1469.870	13.441
1472.019	13.408
1474.340	13.369
1476.795	13.326
1479.332	13.280
1481.884	13.233
1484.384	13.187
1486.768	13.145
1488.983	13.108
1490.995	13.078
1492.786	13.054
1494.354	13.038
1495.709	13.029
1496.870	13.026
1497.859	13.028
1498.699	13.036
1499.412	13.048
1500.020	13.063
1500.540	13.081
1500.989	13.102
1501.378	13.125
1501.719	13.150
1502.021	13.176
1502.291	13.203
1502.536	13.231
1502.760	13.260
1502.968	13.290
1503.164	13.320
1503.349	13.350
1503.528	13.381
1503.702	13.413
1503.873	13.444
1504.044	13.476
1504.216	13.508
1504.390	13.540
1504.570	13.572
1504.755	13.603
1504.950	13.635
1505.154	13.667
1505.372	13.698
1505.604	13.728
1505.854	13.759
1506.123	13.788
1506.416	13.817
1506.736	13.846
1507.086	13.873
1507.470	13.899
1507.892	13.924
1508.357	13.948
1508.869	13.970
1509.433	13.990
1510.054	14.008
1510.735	14.024
1511.481	14.038
1512.296	14.050
1513.180	14.059
1514.134	14.065
1515.159	14.069
1516.251	14.070
1517.406	14.069
1518.619	14.066
1519.883	14.061
1521.188	14.054
1522.527	14.047
1523.891	14.038
1525.272	14.028
1526.663	14.018
1528.058	14.008
1529.452	13.998
1530.842	13.988
1532.227	13.978
1533.604	13.969
1534.973	13.959
1536.334	13.951
1537.686	13.942
1539.028	13.934
1540.359	13.926
1541.678	13.919
1542.984	13.912
1544.276	13.905
1545.551	13.899
1546.809	13.894
1548.049	13.890
1549.270	13.886
1550.473	13.882
1551.659	13.880
1552.829	13.877
1553.986	13.876
1555.131	13.875
1556.269	13.874
1557.405	13.873
1558.542	13.872
1559.688	13.871
1560.848	13.870
1562.028	13.867
1563.238	13.865
1564.483	13.860
1565.771	13.855
1567.109	13.848
1568.501	13.839
1569.951	13.828
1571.460	13.816
1573.025	13.801
1574.642	13.785
1576.300	13.767
1577.987	13.748
1579.690	13.729
1581.390	13.710
1583.072	13.691
1584.721	13.673
1586.325	13.656
1587.876	13.642
1589.372	13.629
1590.817	13.618
1592.219	13.608
1593.593	13.600
1594.960	13.592
1596.347	13.583
1597.785	13.574
1599.310	13.562
1600.957	13.547
1602.763	13.527
1604.759	13.501
1606.966	13.470
1609.387	13.431
1612.002	13.387
1614.769	13.338
1617.619	13.286
1620.469	13.234
1623.233	13.183
1625.830	13.138
1628.201	13.099
1630.311	13.067
1632.149	13.044
1633.722	13.029
1635.053	13.021
1636.172	13.019
1637.112	13.023
1637.905	13.031
1638.580	13.043
1639.162	13.058
1639.672	13.075
1640.127	13.094
1640.542	13.115
1640.928	13.136
1641.294	13.158
1641.647	13.181
1641.992	13.204
1642.335	13.227
1642.679	13.250
1643.027	13.274
1643.382	13.297
1643.747	13.320
1644.125	13.342
1644.519	13.364
1644.932	13.386
1645.368	13.407
1645.833	13.427
1646.334	13.447
1646.880	13.465
1647.480	13.481
1648.149	13.496
1648.904	13.508
1649.767	13.517
1650.763	13.523
1651.921	13.523
1653.275	13.518
1654.857	13.507
1656.699	13.488
1658.823	13.460
1661.234	13.424
1663.918	13.380
1666.827	13.329
1669.891	13.273
1673.015	13.215
1676.094	13.158
1679.030	13.104
1681.745	13.057
1684.188	13.017
1686.338	12.986
1688.198	12.963
1689.790	12.948
1691.145	12.939
1692.299	12.937
1693.289	12.939
