<j>	var(j)
1.272	0.259
2.354	0.253
3.140	0.141
4.307	0.435
6.128	0.889
7.129	0.391
7.724	0.350
8.427	0.517
10.059	1.202
11.521	0.927
12.387	0.723
13.219	0.995
14.523	1.789
16.103	1.846
17.325	1.322
18.092	0.737
18.612	0.726
19.362	1.322
20.811	2.333
22.433	2.267
23.713	2.395
24.983	3.318
26.622	4.416
28.269	3.390
29.312	2.304
30.058	2.232
30.875	2.826
31.968	3.396
33.179	2.921
34.122	1.999
34.789	1.518
35.361	1.476
36.016	2.139
37.126	4.376
39.168	6.378
41.091	3.840
42.032	2.231
42.651	2.394
43.435	3.857
44.771	6.406
46.679	7.230
48.354	5.406
49.481	3.989
50.324	3.202
51.027	2.629
51.636	2.234
52.194	2.061
52.760	2.141
53.405	2.456
54.193	2.924
55.152	3.737
56.411	6.482
58.562	13.257
61.811	15.871
64.361	10.479
65.794	7.853
66.876	7.833
67.974	8.660
69.179	9.464
70.461	9.622
71.716	9.033
72.858	8.292
73.896	8.076
74.914	8.568
76.003	9.488
77.200	10.290
78.467	10.500
79.717	10.210
80.901	10.130
82.064	10.928
83.313	12.572
84.722	14.143
86.242	14.356
87.702	12.849
88.952	10.585
89.961	8.590
90.786	7.135
91.486	6.053
92.098	5.158
92.638	4.380
93.115	3.719
93.539	3.205
93.926	2.862
94.293	2.716
94.666	2.833
95.086	3.420
95.638	5.072
96.521	9.138
98.140	16.818
100.780	22.912
103.588	17.968
105.376	9.408
106.257	4.979
106.747	3.417
107.112	2.932
107.451	2.872
107.807	3.120
108.221	3.775
108.758	5.094
109.521	7.433
110.656	10.786
112.236	13.665
114.043	13.465
115.631	10.384
116.777	7.378
117.596	6.094
118.316	6.862
119.193	10.255
120.551	17.019
122.695	24.790
125.390	25.594
127.714	17.936
129.166	10.279
129.980	6.178
130.489	4.472
130.881	3.915
131.248	3.957
131.642	4.415
132.106	5.222
132.678	6.278
133.383	7.331
134.212	7.959
135.103	7.791
135.960	6.857
136.708	5.631
137.330	4.658
137.865	4.298
138.393	4.852
139.038	6.876
140.011	11.322
141.613	18.358
143.969	23.777
146.534	21.465
148.514	14.807
149.794	10.189
150.692	8.561
151.485	8.784
152.331	9.917
153.299	11.232
154.386	12.071
155.530	12.051
156.646	11.298
157.676	10.268
158.609	9.335
159.464	8.619
160.262	8.081
161.020	7.654
161.749	7.280
162.453	6.934
163.135	6.645
163.801	6.565
164.479	7.055
165.240	8.786
166.231	12.694
167.682	19.123
169.752	25.280
172.173	25.362
174.289	19.236
175.763	13.214
176.771	10.569
177.618	10.877
178.533	13.004
179.641	15.786
180.962	17.784
182.391	17.727
183.751	15.583
184.904	12.622
185.827	10.172
186.581	8.825
187.257	8.598
187.941	9.285
188.701	10.570
189.578	11.965
190.567	12.827
191.609	12.652
192.615	11.509
193.518	10.097
194.316	9.341
195.079	10.049
195.939	12.876
197.077	18.119
198.662	24.590
200.685	28.405
202.807	25.798
204.559	18.518
205.741	11.448
206.460	6.938
206.908	4.775
207.236	4.231
207.554	4.955
207.956	7.088
208.563	11.146
209.539	17.510
211.042	24.969
213.047	29.328
215.178	26.755
216.945	19.651
218.176	13.425
219.020	10.441
219.712	10.485
220.451	12.981
221.400	17.620
222.691	23.803
224.386	29.733
226.386	32.617
228.432	31.150
230.268	27.268
231.820	23.952
233.170	22.576
234.445	22.731
235.724	23.180
237.011	22.692
238.245	20.670
239.346	17.397
240.259	13.693
240.974	10.328
241.517	7.690
241.928	5.823
242.249	4.596
242.510	3.845
242.738	3.439
242.950	3.313
243.164	3.489
243.401	4.159
243.701	5.907
244.157	10.316
245.002	21.319
246.781	46.308
250.389	86.759
255.963	109.150
261.367	82.904
264.764	46.962
266.561	27.504
267.623	19.650
268.404	16.595
269.081	15.272
269.716	14.540
270.328	13.954
270.923	13.318
271.498	12.546
272.046	11.635
272.559	10.636
273.035	9.649
273.474	8.809
273.883	8.288
274.277	8.320
274.687	9.253
275.160	11.621
275.776	16.204
276.657	23.881
277.961	34.867
279.819	47.027
282.193	54.862
284.757	53.227
287.060	43.650
288.845	32.837
290.158	25.613
291.191	22.821
292.134	23.344
293.117	25.711
294.205	28.537
295.406	30.584
296.675	30.958
297.937	29.387
299.116	26.307
300.158	22.559
301.047	18.936
301.795	15.911
302.430	13.625
302.982	12.014
303.477	10.932
303.937	10.231
304.376	9.791
304.804	9.523
305.228	9.363
305.653	9.262
306.081	9.183
306.512	9.099
306.946	9.001
307.382	8.911
307.821	8.906
308.269	9.157
308.741	10.006
309.273	12.110
309.942	16.682
310.894	25.747
312.383	41.778
314.739	64.740
318.122	85.924
322.106	89.915
325.772	74.316
328.525	53.355
330.409	37.524
331.719	27.771
332.694	21.813
333.467	17.829
334.106	14.920
334.648	12.736
335.118	11.157
335.537	10.138
335.927	9.658
336.307	9.703
336.699	10.268
337.123	11.344
337.603	12.910
338.158	14.894
338.806	17.136
339.556	19.349
340.404	21.131
341.326	22.051
342.280	21.803
343.214	20.361
344.078	18.013
344.837	15.221
345.479	12.444
346.006	9.997
346.434	8.026
346.783	6.554
347.075	5.540
347.329	4.929
347.562	4.687
347.792	4.820
348.038	5.384
348.324	6.501
348.681	8.359
349.153	11.185
349.798	15.143
350.674	20.079
351.824	25.197
353.230	28.993
354.785	30.029
356.329	28.269
357.739	25.407
358.993	23.686
360.178	24.628
361.438	28.624
362.915	34.820
364.678	40.975
366.671	44.153
368.711	42.774
370.595	38.143
372.222	33.177
373.623	30.064
374.899	29.409
376.158	30.664
