<j>	<F>
1.246	20.230
3.002	11.614
4.179	10.899
5.196	11.156
6.054	12.657
7.215	14.244
8.585	11.436
9.532	12.759
11.137	12.035
12.467	10.583
13.346	11.228
14.237	12.121
15.522	12.358
17.083	11.206
18.031	11.225
18.729	12.104
19.440	13.182
20.367	13.905
21.485	13.901
22.544	14.000
23.572	14.107
24.454	14.529
25.219	15.242
25.953	16.296
27.164	16.473
29.093	14.762
30.675	13.425
31.542	13.608
32.236	14.310
32.929	15.041
33.579	15.898
34.310	16.768
35.416	16.973
37.133	16.000
39.146	14.411
40.609	13.621
41.490	13.747
42.113	14.344
42.800	15.063
44.187	15.154
46.986	13.525
49.514	11.807
50.658	11.533
51.283	11.873
51.801	12.375
52.331	12.922
52.957	13.438
53.787	13.808
54.923	13.891
56.307	13.668
57.592	13.427
58.505	13.496
59.148	13.882
59.800	14.364
60.741	14.647
62.121	14.489
63.645	14.069
64.849	13.877
65.732	14.011
66.497	14.292
67.261	14.602
68.142	14.861
69.445	14.855
71.590	14.218
74.144	13.135
75.883	12.529
76.775	12.553
77.344	12.861
77.860	13.247
78.407	13.636
79.009	14.001
79.665	14.338
80.389	14.640
81.265	14.863
82.501	14.870
84.296	14.484
86.332	13.841
87.869	13.444
88.760	13.479
89.330	13.772
89.849	14.147
90.462	14.495
91.265	14.740
92.320	14.822
93.638	14.724
95.157	14.486
96.775	14.188
98.427	13.885
100.113	13.587
101.822	13.290
103.457	13.025
104.880	12.850
106.025	12.801
106.916	12.872
107.624	13.038
108.221	13.268
108.776	13.534
109.353	13.808
110.019	14.053
110.846	14.230
111.887	14.300
113.125	14.256
114.428	14.152
115.610	14.083
116.565	14.121
117.316	14.270
117.975	14.490
118.717	14.706
119.825	14.789
121.675	14.550
124.315	13.918
126.920	13.225
128.675	12.866
129.672	12.843
130.301	13.000
130.819	13.226
131.373	13.460
132.089	13.652
133.097	13.744
134.486	13.685
136.162	13.490
137.807	13.269
139.116	13.152
140.036	13.182
140.687	13.328
141.204	13.539
141.677	13.780
142.159	14.029
142.682	14.271
