<j>	var(j)
1.246	0.387
3.002	0.921
4.179	0.875
5.196	0.705
6.054	0.711
7.215	1.332
8.585	0.975
9.532	1.532
11.137	2.247
12.467	1.536
13.346	1.420
14.237	1.855
15.522	2.821
17.083	2.218
18.031	1.476
18.729	1.284
19.440	1.444
20.367	1.811
21.485	1.835
22.544	1.836
23.572	1.611
24.454	1.349
25.219	1.122
25.953	1.533
27.164	3.038
29.093	3.907
30.675	2.435
31.542	1.707
32.236	1.572
32.929	1.380
33.579	1.318
34.310	1.795
35.416	3.042
37.133	4.863
39.146	4.791
40.609	3.112
41.490	2.052
42.113	1.892
42.800	3.283
44.187	8.040
46.986	12.059
49.514	6.937
50.658	3.597
51.283	2.697
51.801	2.508
52.331	2.699
52.957	3.324
53.787	4.463
54.923	5.771
56.307	6.005
57.592	4.590
58.505	3.105
59.148	2.759
59.800	3.627
60.741	5.444
62.121	6.876
63.645	6.134
64.849	4.541
65.732	3.737
66.497	3.551
67.261	3.859
68.142	5.389
69.445	9.444
71.590	14.392
74.144	12.614
75.883	6.945
76.775	4.132
77.344	3.414
77.860	3.391
78.407	3.545
79.009	3.714
79.665	3.934
80.389	4.521
81.265	6.152
82.501	9.387
84.296	12.504
86.332	11.228
87.869	6.948
88.760	4.205
89.330	3.443
89.849	3.756
90.462	4.692
91.265	6.100
92.320	7.816
93.638	9.513
95.157	10.841
96.775	11.808
98.427	12.779
100.113	13.802
101.822	14.163
103.457	13.140
104.880	10.992
106.025	8.642
106.916	6.753
107.624	5.510
108.221	4.879
108.776	4.806
109.353	5.284
110.019	6.336
110.846	7.901
111.887	9.600
113.125	10.592
114.428	10.114
115.610	8.417
116.565	6.574
117.316	5.491
117.975	5.727
118.717	8.028
119.825	13.567
121.675	21.922
124.315	26.273
126.920	20.596
128.675	12.266
129.672	7.493
130.301	5.770
130.819	5.772
131.373	7.066
132.089	9.708
133.097	13.552
134.486	17.299
136.162	18.390
137.807	15.675
139.116	11.322
140.036	7.881
140.687	5.992
141.204	5.213
141.677	5.057
142.159	5.270
142.682	5.808
143.281	6.776
144.004	8.343
144.914	10.554
146.064	12.968
147.437	14.479
148.892	14.132
150.237	12.404
151.384	10.775
152.385	10.173
153.349	10.545
154.361	11.326
155.445	11.923
156.569	12.029
157.685	11.705
158.757	11.184
159.776	10.660
160.747	10.281
161.688	10.226
162.634	10.671
163.632	11.620
164.723	12.727
165.901	13.298
167.101	12.719
168.213	11.041
169.158	8.974
169.925	7.250
170.558	6.185
171.117	5.725
171.656	5.666
172.208	5.792
172.786	5.938
173.391	6.035
174.017	6.146
174.669	6.478
175.378	7.354
176.212	9.138
177.270	11.988
178.643	15.276
180.304	17.232
182.033	16.424
183.565	13.892
184.819	11.987
185.917	12.028
187.055	13.971
188.386	16.697
189.923	18.204
191.499	16.954
192.878	13.627
193.946	10.274
194.754	8.203
195.422	7.597
196.074	8.178
196.805	9.582
197.676	11.323
198.701	12.689
199.823	12.952
200.932	11.922
201.927	10.189
202.771	8.656
203.502	7.968
204.202	8.423
204.977	10.134
205.937	13.031
207.171	16.590
208.693	19.663
210.405	21.218
212.154	21.589
213.866	22.113
215.576	23.275
217.321	23.961
219.036	22.682
220.580	19.335
221.846	15.282
222.831	11.872
223.602	9.588
224.238	8.289
224.805	7.682
225.347	7.560
225.896	7.872
226.485	8.731
227.159	10.434
227.986	13.489
229.076	18.553
230.571	25.996
232.595	34.776
235.115	41.478
237.844	42.387
240.379	37.615
242.471	30.633
244.103	24.360
245.380	19.780
246.415	16.762
247.300	14.880
248.096	13.745
248.841	13.088
249.560	12.739
250.269	12.585
250.978	12.541
251.692	12.526
252.412	12.479
253.136	12.365
253.859	12.194
254.578	12.013
255.294	11.886
256.010	11.858
256.732	11.932
257.467	12.058
258.216	12.158
258.976	12.173
259.742	12.126
260.510	12.182
261.292	12.682
262.120	14.159
263.066	17.337
264.246	22.986
265.808	31.353
267.873	40.930
270.401	47.888
273.118	48.873
275.672	44.932
277.885	39.936
279.786	36.250
281.477	33.817
283.028	31.603
284.451	28.812
285.727	25.310
286.832	21.499
287.765	17.944
288.546	15.082
289.209	13.129
289.797	12.129
290.354	12.037
290.921	12.777
291.537	14.252
292.236	16.316
293.045	18.730
293.976	21.125
295.022	23.047
296.152	24.094
297.317	24.090
298.466	23.165
299.560	21.652
300.575	19.893
301.506	18.096
302.353	16.328
303.120	14.582
303.809	12.861
304.420	11.209
304.958	9.704
305.430	8.436
305.848	7.481
306.228	6.900
306.588	6.741
306.952	7.063
307.346	7.956
307.805	9.571
308.374	12.151
309.111	16.064
310.097	21.811
311.435	29.898
313.235	40.354
315.568	51.723
318.370	60.340
321.381	62.057
324.227	56.106
326.628	45.943
328.504	35.756
329.931	27.719
331.032	22.102
331.915	18.366
332.657	15.885
333.308	14.204
333.898	13.068
334.451	12.375
334.983	12.129
335.515	12.409
336.071	13.357
336.682	15.174
337.390	18.123
338.249	22.491
339.323	28.481
340.677	35.961
342.359	44.107
344.357	51.261
346.583	55.466
348.878	55.638
351.075	52.284
353.062	46.954
354.796	41.145
356.288	35.738
357.569	31.074
358.678	27.208
359.649	24.095
360.512	21.675
361.294	19.897
362.018	18.732
362.708	18.172
363.385	18.225
364.074	18.896
364.798	20.162
365.578	21.932
366.432	23.996
367.369	26.008
368.382	27.506
369.446	28.025
370.520	27.278
371.553	25.288
372.503	22.399
373.338	19.128
374.051	15.972
374.649	13.284
375.152	11.249
375.586	9.940
375.979	9.389
376.361	9.669
376.768	10.966
377.246	13.674
377.859	18.491
378.706	26.472
379.929	38.749
381.699	55.407
384.137	73.227
387.158	84.770
390.381	83.458
393.308	71.016
395.654	55.544
397.432	43.421
398.812	36.491
399.984	34.071
401.093	34.889
402.240	37.756
403.484	41.549
404.844	45.106
406.301	47.303
407.804	47.342
409.279	45.080
410.659	41.100
411.901	36.426
412.994	32.111
413.957	28.930
414.831	27.334
415.666	27.490
416.518	29.387
417.439	32.820
418.473	37.342
419.650	42.151
420.967	46.127
422.389	48.049
423.843	47.090
425.240	43.228
426.500	37.288
427.573	30.510
428.443	24.020
429.127	18.512
429.657	14.245
430.070	11.189
430.399	9.191
430.676	8.085
430.927	7.751
431.175	8.146
431.444	9.305
431.760	11.348
432.155	14.466
432.668	18.882
433.345	24.764
434.237	32.049
435.387	40.211
436.812	48.120
438.479	54.276
440.308	57.564
442.192	58.073
444.045	57.136
445.834	56.421
447.577	56.892
449.316	58.340
451.076	59.635
452.842	59.435
454.566	56.936
456.184	52.295
457.644	46.431
458.924	40.480
460.034	35.294
461.002	31.263
461.864	28.416
462.653	26.572
463.397	25.485
464.117	24.928
464.827	24.709
465.535	24.676
466.247	24.713
466.964	24.722
467.685	24.626
468.406	24.375
469.122	23.949
469.829	23.364
470.521	22.685
471.196	22.012
471.856	21.480
472.505	21.250
473.154	21.497
473.817	22.397
474.517	24.137
475.279	26.890
476.137	30.801
477.125	35.953
478.281	42.307
479.634	49.626
481.204	57.408
482.992	64.868
484.967	71.009
487.074	74.811
489.230	75.520
491.344	72.941
493.331	67.557
495.128	60.397
496.706	52.729
498.068	45.688
499.242	40.076
500.273	36.324
501.214	34.572
502.118	34.780
503.038	36.776
504.019	40.267
505.096	44.802
506.294	49.725
507.616	54.207
509.041	57.381
510.530	58.592
512.028	57.648
513.480	54.883
514.846	51.001
516.104	46.778
517.252	42.821
518.301	39.456
519.269	36.750
520.173	34.605
521.027	32.860
521.841	31.363
522.621	30.013
523.370	28.774
524.092	27.659
524.789	26.722
525.467	26.033
526.132	25.660
526.793	25.657
527.458	26.056
528.140	26.868
528.849	28.091
529.594	29.698
530.387	31.656
531.236	33.919
532.148	36.441
533.128	39.180
534.182	42.111
535.313	45.243
536.524	48.624
537.820	52.356
539.209	56.585
540.699	61.456
542.304	67.034
544.036	73.151
545.901	79.276
547.887	84.452
549.959	87.450
552.056	87.185
554.097	83.205
555.999	75.957
557.701	66.607
559.171	56.554
560.406	46.967
561.426	38.564
562.263	31.624
562.952	26.123
563.525	21.887
564.010	18.692
564.429	16.330
564.799	14.631
565.136	13.474
565.451	12.782
565.754	12.517
566.057	12.682
566.368	13.313
566.700	14.485
567.068	16.308
567.489	18.932
567.984	22.542
568.581	27.339
569.310	33.495
570.208	41.083
571.309	49.952
572.639	59.608
574.209	69.156
576.000	77.422
577.962	83.295
580.024	86.171
582.107	86.165
584.145	83.950
586.092	80.335
587.925	75.913
589.633	70.945
591.210	65.496
592.651	59.602
593.951	53.387
595.109	47.088
596.125	40.992
597.009	35.371
597.772	30.424
598.431	26.267
599.003	22.936
599.508	20.414
599.962	18.652
600.382	17.587
600.784	17.161
601.182	17.318
601.590	18.014
602.020	19.198
602.484	20.816
602.992	22.793
603.553	25.016
604.173	27.336
604.852	29.558
605.589	31.462
606.372	32.831
607.189	33.505
608.021	33.430
608.849	32.697
609.658	31.561
610.440	30.441
611.198	29.903
611.950	30.671
612.732	33.656
613.605	39.979
614.660	50.884
616.012	67.333
617.794	88.984
620.103	112.618
622.921	131.387
626.055	137.389
629.160	127.378
631.898	105.813
634.085	81.086
635.721	59.728
636.916	44.263
637.804	34.427
638.505	28.897
639.105	26.326
639.661	25.677
640.213	26.258
640.784	27.631
641.391	29.555
642.045	31.929
642.756	34.782
643.534	38.284
644.394	42.755
645.359	48.690
646.462	56.709
647.748	67.440
649.274	81.190
651.096	97.439
653.249	114.251
655.713	128.142
658.393	135.039
661.120	132.304
663.700	120.452
665.977	102.880
667.875	83.877
669.399	66.704
670.601	52.915
671.555	42.710
672.329	35.589
672.980	30.832
673.550	27.770
674.070	25.868
674.559	24.735
675.032	24.100
675.497	23.782
675.960	23.659
676.424	23.653
676.892	23.712
677.364	23.803
677.841	23.906
678.323	24.007
678.811	24.101
679.304	24.188
679.802	24.269
680.305	24.354
680.813	24.453
681.326	24.579
681.845	24.748
682.372	24.976
682.906	25.283
683.451	25.686
684.008	26.205
684.581	26.859
685.171	27.669
685.783	28.657
686.421	29.852
687.088	31.283
687.792	32.983
688.537	34.991
689.331	37.347
690.182	40.092
691.097	43.263
692.086	46.897
693.159	51.041
694.325	55.757
695.595	61.146
696.983	67.369
698.505	74.634
700.178	83.154
702.025	93.003
704.066	103.874
706.309	114.831
708.738	124.169
711.300	129.713
713.902	129.581
716.427	123.077
718.760	111.127
720.816	95.853
722.557	79.667
723.985	64.466
725.132	51.333
726.042	40.624
726.764	32.235
727.339	25.844
727.804	21.071
728.186	17.558
728.509	15.009
728.789	13.196
729.038	11.940
729.267	11.113
729.483	10.622
729.692	10.408
729.900	10.430
730.112	10.672
730.331	11.138
730.563	11.854
730.813	12.875
731.089	14.301
731.399	16.287
731.757	19.085
732.183	23.094
732.705	28.936
733.367	37.560
734.235	50.329
735.405	68.996
737.007	95.264
739.193	129.465
742.088	168.164
745.699	202.242
749.814	219.280
754.013	211.757
757.840	183.624
761.005	146.763
763.454	112.031
765.289	84.714
766.668	65.499
767.738	53.009
768.611	45.530
769.371	41.670
770.075	40.479
770.768	41.386
771.484	44.087
772.254	48.448
773.105	54.408
774.065	61.880
775.159	70.666
776.405	80.316
777.814	90.097
779.383	98.950
781.085	105.624
782.879	108.978
784.701	108.300
786.483	103.603
788.164	95.598
789.696	85.470
791.052	74.509
792.226	63.805
793.227	54.095
794.076	45.748
794.795	38.859
795.409	33.346
795.939	29.043
796.404	25.758
796.821	23.310
797.202	21.542
797.557	20.335
797.896	19.593
798.227	19.261
798.555	19.304
798.887	19.713
799.231	20.498
799.591	21.689
799.976	23.339
800.395	25.513
800.857	28.283
801.373	31.721
801.956	35.886
802.620	40.795
803.376	46.380
804.239	52.470
805.214	58.742
806.303	64.719
807.495	69.802
808.773	73.375
810.104	74.938
811.451	74.259
812.772	71.455
814.033	66.961
815.206	61.437
816.277	55.589
817.243	50.035
818.113	45.228
818.903	41.447
819.630	38.823
820.317	37.374
820.984	37.053
821.651	37.770
822.337	39.415
823.058	41.857
823.828	44.932
824.657	48.446
825.552	52.171
826.517	55.861
827.548	59.261
828.638	62.174
829.778	64.506
830.956	66.331
832.163	67.926
833.396	69.813
834.660	72.730
835.979	77.587
837.386	85.383
838.937	97.000
840.696	112.879
842.728	132.469
845.083	153.717
847.759	172.814
850.689	185.020
853.728	186.559
856.695	176.640
859.420	157.908
861.795	134.947
863.787	112.106
865.422	92.181
866.759	76.249
867.864	64.211
868.798	55.426
869.609	49.105
870.331	44.522
870.991	41.110
871.603	38.454
872.179	36.260
