<j>	<F>
1.206	20.462
2.653	13.556
3.516	17.629
4.959	12.594
6.184	14.481
7.970	10.015
9.176	10.014
10.352	10.071
11.453	10.236
12.418	10.629
13.205	11.433
13.834	12.843
14.479	14.803
15.709	15.365
17.608	13.068
19.486	11.588
21.139	10.480
22.257	10.396
23.188	10.684
24.014	11.137
24.810	11.709
25.720	12.217
26.851	12.350
27.959	12.267
28.763	12.643
29.558	13.338
30.898	13.425
32.833	12.360
34.310	11.651
35.320	11.759
36.390	11.932
37.576	11.907
38.611	11.913
39.339	12.251
39.911	12.872
40.553	13.541
41.474	13.946
42.724	13.855
43.945	13.625
44.892	13.750
45.838	14.027
47.167	13.986
49.130	13.313
51.404	12.278
53.254	11.579
54.506	11.375
55.326	11.515
55.887	11.882
56.318	12.395
56.701	13.003
57.102	13.662
57.612	14.299
58.371	14.755
59.506	14.829
60.849	14.576
61.978	14.447
62.824	14.639
63.631	14.947
64.614	15.128
65.904	15.040
67.583	14.608
69.452	13.960
71.017	13.502
72.129	13.422
73.024	13.561
73.928	13.736
74.976	13.831
76.235	13.778
77.680	13.586
79.197	13.330
80.647	13.101
81.886	12.983
82.882	13.017
83.736	13.166
84.638	13.333
85.844	13.379
87.642	13.134
89.988	12.564
92.207	11.978
93.741	11.700
94.720	11.713
95.473	11.865
96.191	12.055
96.965	12.233
97.846	12.373
98.876	12.454
100.099	12.454
101.511	12.363
102.980	12.224
104.307	12.115
105.340	12.113
106.072	12.239
106.606	12.466
107.033	12.760
107.434	13.085
107.851	13.422
108.325	13.749
108.903	14.041
109.623	14.272
110.538	14.406
111.647	14.433
112.910	14.367
114.227	14.260
115.548	14.155
116.923	14.044
118.489	13.873
120.368	13.583
122.507	13.184
124.638	12.777
126.466	12.479
127.899	12.332
129.006	12.311
129.892	12.376
130.652	12.495
131.357	12.643
132.072	12.795
132.849	12.935
133.752	13.037
134.834	13.082
136.146	13.046
137.654	12.935
139.263	12.776
140.789	12.631
142.118	12.543
143.205	12.534
144.092	12.593
144.838	12.703
145.482	12.852
146.064	13.026
146.602	13.222
147.133	13.427
147.675	13.636
148.266	13.836
148.957	14.008
149.800	14.131
150.849	14.179
152.091	14.148
153.438	14.062
154.726	13.981
155.819	13.960
156.690	14.022
157.399	14.153
158.044	14.321
158.747	14.485
159.642	14.594
160.850	14.595
162.422	14.459
164.236	14.217
166.015	13.973
167.607	13.793
169.023	13.684
170.379	13.608
171.715	13.539
173.003	13.481
174.214	13.444
175.328	13.439
176.402	13.453
177.528	13.460
178.745	13.444
180.092	13.392
181.546	13.306
183.016	13.211
184.465	13.122
185.901	13.040
187.347	12.966
188.930	12.871
190.777	12.727
192.999	12.509
195.580	12.214
198.240	11.892
200.581	11.624
202.381	11.460
203.623	11.410
204.463	11.446
205.061	11.537
205.514	11.663
205.901	11.808
206.262	11.963
206.618	12.124
206.991	12.286
207.392	12.446
207.835	12.601
208.333	12.747
208.887	12.884
209.515	13.006
210.235	13.109
211.041	13.193
211.967	13.251
213.050	13.275
214.308	13.261
215.777	13.198
