<j>	<F>
1.716	13.518
2.960	11.743
4.047	11.393
4.955	12.599
6.152	14.547
7.830	10.236
8.813	10.687
9.631	11.727
10.416	13.403
11.652	13.839
13.193	12.517
15.074	10.923
16.492	10.090
17.700	10.097
18.887	10.129
20.031	10.197
21.099	10.340
22.063	10.604
22.936	11.018
23.813	11.525
24.932	11.844
26.517	11.493
28.156	10.764
29.304	10.593
30.138	10.886
30.828	11.387
31.445	12.048
32.128	12.772
33.229	13.172
35.213	12.484
37.395	11.192
38.735	10.779
39.649	10.949
40.534	11.234
41.597	11.434
43.011	11.374
44.738	11.002
46.380	10.599
47.665	10.442
48.676	10.507
49.544	10.689
50.324	10.940
51.063	11.237
51.821	11.549
52.681	11.818
53.731	11.966
55.018	11.940
56.496	11.759
58.056	11.508
59.550	11.273
60.800	11.154
61.723	11.223
62.376	11.475
62.865	11.861
63.271	12.340
63.649	12.883
64.056	13.459
64.596	13.998
65.466	14.338
66.951	14.209
69.060	13.532
71.208	12.773
73.005	12.301
74.531	12.044
75.873	11.911
77.088	11.867
78.295	11.858
79.648	11.808
81.265	11.647
83.122	11.373
85.029	11.057
86.727	10.809
88.095	10.688
89.147	10.695
89.968	10.802
90.648	10.972
91.243	11.187
91.794	11.430
92.338	11.689
92.918	11.949
93.587	12.185
94.404	12.366
95.412	12.465
96.609	12.470
97.936	12.404
99.342	12.306
100.870	12.176
102.634	11.975
104.626	11.686
106.620	11.373
108.348	11.145
109.765	11.038
111.049	11.004
112.391	10.977
113.919	10.904
115.635	10.775
117.444	10.610
119.187	10.455
120.789	10.337
122.221	10.267
123.550	10.230
124.803	10.217
126.036	10.211
127.244	10.212
128.451	10.213
129.639	10.219
130.816	10.225
131.963	10.238
133.080	10.256
134.148	10.283
135.165	10.320
136.112	10.371
136.992	10.437
137.791	10.521
138.516	10.621
139.165	10.741
139.742	10.880
140.262	11.037
140.728	11.211
141.155	11.400
141.561	11.602
141.958	11.814
142.372	12.030
142.838	12.240
143.401	12.432
144.116	12.588
145.072	12.678
146.310	12.683
147.854	12.589
149.601	12.425
151.407	12.236
153.155	12.064
154.797	11.926
156.360	11.812
157.787	11.732
159.046	11.690
160.116	11.693
160.979	11.749
161.713	11.843
162.372	11.965
163.056	12.092
163.866	12.198
164.907	12.256
166.304	12.231
168.066	12.112
170.060	11.921
172.039	11.717
173.746	11.569
175.152	11.494
176.352	11.476
177.483	11.485
178.665	11.490
179.952	11.476
181.340	11.439
182.763	11.387
184.110	11.343
185.307	11.324
186.305	11.341
187.103	11.400
187.742	11.494
188.258	11.617
188.691	11.764
189.079	11.925
189.469	12.093
189.891	12.261
190.412	12.417
191.125	12.540
192.168	12.601
193.737	12.555
195.965	12.370
198.771	12.054
201.768	11.684
204.442	11.370
206.581	11.164
208.263	11.052
209.610	11.007
210.748	11.001
211.724	11.025
212.544	11.074
213.236	11.146
213.809	11.239
214.286	11.352
214.682	11.481
215.019	11.624
215.310	11.780
215.563	11.947
215.794	12.123
216.011	12.307
216.221	12.497
216.433	12.693
216.648	12.893
216.889	13.094
217.166	13.294
217.501	13.487
217.932	13.663
218.525	13.809
219.356	13.905
220.557	13.921
222.310	13.813
224.693	13.562
227.563	13.197
230.513	12.803
233.061	12.486
234.988	12.297
236.368	12.223
237.374	12.229
238.173	12.282
238.882	12.359
239.579	12.442
240.297	12.524
241.068	12.598
241.913	12.658
242.808	12.708
243.743	12.748
244.691	12.785
245.639	12.819
246.552	12.858
247.403	12.908
248.202	12.969
248.938	13.042
249.630	13.125
250.283	13.217
250.929	13.314
251.604	13.409
252.334	13.495
253.169	13.562
254.121	13.606
255.205	13.621
256.385	13.612
257.578	13.595
258.712	13.585
259.722	13.597
260.586	13.639
261.326	13.709
261.993	13.799
262.662	13.895
263.406	13.981
264.312	14.038
265.432	14.052
266.776	14.016
268.255	13.945
269.758	13.860
271.127	13.796
272.298	13.771
273.290	13.785
274.160	13.829
274.999	13.885
275.891	13.935
276.923	13.962
278.137	13.956
279.591	13.903
281.253	13.808
283.069	13.681
284.926	13.541
286.679	13.417
288.246	13.325
289.593	13.273
290.727	13.259
291.690	13.278
292.516	13.324
293.267	13.385
293.974	13.456
294.668	13.531
295.362	13.608
296.073	13.683
296.825	13.752
297.633	13.812
298.514	13.859
299.469	13.894
