<j>	var(j)
1.204	0.256
2.626	0.358
3.362	0.423
4.916	1.380
6.736	1.488
7.910	1.494
8.998	1.323
9.938	1.034
10.720	0.844
11.494	1.016
12.619	1.271
13.697	1.215
14.822	1.312
15.823	1.163
16.785	1.026
17.588	1.255
18.939	3.300
21.274	3.728
22.687	1.914
23.389	1.411
24.000	1.609
24.844	2.834
26.406	4.710
28.270	4.441
29.650	5.045
31.181	6.763
32.957	6.722
34.425	5.297
35.505	4.282
36.384	3.477
37.124	2.708
37.731	2.045
38.228	1.555
38.650	1.278
39.049	1.306
39.540	1.984
40.441	4.479
42.455	9.215
45.193	8.587
46.930	5.860
48.068	5.523
49.159	5.424
50.207	4.534
51.061	3.323
51.702	2.539
52.232	2.308
52.767	2.508
53.408	3.233
54.303	4.985
55.712	7.990
57.702	9.283
59.521	6.287
60.581	3.468
61.185	2.442
61.659	2.183
62.127	2.107
62.614	2.039
63.119	1.981
63.647	2.030
64.237	2.320
64.967	3.006
65.967	4.646
67.548	9.246
70.336	17.084
73.802	16.216
76.077	9.476
77.279	6.477
78.134	5.807
78.935	5.786
79.755	5.771
80.584	5.648
81.408	5.675
82.258	6.434
83.259	8.618
84.616	12.287
86.448	15.069
88.423	13.228
89.942	8.386
90.845	4.786
91.372	3.155
91.750	2.603
92.090	2.515
92.444	2.648
92.847	2.911
93.315	3.228
93.862	3.533
94.482	3.860
95.185	4.596
96.075	7.052
97.523	14.196
100.270	27.315
104.248	32.002
107.567	22.403
109.515	14.494
110.739	10.879
111.666	9.250
112.469	8.637
113.240	8.748
114.041	9.452
114.925	10.365
115.896	11.028
116.933	10.936
117.941	10.067
118.864	8.864
119.680	7.903
120.422	7.471
121.143	7.507
121.888	7.767
122.675	7.987
123.489	8.132
124.331	8.486
125.224	9.592
126.256	11.844
127.532	14.887
129.087	17.081
130.761	16.511
132.260	13.460
133.431	10.120
134.300	7.889
135.000	6.816
135.623	6.463
136.241	6.483
136.874	6.647
137.544	6.882
138.249	7.235
139.010	7.869
139.853	9.145
140.852	11.553
142.132	16.064
143.875	23.694
146.309	33.953
149.400	41.314
152.590	38.765
155.198	29.168
156.984	20.146
158.181	14.442
159.052	11.270
159.735	9.412
160.326	8.244
160.853	7.539
161.351	7.282
161.854	7.553
162.383	8.329
162.998	9.699
163.722	11.449
164.593	13.274
165.606	14.668
166.703	15.144
167.823	14.776
168.902	14.134
169.925	13.931
170.947	14.818
172.042	16.791
173.280	19.484
174.706	22.260
176.279	24.339
177.936	25.597
179.626	26.306
181.291	26.580
182.920	26.052
184.485	24.114
185.871	20.915
187.048	17.228
188.017	13.956
188.797	11.675
189.461	10.423
190.075	10.037
190.676	10.281
191.313	10.951
192.007	11.871
192.761	12.816
193.584	13.628
194.474	14.187
195.385	14.358
196.315	14.216
197.241	13.934
198.138	13.740
199.034	13.982
199.960	15.122
200.966	17.699
202.161	22.647
203.697	31.195
205.750	43.788
208.475	57.829
211.758	65.969
215.090	62.036
217.912	49.466
220.005	36.068
221.478	26.212
222.540	20.222
223.369	17.010
224.076	15.582
224.732	15.231
225.393	15.514
226.080	16.071
226.784	16.581
227.528	16.891
228.296	16.821
229.057	16.265
229.799	15.290
230.505	14.093
231.159	12.817
231.759	11.609
232.311	10.702
232.832	10.213
233.338	10.118
233.858	10.478
234.403	11.348
235.007	12.682
235.694	14.303
236.482	16.081
237.364	17.606
238.331	18.547
239.348	18.560
240.357	17.803
241.309	16.776
242.205	16.110
243.088	16.439
244.001	18.347
245.028	21.872
246.265	26.483
247.736	30.575
249.386	32.054
251.042	29.664
252.510	24.284
253.674	18.105
254.532	13.051
255.155	9.780
255.629	8.143
256.047	7.785
256.463	8.572
256.937	10.432
257.535	13.354
258.315	17.335
259.331	21.914
260.592	26.044
262.054	28.361
263.597	27.976
265.061	25.617
266.370	23.161
267.547	22.394
268.705	24.414
269.981	29.760
271.548	38.076
