LDNA (nm)	j (index)	j stdev	Force (pN)	fstdev
1.000000E+0	1.356854E+0	4.928102E-1	1.075917E+1	5.317974E+0
2.000000E+0	2.052288E+0	3.021755E-1	1.431384E+1	1.866671E+0
3.000000E+0	3.976074E+0	9.338999E-1	8.947371E+0	4.297089E+0
4.000000E+0	5.082133E+0	8.952655E-1	8.976639E+0	3.737816E+0
5.000000E+0	6.026319E+0	7.464727E-1	9.417678E+0	3.234663E+0
6.000000E+0	6.716812E+0	5.432583E-1	1.074272E+1	2.748659E+0
7.000000E+0	7.229461E+0	6.543582E-1	1.383587E+1	2.545055E+0
8.000000E+0	9.173675E+0	8.414225E-1	1.050283E+1	4.498877E+0
9.000000E+0	9.824404E+0	6.445222E-1	1.125920E+1	2.267760E+0
1.000000E+1	1.051732E+1	1.121584E+0	1.335196E+1	3.076419E+0
1.100000E+1	1.289673E+1	1.314112E+0	9.967994E+0	3.968286E+0
1.200000E+1	1.385937E+1	9.731303E-1	9.666508E+0	2.054890E+0
1.300000E+1	1.447739E+1	8.084856E-1	1.050987E+1	1.860484E+0
1.400000E+1	1.501100E+1	9.102224E-1	1.179000E+1	1.911622E+0
1.500000E+1	1.608677E+1	1.598904E+0	1.254120E+1	3.186825E+0
1.600000E+1	1.829267E+1	1.376243E+0	1.014490E+1	2.957627E+0
1.700000E+1	1.912076E+1	9.335420E-1	1.015475E+1	1.604208E+0
1.800000E+1	1.959244E+1	7.461580E-1	1.106923E+1	1.445515E+0
1.900000E+1	1.997240E+1	6.957998E-1	1.235389E+1	1.443754E+0
2.000000E+1	2.047551E+1	9.113220E-1	1.375186E+1	2.004080E+0
2.100000E+1	2.153351E+1	1.066268E+0	1.387825E+1	2.823533E+0
2.200000E+1	2.249796E+1	9.746996E-1	1.381841E+1	2.156026E+0
2.300000E+1	2.354020E+1	1.089288E+0	1.390105E+1	2.626404E+0
2.400000E+1	2.449186E+1	9.603767E-1	1.388037E+1	2.078368E+0
2.500000E+1	2.538643E+1	9.438690E-1	1.417768E+1	2.318388E+0
2.600000E+1	2.603198E+1	5.636897E-1	1.475143E+1	1.548665E+0
2.700000E+1	2.635999E+1	6.076998E-1	1.649421E+1	1.580289E+0
2.800000E+1	2.703657E+1	9.127278E-1	1.763344E+1	2.590218E+0
2.900000E+1	2.865861E+1	1.701887E+0	1.646589E+1	3.671305E+0
3.000000E+1	3.130000E+1	1.422832E+0	1.298470E+1	2.803805E+0
3.100000E+1	3.213333E+1	8.925851E-1	1.292256E+1	1.353397E+0
3.200000E+1	3.264908E+1	9.951866E-1	1.374958E+1	1.533584E+0
3.300000E+1	3.337222E+1	9.814963E-1	1.426121E+1	1.809901E+0
3.400000E+1	3.397170E+1	6.844820E-1	1.486051E+1	1.439106E+0
3.500000E+1	3.430978E+1	6.206792E-1	1.612093E+1	1.263056E+0
3.600000E+1	3.477854E+1	8.064612E-1	1.737086E+1	1.835966E+0
3.700000E+1	3.561783E+1	9.837434E-1	1.778389E+1	2.332475E+0
3.800000E+1	3.688165E+1	1.473613E+0	1.732861E+1	2.810992E+0
3.900000E+1	3.942152E+1	2.140933E+0	1.484452E+1	3.339421E+0
4.000000E+1	4.158764E+1	1.588572E+0	1.296078E+1	2.104688E+0
4.100000E+1	4.250621E+1	1.031412E+0	1.290116E+1	1.373731E+0
4.200000E+1	4.289445E+1	6.531563E-1	1.355173E+1	9.119626E-1
4.300000E+1	4.309299E+1	5.753869E-1	1.459214E+1	7.796999E-1
4.400000E+1	4.334114E+1	8.825366E-1	1.576828E+1	1.084510E+0
4.500000E+1	4.440628E+1	2.454011E+0	1.622714E+1	2.571374E+0
4.600000E+1	4.952418E+1	3.546640E+0	1.221208E+1	3.650254E+0
4.700000E+1	5.187233E+1	1.498468E+0	1.055931E+1	1.242608E+0
4.800000E+1	5.230280E+1	1.089001E+0	1.089522E+1	7.533764E-1
