<j>	<F>
1.725	13.492
3.002	11.614
4.179	10.899
5.195	11.156
6.053	12.658
7.211	14.251
8.563	11.470
9.425	12.968
10.772	12.944
11.976	11.908
13.195	12.482
15.068	10.928
16.472	10.107
17.643	10.145
18.752	10.254
19.764	10.475
20.664	10.859
21.498	11.409
22.426	11.960
23.681	12.049
25.110	11.548
26.144	11.469
26.895	12.009
27.674	12.642
28.571	13.075
29.425	13.417
30.040	14.180
30.569	15.376
31.403	16.283
33.163	15.557
35.794	13.246
38.020	11.775
39.783	11.102
41.140	10.808
42.112	10.878
42.896	11.165
43.645	11.525
44.456	11.870
45.393	12.115
46.436	12.230
47.449	12.316
48.332	12.508
49.129	12.811
49.918	13.143
50.716	13.467
51.532	13.790
52.428	14.055
53.423	14.187
54.346	14.316
55.038	14.682
55.583	15.296
56.200	15.935
57.101	16.283
58.357	16.143
59.704	15.789
60.915	15.610
62.150	15.486
63.510	15.211
64.752	14.983
65.726	15.038
66.642	15.243
67.868	15.250
69.639	14.758
71.510	14.046
72.841	13.737
73.770	13.830
74.704	14.000
75.857	14.024
77.171	13.891
78.434	13.757
79.559	13.726
80.643	13.753
81.788	13.750
82.982	13.701
84.152	13.657
85.275	13.646
86.385	13.651
87.488	13.654
88.546	13.676
89.540	13.740
90.530	13.825
91.639	13.864
92.972	13.782
94.482	13.577
95.961	13.358
97.242	13.238
98.351	13.227
99.406	13.263
100.496	13.290
101.626	13.289
102.727	13.288
103.711	13.331
104.552	13.447
105.300	13.623
106.053	13.819
106.941	13.970
108.116	13.998
109.687	13.834
111.546	13.499
113.288	13.170
114.568	13.027
115.390	13.101
115.944	13.322
116.405	13.613
116.890	13.916
117.489	14.186
118.279	14.378
119.337	14.447
120.717	14.363
122.429	14.125
124.410	13.769
126.478	13.370
128.349	13.037
129.814	12.857
130.882	12.837
131.707	12.929
132.463	13.067
133.297	13.195
134.332	13.263
135.667	13.230
137.345	13.074
139.280	12.820
141.233	12.541
142.936	12.329
144.254	12.233
145.215	12.253
145.922	12.361
146.477	12.527
146.958	12.727
147.417	12.943
147.901	13.162
148.464	13.367
149.206	13.529
150.312	13.594
152.074	13.470
154.706	13.078
157.863	12.496
160.628	11.988
162.461	11.731
163.517	11.698
164.133	11.800
164.537	11.971
164.840	12.179
165.094	12.410
165.325	12.657
