<j>	<F>
1.464	16.287
2.653	14.475
3.706	14.137
4.579	16.152
5.471	18.461
6.739	16.051
7.675	16.754
8.538	19.167
9.941	16.071
10.769	17.217
11.493	20.035
12.620	19.394
13.515	20.360
14.759	19.830
16.685	15.803
18.034	14.100
18.909	14.765
20.076	15.038
21.830	13.773
23.629	12.142
24.728	11.835
25.460	12.432
26.173	13.215
26.990	13.881
27.934	14.249
28.800	14.579
29.405	15.479
29.856	16.977
30.328	18.755
31.079	20.030
32.557	19.239
34.827	16.435
36.523	14.695
37.251	15.031
37.718	16.127
38.274	17.314
39.451	17.649
42.027	15.463
44.260	13.419
45.327	13.235
46.088	13.607
46.873	14.022
47.778	14.311
48.789	14.446
49.839	14.520
50.995	14.532
52.476	14.261
54.374	13.595
56.538	12.769
58.856	11.952
61.129	11.226
63.070	10.733
64.643	10.482
65.951	10.388
67.060	10.395
68.000	10.483
68.805	10.640
69.522	10.852
70.213	11.096
70.956	11.336
71.846	11.525
72.968	11.604
74.313	11.550
75.706	11.424
76.900	11.357
77.794	11.432
78.462	11.641
79.026	11.930
79.580	12.249
80.176	12.561
80.833	12.847
81.528	13.107
82.207	13.368
82.812	13.672
83.318	14.051
83.740	14.512
84.115	15.040
84.476	15.616
84.842	16.223
85.223	16.854
85.643	17.495
86.245	18.051
87.722	18.017
91.733	16.068
96.199	13.509
97.924	12.849
98.506	13.030
98.820	13.418
99.051	13.887
99.252	14.409
99.455	14.969
99.702	15.545
100.088	16.085
100.878	16.426
102.691	16.167
105.941	14.967
109.155	13.680
111.155	13.119
112.526	12.971
113.747	12.924
114.900	12.903
115.948	12.920
116.878	12.987
117.718	13.096
118.511	13.232
119.288	13.378
120.065	13.527
120.845	13.675
121.623	13.824
122.393	13.976
123.144	14.137
123.867	14.311
124.558	14.501
125.216	14.711
125.848	14.939
126.470	15.180
127.118	15.418
127.853	15.626
128.761	15.754
129.930	15.748
131.355	15.596
132.892	15.366
134.409	15.154
136.043	14.941
138.239	14.565
141.358	13.864
144.860	13.001
147.621	12.377
149.344	12.117
150.420	12.092
151.208	12.174
151.892	12.300
152.557	12.439
153.246	12.575
153.978	12.702
154.761	12.814
155.590	12.911
156.458	12.996
157.366	13.070
158.331	13.129
159.385	13.164
160.555	13.164
161.834	13.127
163.161	13.068
164.449	13.013
165.646	12.984
166.768	12.983
167.886	12.991
169.078	12.984
170.371	12.948
171.716	12.889
173.005	12.836
174.138	12.818
175.079	12.851
175.860	12.934
176.552	13.050
177.239	13.176
178.012	13.289
178.969	13.360
180.204	13.360
181.762	13.269
183.570	13.101
185.407	12.907
187.020	12.758
188.276	12.695
189.197	12.722
189.875	12.817
190.407	12.958
190.866	13.125
191.302	13.306
191.750	13.489
192.237	13.668
192.784	13.834
193.407	13.982
194.110	14.107
194.890	14.210
195.731	14.294
196.613	14.363
197.521	14.423
198.450	14.477
199.405	14.524
200.393	14.561
201.405	14.588
202.419	14.612
203.402	14.643
204.328	14.688
205.187	14.754
205.988	14.839
206.749	14.938
207.488	15.046
208.215	15.159
208.934	15.275
209.646	15.394
210.356	15.516
211.079	15.637
211.842	15.747
212.674	15.837
213.593	15.899
214.582	15.933
215.593	15.954
216.557	15.984
217.430	16.043
218.218	16.134
218.975	16.244
219.803	16.340
220.853	16.377
222.327	16.289
224.440	16.010
227.230	15.530
230.365	14.950
233.297	14.433
235.687	14.070
237.493	13.865
238.812	13.786
239.771	13.799
240.486	13.875
241.061	13.992
241.583	14.129
242.132	14.267
242.793	14.387
243.666	14.464
244.872	14.469
246.508	14.374
248.569	14.178
250.865	13.917
253.088	13.664
255.018	13.473
256.624	13.356
258.007	13.294
259.286	13.261
260.548	13.235
261.826	13.207
263.112	13.177
264.364	13.149
265.532	13.135
266.573	13.141
267.466	13.175
268.211	13.237
268.826	13.325
269.338	13.435
269.774	13.564
270.160	13.706
270.516	13.857
270.863	14.014
271.218	14.174
271.598	14.332
272.022	14.485
272.514	14.626
273.105	14.748
273.829	14.844
274.720	14.903
275.796	14.920
277.037	14.896
278.371	14.844
279.687	14.789
280.883	14.756
281.910	14.759
282.783	14.800
283.566	14.866
284.347	14.939
285.217	14.998
286.256	15.024
287.502	15.003
288.933	14.937
290.452	14.846
291.943	14.756
293.328	14.687
294.604	14.644
295.825	14.618
297.052	14.593
298.318	14.562
299.612	14.523
300.890	14.485
302.096	14.458
303.191	14.451
304.161	14.469
305.018	14.511
305.786	14.572
306.496	14.648
307.185	14.730
307.901	14.810
308.701	14.878
309.664	14.918
310.874	14.912
312.397	14.845
314.228	14.715
316.236	14.543
318.200	14.371
319.915	14.241
321.289	14.173
322.343	14.166
323.153	14.207
323.795	14.282
324.328	14.381
324.789	14.496
325.203	14.622
325.581	14.757
325.933	14.899
326.266	15.048
326.583	15.202
326.890	15.361
327.192	15.524
327.494	15.691
327.805	15.858
328.130	16.026
328.479	16.191
328.865	16.351
329.303	16.503
329.818	16.640
330.452	16.752
331.273	16.826
332.390	16.836
333.943	16.750
336.038	16.543
338.594	16.228
341.253	15.880
343.575	15.596
345.340	15.429
346.599	15.371
347.515	15.390
348.243	15.452
348.894	15.536
349.548	15.623
350.263	15.701
351.090	15.760
352.076	15.789
353.258	15.780
354.657	15.729
356.267	15.635
358.059	15.507
360.001	15.353
362.076	15.179
364.298	14.986
366.676	14.772
