<j>	<F>
1.220	19.787
2.362	18.239
3.552	16.259
4.687	16.013
6.076	13.680
7.328	12.290
8.322	12.711
9.190	13.870
10.151	15.091
11.263	14.847
12.337	14.961
13.300	15.215
14.124	16.547
15.406	16.543
16.835	14.354
17.612	15.284
18.518	16.276
19.752	15.843
20.825	15.582
21.827	16.020
23.107	15.558
24.294	15.095
25.289	15.245
26.227	15.648
27.343	15.751
28.629	15.259
29.776	15.065
30.950	14.979
32.212	14.654
33.383	14.473
34.612	14.401
36.217	13.818
37.874	12.988
39.165	12.666
40.215	12.687
41.082	12.919
41.831	13.344
42.616	13.791
43.499	14.110
44.410	14.353
45.301	14.627
46.229	14.880
47.237	15.020
48.285	15.081
49.330	15.136
50.366	15.201
51.390	15.273
52.373	15.379
53.272	15.580
54.108	15.896
55.092	16.145
56.684	15.789
58.919	14.575
60.582	13.751
61.370	13.866
61.806	14.435
62.148	15.183
62.496	16.017
63.030	16.791
64.453	16.878
68.177	14.820
71.820	12.468
73.297	11.987
74.150	12.121
74.995	12.312
75.952	12.447
76.996	12.512
78.001	12.565
78.837	12.696
79.468	12.953
79.950	13.327
80.358	13.783
80.748	14.285
81.148	14.811
81.567	15.349
82.003	15.901
82.453	16.468
82.941	17.039
83.566	17.534
84.585	17.718
86.356	17.205
88.539	16.183
90.089	15.619
90.917	15.707
91.431	16.114
91.855	16.644
92.284	17.212
92.810	17.739
93.573	18.091
94.762	18.067
96.411	17.592
98.197	16.961
99.843	16.477
101.432	16.109
103.239	15.685
105.605	15.002
108.413	14.077
110.839	13.331
112.486	12.999
113.636	12.943
114.570	13.004
115.392	13.119
116.109	13.278
116.712	13.488
117.209	13.755
117.624	14.073
117.989	14.433
118.335	14.822
118.688	15.227
119.073	15.634
119.518	16.026
120.066	16.374
120.780	16.636
121.752	16.748
123.040	16.656
124.548	16.398
125.981	16.146
127.099	16.065
127.904	16.183
128.557	16.420
129.244	16.671
130.180	16.810
131.632	16.680
133.776	16.166
136.300	15.426
138.589	14.810
140.502	14.422
142.233	14.152
143.841	13.936
145.230	13.799
146.346	13.766
147.247	13.825
148.038	13.937
148.814	14.066
149.633	14.183
150.521	14.276
151.464	14.342
152.426	14.396
153.363	14.455
154.247	14.532
155.079	14.632
155.887	14.746
156.711	14.858
157.574	14.956
158.474	15.037
159.377	15.110
160.238	15.196
161.025	15.311
161.742	15.458
162.422	15.627
163.115	15.799
163.875	15.950
164.741	16.056
165.717	16.111
166.743	16.132
167.716	16.164
168.552	16.250
169.238	16.407
169.832	16.618
170.435	16.843
171.168	17.023
172.148	17.097
173.427	17.026
174.896	16.846
176.303	16.670
177.450	16.600
178.305	16.663
178.941	16.835
179.441	17.079
179.868	17.369
180.275	17.682
180.715	17.993
181.257	18.269
182.004	18.455
183.080	18.484
184.537	18.312
186.217	18.006
187.805	17.726
189.166	17.565
190.482	17.462
192.119	17.263
194.389	16.827
197.174	16.183
199.880	15.566
202.102	15.142
203.895	14.889
205.427	14.738
206.800	14.645
208.098	14.584
209.415	14.527
210.839	14.447
212.386	14.332
213.968	14.199
215.430	14.088
216.647	14.036
217.588	14.057
218.298	14.144
218.847	14.281
219.297	14.451
219.696	14.642
220.077	14.844
220.464	15.051
220.884	15.254
221.365	15.445
221.952	15.611
222.706	15.732
223.698	15.784
224.979	15.746
226.509	15.623
228.123	15.460
229.597	15.326
230.789	15.269
231.698	15.300
232.410	15.397
233.040	15.528
233.710	15.660
234.568	15.751
235.807	15.745
237.632	15.581
240.090	15.238
242.834	14.800
245.282	14.424
247.117	14.204
248.415	14.129
249.400	14.142
250.276	14.193
251.195	14.244
252.273	14.266
253.598	14.236
255.199	14.143
257.014	13.998
258.876	13.834
260.584	13.693
261.997	13.610
263.081	13.595
263.881	13.642
264.466	13.738
264.906	13.869
265.258	14.025
265.562	14.196
265.853	14.375
266.160	14.557
266.511	14.733
266.937	14.898
267.478	15.040
268.177	15.148
269.082	15.210
270.226	15.214
271.607	15.158
273.162	15.056
274.773	14.933
276.309	14.823
277.676	14.748
278.837	14.720
279.803	14.736
280.606	14.792
281.289	14.877
