<j>	<F>
1.204	20.472
13.356	11.215
25.391	10.877
37.158	10.984
46.548	13.099
57.765	13.233
67.327	14.471
83.444	11.727
93.465	12.312
101.210	13.977
115.448	12.699
124.917	13.449
138.814	12.422
150.485	12.528
164.741	11.648
171.143	13.057
187.707	11.774
192.304	13.341
200.149	14.329
209.742	14.686
222.831	14.125
232.228	14.563
246.413	13.899
259.399	13.407
274.766	12.744
281.806	13.410
289.702	14.078
305.157	13.336
316.179	13.339
330.233	12.892
338.246	13.392
348.758	13.483
355.513	14.163
368.836	13.855
379.561	13.880
387.097	14.428
398.773	14.316
406.516	14.791
420.452	14.461
433.042	14.146
438.898	14.860
447.240	15.281
467.180	14.061
475.649	14.358
492.590	13.723
501.715	13.890
505.969	14.679
515.710	14.881
543.536	13.120
555.075	13.077
572.400	12.578
580.498	12.824
586.916	13.227
591.757	13.793
599.369	14.130
610.679	14.137
624.580	13.848
633.021	14.105
645.344	13.991
659.810	13.705
664.252	14.248
666.708	15.039
681.833	14.739
702.915	13.834
719.344	13.449
732.937	13.263
739.336	13.588
743.300	14.124
752.653	14.275
768.821	13.915
782.220	13.718
787.118	14.162
795.404	14.371
803.795	14.576
827.464	13.705
835.843	13.859
847.224	13.874
861.738	13.630
866.938	14.008
877.569	14.053
890.289	13.943
899.658	14.054
918.240	13.621
929.236	13.604
934.923	13.923
940.698	14.244
946.704	14.571
970.185	13.842
980.170	13.880
991.335	13.890
1001.388	13.938
1011.002	14.031
1025.308	13.857
1039.916	13.681
1054.644	13.488
1059.771	13.783
1062.904	14.206
1069.841	14.451
1093.868	13.778
1103.069	13.847
1106.296	14.251
1113.492	14.469
1126.581	14.357
1138.316	14.331
1155.324	14.022
1164.475	14.122
1186.199	13.628
1193.652	13.775
1195.657	14.201
1198.018	14.636
1204.186	14.896
1218.602	14.725
1231.052	14.642
1257.136	13.980
1279.620	13.453
1290.116	13.484
1303.102	13.415
1314.080	13.419
1321.980	13.548
1330.338	13.663
1338.588	13.779
1345.199	13.962
1350.202	14.224
1421.889	12.129
1433.890	12.058
1436.953	12.307
1439.623	12.578
1445.020	12.778
1465.792	12.504
1484.157	12.278
1490.928	12.411
1496.572	12.586
1504.578	12.692
1512.582	12.793
1517.276	12.999
1521.068	13.244
1526.474	13.442
1533.353	13.590
1538.873	13.786
1544.104	14.001
1555.401	14.002
1567.693	13.955
1581.177	13.881
1599.525	13.628
1607.213	13.736
1612.488	13.939
1624.888	13.905
1638.600	13.808
1643.429	14.015
1645.860	14.318
1651.768	14.514
1675.424	14.088
1703.826	13.529
1723.987	13.243
1731.277	13.353
1736.323	13.537
1740.790	13.743
1744.355	13.981
1747.453	14.243
1752.756	14.442
1765.931	14.377
1777.589	14.346
1781.587	14.580
1805.254	14.237
1854.380	13.063
1856.655	13.299
1857.719	13.583
1859.657	13.853
1864.069	14.058
1873.262	14.121
1886.727	14.052
1912.567	13.651
1946.620	13.026
1955.038	13.086
1957.384	13.312
1958.649	13.576
1959.613	13.857
1960.470	14.151
1961.534	14.451
1963.935	14.721
1972.047	14.820
1985.170	14.748
1990.736	14.912
1992.226	15.218
1992.841	15.567
1993.276	15.936
1993.599	16.324
1993.838	16.732
1994.027	17.160
1994.172	17.607
1994.286	18.076
1994.374	18.567
1994.454	19.080
1994.503	19.618
1994.572	20.179
1994.625	20.767
1994.667	21.383
1994.702	22.027
1994.743	22.701
1994.778	23.406
1994.818	24.144
