<j>	<F>
3.725	4.170
3.725	4.170
3.725	4.170
3.725	4.170
3.725	4.170
3.725	4.170
3.725	4.170
3.725	4.170
3.725	4.170
3.725	4.170
3.725	4.170
3.725	4.170
3.725	4.170
3.725	4.170
3.725	4.170
3.725	4.170
3.725	4.170
3.725	4.170
3.725	4.170
3.725	4.170
3.725	4.170
3.725	4.170
3.725	4.170
3.725	4.170
3.725	4.170
3.725	4.170
3.725	4.170
3.725	4.170
3.725	4.170
3.725	4.170
4.648	4.149
5.846	4.103
5.252	4.097
5.736	4.077
5.259	4.082
5.918	4.076
5.924	4.068
5.603	4.083
5.467	4.098
4.738	4.123
5.281	4.123
5.471	4.135
5.567	4.144
5.612	4.147
5.654	4.153
5.594	4.171
5.875	4.179
5.829	4.182
5.489	4.198
4.945	4.241
4.187	4.279
3.020	4.333
3.333	4.363
3.702	4.376
2.425	4.429
3.362	4.447
2.615	4.469
2.052	4.519
2.832	4.539
3.082	4.560
2.462	4.588
1.548	4.638
1.913	4.670
1.382	4.721
2.383	4.739
2.064	4.762
2.900	4.764
1.992	4.791
1.022	4.850
0.681	4.923
0.310	5.005
-0.177	5.086
-0.778	5.166
-0.717	5.240
0.130	5.271
0.373	5.304
0.071	5.337
-0.293	5.386
0.077	5.423
0.359	5.441
0.622	5.454
0.587	5.475
0.976	5.483
1.159	5.491
1.216	5.496
0.499	5.527
0.845	5.552
1.432	5.550
1.359	5.562
0.501	5.600
0.876	5.620
1.347	5.633
1.678	5.641
2.128	5.634
1.886	5.638
1.935	5.649
0.810	5.703
1.331	5.738
2.412	5.732
2.232	5.737
2.005	5.760
2.716	5.751
2.763	5.754
2.314	5.785
1.949	5.828
1.852	5.877
1.485	5.938
1.154	6.005
0.667	6.093
0.648	6.177
0.659	6.252
0.611	6.325
0.511	6.389
0.012	6.465
0.108	6.536
0.206	6.595
0.012	6.659
-0.255	6.732
0.092	6.777
0.611	6.805
0.842	6.834
1.244	6.835
1.381	6.837
0.691	6.876
0.538	6.921
0.291	6.972
0.860	7.003
0.947	7.025
0.508	7.071
0.881	7.101
1.077	7.119
0.900	7.153
1.170	7.174
1.059	7.203
0.737	7.259
0.996	7.285
1.464	7.300
1.977	7.297
2.247	7.288
2.446	7.280
1.929	7.309
2.561	7.297
2.212	7.323
2.402	7.343
2.132	7.383
1.939	7.430
2.279	7.457
2.289	7.491
1.717	7.561
1.115	7.660
0.794	7.753
0.164	7.873
0.184	7.986
0.544	8.073
0.578	8.163
0.991	8.228
1.106	8.291
0.891	8.373
0.855	8.454
1.013	8.529
1.157	8.601
0.907	8.691
0.884	8.777
1.449	8.831
1.926	8.874
1.683	8.949
1.446	9.036
1.056	9.145
1.227	9.230
1.209	9.326
1.177	9.429
0.947	9.543
0.983	9.652
0.880	9.774
1.285	9.867
1.129	9.985
0.889	10.116
0.982	10.235
1.021	10.356
1.262	10.473
1.212	10.603
1.058	10.747
0.994	10.884
1.064	11.015
1.178	11.150
1.126	11.287
0.824	11.453
0.721	11.618
0.725	11.777
0.870	11.923
0.906	12.076
1.004	12.230
0.615	12.420
0.126	12.634
0.108	12.823
0.009	13.032
0.098	13.225
0.228	13.405
0.012	13.623
-0.032	13.829
-0.007	14.036
0.108	14.229
0.866	14.354
1.507	14.460
2.008	14.558
2.796	14.613
3.462	14.651
3.794	14.701
4.553	14.711
5.248	14.703
5.951	14.676
6.402	14.651
6.951	14.611
