<j>	<Fwlc>
1221.400	8.563
1222.000	8.575
1222.000	8.596
1222.000	8.617
1222.000	8.638
1222.000	8.660
1222.000	8.681
1222.000	8.703
1222.000	8.725
1222.000	8.746
1222.000	8.768
1222.000	8.790
1222.000	8.812
1222.000	8.835
1222.000	8.857
1222.000	8.879
1222.000	8.902
1222.000	8.924
1222.000	8.947
1222.000	8.969
1222.000	8.992
1222.000	9.015
1222.000	9.038
1222.000	9.061
1222.000	9.084
1222.000	9.108
1222.000	9.131
1222.000	9.155
1222.000	9.178
1222.000	9.202
1222.000	9.226
1222.000	9.249
1222.000	9.273
1222.000	9.298
1222.000	9.322
1222.000	9.346
1222.000	9.371
1222.000	9.395
1222.000	9.420
1222.000	9.444
1222.000	9.469
1222.000	9.494
1222.000	9.519
1222.000	9.545
1222.000	9.570
1222.000	9.595
1222.000	9.621
1222.000	9.646
1222.000	9.672
1222.000	9.698
1222.000	9.724
1222.000	9.750
1222.000	9.776
1222.000	9.803
1222.000	9.829
1222.000	9.856
1222.000	9.882
1222.000	9.909
1222.000	9.936
1222.000	9.963
1222.000	9.991
1222.000	10.018
1222.000	10.045
1222.000	10.073
1222.000	10.101
1222.000	10.129
1222.000	10.157
1222.000	10.185
1222.000	10.213
1222.000	10.241
1222.000	10.270
1222.000	10.298
1222.000	10.327
1222.000	10.356
1222.000	10.385
1222.000	10.414
1222.000	10.444
1222.000	10.473
1222.000	10.503
1222.000	10.533
1222.000	10.563
1222.000	10.593
1222.000	10.623
1222.000	10.653
1222.000	10.684
1222.000	10.715
1222.000	10.745
1222.000	10.776
1222.000	10.808
1222.000	10.839
1222.000	10.870
1222.000	10.902
1222.000	10.934
1222.000	10.966
1222.000	10.998
1222.000	11.030
1222.000	11.062
1222.000	11.095
1222.000	11.128
1222.000	11.161
1222.000	11.194
1222.000	11.227
1222.000	11.261
1222.000	11.294
1222.000	11.328
1222.000	11.362
1222.000	11.396
1222.000	11.430
1222.000	11.465
1222.000	11.500
1222.000	11.534
1222.000	11.570
1222.000	11.605
1222.000	11.640
1222.000	11.676
1222.000	11.712
1222.000	11.748
1222.000	11.784
1222.000	11.820
1222.000	11.857
1222.000	11.894
1222.000	11.930
1222.000	11.968
1222.000	12.005
1222.000	12.043
1222.000	12.080
1222.000	12.118
1222.000	12.157
1222.000	12.195
1222.000	12.234
1222.000	12.272
1222.000	12.312
1222.000	12.351
1222.000	12.390
1222.000	12.430
1222.000	12.470
1222.000	12.510
1222.000	12.550
1222.000	12.591
1222.000	12.632
1222.000	12.673
1222.000	12.714
1222.000	12.756
1222.000	12.798
1222.000	12.840
1222.000	12.882
1222.000	12.924
1222.000	12.967
1222.000	13.010
1222.000	13.053
1222.000	13.097
1222.000	13.140
1222.000	13.184
1222.000	13.229
1222.000	13.273
1222.000	13.318
1222.000	13.363
1222.000	13.408
1222.000	13.454
