<j>	<Fwlc>
1056.566	12.941
1057.464	12.947
1058.127	12.964
1058.626	12.990
1059.012	13.021
1059.321	13.056
1059.577	13.094
1059.797	13.134
1059.993	13.175
1060.173	13.217
1060.344	13.260
1060.510	13.304
1060.675	13.348
1060.843	13.392
1061.018	13.436
1061.205	13.479
1061.409	13.523
1061.637	13.565
1061.897	13.607
1062.202	13.646
1062.564	13.683
1063.003	13.717
1063.541	13.747
1064.208	13.771
1065.038	13.788
1066.073	13.796
1067.354	13.792
1068.923	13.775
1070.808	13.743
1073.015	13.695
1075.519	13.634
1078.250	13.561
1081.109	13.482
1083.975	13.402
1086.734	13.326
1089.299	13.259
1091.621	13.202
1093.687	13.158
1095.513	13.124
1097.128	13.101
1098.569	13.085
1099.871	13.076
1101.064	13.072
1102.174	13.071
1103.221	13.074
1104.221	13.079
1105.188	13.085
1106.133	13.093
1107.068	13.101
1108.003	13.109
1108.946	13.118
1109.908	13.125
1110.898	13.131
1111.924	13.136
1112.995	13.139
1114.116	13.140
1115.292	13.139
1116.522	13.136
1117.806	13.130
1119.136	13.122
1120.503	13.113
1121.895	13.102
1123.297	13.090
1124.695	13.079
1126.072	13.068
1127.418	13.059
1128.724	13.051
1129.986	13.045
1131.204	13.041
1132.386	13.038
1133.542	13.037
1134.690	13.036
1135.851	13.035
1137.053	13.033
1138.328	13.028
1139.715	13.020
1141.255	13.006
1142.991	12.985
1144.967	12.954
1147.214	12.914
1149.748	12.863
1152.557	12.801
1155.591	12.730
1158.769	12.654
1161.982	12.576
1165.111	12.500
1168.051	12.432
1170.725	12.373
1173.089	12.325
1175.135	12.289
1176.877	12.264
1178.346	12.250
1179.580	12.244
1180.615	12.245
1181.486	12.253
1182.223	12.266
1182.850	12.283
1183.388	12.303
1183.852	12.326
1184.255	12.352
1184.607	12.379
1184.917	12.409
1185.191	12.439
1185.435	12.471
1185.652	12.504
1185.847	12.539
1186.022	12.574
1186.180	12.609
1186.323	12.646
1186.454	12.683
1186.572	12.721
1186.681	12.760
1186.780	12.799
1186.872	12.839
1186.957	12.879
1187.036	12.919
1187.110	12.960
1187.179	13.002
1187.244	13.043
1187.306	13.085
1187.364	13.128
1187.420	13.171
1187.474	13.214
1187.527	13.257
1187.578	13.301
1187.628	13.345
1187.678	13.390
1187.728	13.434
1187.779	13.479
1187.831	13.524
1187.885	13.569
1187.942	13.615
1188.004	13.660
1188.072	13.706
1188.148	13.751
1188.236	13.796
1188.340	13.841
1188.466	13.885
1188.624	13.928
1188.825	13.970
1189.087	14.009
1189.435	14.045
1189.903	14.077
1190.537	14.101
1191.401	14.116
1192.573	14.119
1194.147	14.104
1196.219	14.068
1198.864	14.008
1202.096	13.921
1205.834	13.813
1209.886	13.690
1213.980	13.563
1217.839	13.446
1221.260	13.346
1224.155	13.268
1226.538	13.213
1228.489	13.175
1230.113	13.152
1231.516	13.139
1232.787	13.133
1234.000	13.129
1235.207	13.126
1236.446	13.123
1237.739	13.117
1239.098	13.109
1240.520	13.099
1241.994	13.086
1243.500	13.072
1245.013	13.058
1246.504	13.044
1247.947	13.031
1249.317	13.021
1250.598	13.014
1251.778	13.011
1252.854	13.012
1253.827	13.016
1254.706	13.024
1255.498	13.036
1256.218	13.050
1256.877	13.067
1257.490	13.086
1258.067	13.106
1258.623	13.128
1259.167	13.150
1259.711	13.172
1260.265	13.194
1260.839	13.215
1261.443	13.236
1262.088	13.255
1262.784	13.272
1263.543	13.287
1264.378	13.299
1265.302	13.308
1266.328	13.313
1267.472	13.314
1268.745	13.310
1270.161	13.301
1271.725	13.286
1273.442	13.266
1275.306	13.240
1277.305	13.208
1279.418	13.173
1281.616	13.134
1283.864	13.093
1286.126	13.052
1288.367	13.011
1290.558	12.972
1292.677	12.936
1294.711	12.902
1296.654	12.873
1298.509	12.846
1300.283	12.823
1301.988	12.803
1303.635	12.784
1305.238	12.768
1306.807	12.752
1308.355	12.738
1309.887	12.725
1311.410	12.711
1312.925	12.699
1314.432	12.686
1315.928	12.674
1317.406	12.662
1318.860	12.651
1320.281	12.641
1321.659	12.633
1322.986	12.626
1324.255	12.621
1325.458	12.618
1326.592	12.617
1327.654	12.619
1328.644	12.623
1329.565	12.630
1330.418	12.638
1331.208	12.649
1331.941	12.662
1332.622	12.677
1333.258	12.693
1333.854	12.711
1334.416	12.729
1334.950	12.749
1335.462	12.770
1335.956	12.792
1336.437	12.814
1336.910	12.836
1337.378	12.859
1337.844	12.882
1338.311	12.904
1338.781	12.927
1339.258	12.950
1339.741	12.973
1340.233	12.995
1340.734	13.017
1341.245	13.039
1341.766	13.060
1342.296	13.081
1342.835	13.102
1343.382	13.123
1343.936	13.143
1344.496	13.164
1345.060	13.184
1345.629	13.204
1346.200	13.224
1346.776	13.243
1347.358	13.263
1347.948	13.283
1348.553	13.302
1349.183	13.320
1349.855	13.337
1350.593	13.352
1351.435	13.364
1352.439	13.371
1353.689	13.370
1355.309	13.358
1357.466	13.328
1360.377	13.275
1364.281	13.191
1369.378	13.068
1375.709	12.907
1383.040	12.714
1390.829	12.506
1398.377	12.305
1405.088	12.131
1410.647	11.992
1415.036	11.890
1418.414	11.820
1421.005	11.774
1423.016	11.746
1424.613	11.730
1425.917	11.724
1427.013	11.724
1427.960	11.728
1428.798	11.736
1429.558	11.746
1430.262	11.758
1430.930	11.771
1431.577	11.784
1432.219	11.798
1432.871	11.812
1433.547	11.826
1434.264	11.838
1435.037	11.849
1435.883	11.859
1436.820	11.866
1437.863	11.870
1439.027	11.872
1440.324	11.869
1441.762	11.863
1443.341	11.854
1445.054	11.840
1446.884	11.824
1448.804	11.804
1450.781	11.783
1452.773	11.761
1454.739	11.740
1456.637	11.720
1458.431	11.702
1460.095	11.688
1461.611	11.677
1462.971	11.670
1464.174	11.668
1465.228	11.669
1466.144	11.674
1466.935	11.683
1467.619	11.694
1468.209	11.708
1468.720	11.724
1469.166	11.742
1469.558	11.761
1469.907	11.782
1470.220	11.804
1470.506	11.827
1470.771	11.850
1471.020	11.874
1471.256	11.899
1471.484	11.923
1471.707	11.948
1471.926	11.974
1472.144	11.999
1472.362	12.024
1472.583	12.050
1472.806	12.075
1473.033	12.101
1473.265	12.126
1473.504	12.152
1473.748	12.177
1474.001	12.202
1474.261	12.227
1474.530	12.252
1474.808	12.277
1475.096	12.301
1475.394	12.326
1475.704	12.350
1476.025	12.374
1476.358	12.397
1476.704	12.420
1477.062	12.443
1477.434	12.466
1477.820	12.488
1478.219	12.510
1478.631	12.532
1479.057	12.553
1479.496	12.574
1479.948	12.594
1480.413	12.615
1480.889	12.635
1481.375	12.654
1481.871	12.674
1482.376	12.693
1482.888	12.712
1483.405	12.731
1483.927	12.749
1484.452	12.768
1484.979	12.786
1485.507	12.805
1486.036	12.824
1486.565	12.842
1487.095	12.861
1487.626	12.879
1488.161	12.898
1488.701	12.916
1489.252	12.935
1489.817	12.953
1490.403	12.970
1491.019	12.987
1491.673	13.002
1492.378	13.016
1493.147	13.028
1493.996	13.038
1494.940	13.045
1495.998	13.049
1497.187	13.048
1498.521	13.044
1500.012	13.034
1501.664	13.020
1503.472	13.000
1505.420	12.976
1507.481	12.949
1509.618	12.918
1511.785	12.887
1513.934	12.856
1516.019	12.826
1518.002	12.800
1519.854	12.777
1521.560	12.758
1523.114	12.744
1524.521	12.735
1525.791	12.729
1526.942	12.728
1527.990	12.729
1528.955	12.734
1529.854	12.740
1530.704	12.748
1531.520	12.757
1532.315	12.767
1533.100	12.777
1533.887	12.788
1534.683	12.798
1535.497	12.808
1536.335	12.817
1537.201	12.825
1538.101	12.833
1539.037	12.839
1540.011	12.844
1541.021	12.848
1542.067	12.851
1543.145	12.853
1544.248	12.854
1545.370	12.855
1546.502	12.855
1547.635	12.855
1548.758	12.855
1549.861	12.856
1550.935	12.857
1551.969	12.860
1552.957	12.864
1553.894	12.869
1554.774	12.876
1555.595	12.884
1556.358	12.895
1557.062	12.907
1557.710	12.921
1558.306	12.936
1558.852	12.953
1559.353	12.972
1559.814	12.991
1560.240	13.012
1560.635	13.034
1561.004	13.057
1561.352	13.080
1561.684	13.105
1562.003	13.129
1562.315	13.154
1562.624	13.179
1562.934	13.205
1563.252	13.230
1563.581	13.255
1563.928	13.279
1564.300	13.303
1564.703	13.326
1565.146	13.348
1565.638	13.369
1566.189	13.388
1566.812	13.404
1567.518	13.419
1568.323	13.430
1569.240	13.438
1570.282	13.442
1571.462	13.441
1572.788	13.437
1574.263	13.427
1575.884	13.413
1577.638	13.394
1579.503	13.372
1581.451	13.347
1583.444	13.320
1585.444	13.292
1587.412	13.266
1589.318	13.241
1591.139	13.219
1592.861	13.200
1594.486	13.184
1596.023	13.170
1597.491	13.160
1598.917	13.150
1600.333	13.142
1601.773	13.133
1603.274	13.123
1604.871	13.110
1606.597	13.094
1608.478	13.073
1610.529	13.048
1612.753	13.018
1615.136	12.983
1617.647	12.944
1620.240	12.903
1622.857	12.861
1625.438	12.819
1627.925	12.780
1630.273	12.745
1632.448	12.715
1634.435	12.690
1636.233	12.670
1637.849	12.655
1639.302	12.645
1640.610	12.639
1641.797	12.637
1642.884	12.637
1643.888	12.640
1644.826	12.645
1645.713	12.651
1646.557	12.659
1647.369	12.667
1648.153	12.677
1648.914	12.687
1649.655	12.697
1650.379	12.709
1651.085	12.720
1651.774	12.732
1652.448	12.745
1653.104	12.758
1653.745	12.771
1654.368	12.785
1654.975	12.799
