<j>	<F>
1.274	18.886
2.381	17.545
3.349	19.325
4.974	13.933
6.294	11.774
7.395	12.131
8.528	12.107
9.605	12.255
10.578	12.749
11.497	13.655
12.638	14.041
13.983	13.081
14.959	13.122
15.828	14.138
17.061	14.114
18.291	13.431
19.144	13.935
19.969	14.864
20.994	15.212
22.048	15.215
22.964	15.596
23.814	16.289
24.913	16.671
26.823	15.032
28.711	13.232
30.087	12.623
31.126	12.655
32.090	12.930
33.193	13.071
34.450	12.922
35.567	12.793
36.331	13.127
36.906	13.860
37.510	14.682
38.271	15.331
39.303	15.602
40.837	15.160
42.761	14.014
44.255	13.305
45.210	13.364
46.005	13.723
46.847	14.070
47.758	14.321
48.723	14.518
49.858	14.576
51.296	14.290
52.842	13.805
54.222	13.493
55.489	13.343
56.686	13.244
57.725	13.263
58.618	13.439
59.530	13.658
60.671	13.732
62.163	13.511
63.834	13.077
65.264	12.755
66.251	12.752
66.900	13.030
67.372	13.487
67.770	14.050
68.161	14.672
68.603	15.304
69.182	15.860
70.002	16.207
71.108	16.243
72.416	16.049
73.916	15.719
75.754	15.136
77.670	14.427
79.119	14.044
80.070	14.070
80.769	14.325
81.365	14.683
81.927	15.092
82.524	15.508
83.272	15.842
84.346	15.942
85.851	15.683
87.616	15.182
89.373	14.704
91.125	14.290
92.929	13.877
94.723	13.489
96.452	13.159
98.057	12.894
99.404	12.739
100.408	12.743
101.122	12.899
101.661	13.161
102.126	13.482
102.578	13.830
103.060	14.181
103.626	14.509
104.380	14.760
105.519	14.828
107.269	14.570
109.505	14.006
111.565	13.472
113.024	13.231
114.046	13.233
114.894	13.341
115.694	13.480
116.466	13.631
117.186	13.802
117.837	14.008
118.427	14.250
118.986	14.518
119.559	14.794
120.187	15.052
120.901	15.270
121.696	15.440
122.524	15.582
123.310	15.737
123.998	15.945
124.601	16.215
125.213	16.510
126.069	16.713
127.667	16.565
130.595	15.732
134.189	14.492
136.751	13.708
138.135	13.499
138.988	13.563
139.699	13.714
140.448	13.869
141.345	13.978
142.484	14.003
143.921	13.915
145.609	13.723
147.361	13.489
148.958	13.299
150.304	13.197
151.457	13.173
152.548	13.186
153.705	13.190
155.020	13.152
156.522	13.054
158.144	12.911
159.735	12.764
161.131	12.663
162.242	12.640
163.072	12.700
163.679	12.831
164.132	13.016
164.491	13.240
164.806	13.489
165.117	13.751
165.469	14.012
165.912	14.255
166.509	14.456
167.318	14.587
168.363	14.631
169.569	14.601
170.763	14.555
171.772	14.560
172.537	14.654
173.120	14.825
173.660	15.033
174.355	15.214
175.511	15.262
177.538	15.032
180.565	14.454
183.817	13.756
186.248	13.289
187.703	13.127
188.557	13.160
189.120	13.291
189.548	13.471
189.913	13.677
190.249	13.899
190.576	14.130
190.907	14.367
191.250	14.607
191.610	14.848
191.989	15.088
192.389	15.327
192.811	15.564
193.258	15.797
193.737	16.024
194.260	16.240
194.853	16.436
195.562	16.594
196.477	16.684
197.760	16.647
199.617	16.409
202.099	15.943
204.799	15.381
207.092	14.944
208.763	14.722
210.060	14.647
211.369	14.606
213.060	14.486
215.371	14.212
218.158	13.803
220.846	13.394
222.933	13.123
224.373	13.012
225.379	13.015
226.162	13.078
226.843	13.171
227.482	13.276
228.100	13.388
228.706	13.504
229.300	13.624
229.880	13.748
230.446	13.877
230.999	14.010
231.547	14.148
232.112	14.286
232.740	14.415
233.515	14.515
234.581	14.555
236.126	14.488
238.283	14.274
240.900	13.937
243.467	13.589
245.486	13.350
246.832	13.261
247.669	13.291
248.204	13.396
248.580	13.544
248.879	13.716
249.142	13.902
249.395	14.095
249.653	14.293
249.936	14.490
250.263	14.683
250.665	14.863
251.178	15.021
251.844	15.144
252.695	15.221
253.730	15.247
254.890	15.234
256.058	15.208
257.107	15.205
257.959	15.250
258.604	15.350
259.080	15.499
259.440	15.686
259.732	15.898
259.995	16.126
260.260	16.361
260.554	16.595
260.911	16.817
261.383	17.013
262.057	17.157
263.104	17.201
264.853	17.061
267.839	16.606
272.439	15.761
277.886	14.731
282.499	13.913
285.539	13.461
287.354	13.280
288.456	13.252
289.176	13.306
289.695	13.404
290.112	13.526
290.481	13.661
290.840	13.803
291.212	13.945
291.619	14.083
292.078	14.215
292.607	14.335
293.217	14.440
293.918	14.528
294.707	14.597
295.570	14.650
296.482	14.690
297.409	14.725
298.319	14.762
299.191	14.806
300.019	14.860
300.812	14.922
301.593	14.988
302.389	15.053
303.227	15.110
304.129	15.155
305.105	15.184
306.150	15.198
307.247	15.198
308.374	15.191
309.514	15.181
310.656	15.169
311.797	15.158
312.930	15.148
314.042	15.142
315.113	15.142
316.120	15.155
317.055	15.182
317.931	15.224
318.784	15.273
319.666	15.320
320.636	15.351
321.740	15.356
322.990	15.330
324.344	15.279
325.715	15.219
327.004	15.171
328.148	15.151
329.139	15.162
330.016	15.199
330.844	15.251
331.693	15.302
332.630	15.339
333.712	15.350
334.971	15.326
336.403	15.266
337.953	15.180
339.527	15.085
341.022	15.001
342.361	14.945
343.517	14.923
344.500	14.934
345.341	14.974
346.084	15.035
346.774	15.109
347.471	15.185
348.250	15.252
349.222	15.288
350.532	15.269
352.320	15.167
354.615	14.971
357.206	14.713
359.676	14.463
361.667	14.288
363.081	14.211
364.027	14.216
364.671	14.279
365.150	14.374
365.552	14.486
365.932	14.605
366.318	14.726
366.726	14.845
367.164	14.960
367.637	15.071
368.147	15.176
368.700	15.275
369.306	15.366
369.983	15.445
370.757	15.508
371.666	15.549
372.751	15.559
374.049	15.531
375.572	15.463
377.313	15.356
379.256	15.215
381.414	15.044
383.841	14.838
386.581	14.590
389.557	14.310
392.516	14.030
395.136	13.797
397.215	13.640
398.747	13.563
399.847	13.549
400.658	13.580
401.293	13.638
401.834	13.712
402.331	13.794
402.818	13.880
403.318	13.965
403.850	14.048
404.427	14.125
405.061	14.195
405.761	14.256
406.529	14.307
407.360	14.349
408.241	14.383
409.149	14.412
410.058	14.440
410.942	14.470
411.782	14.506
412.570	14.549
