<j>	var(j)
1.246	0.387
3.002	0.921
4.179	0.875
5.196	0.705
6.054	0.711
7.215	1.332
8.585	0.975
9.532	1.532
11.137	2.247
12.467	1.536
13.346	1.420
14.237	1.855
15.522	2.821
17.083	2.218
18.031	1.476
18.729	1.284
19.440	1.445
20.367	1.813
21.486	1.844
22.550	1.870
23.598	1.727
24.543	1.681
25.496	1.971
26.692	3.106
28.339	3.566
29.759	2.826
30.782	2.091
31.548	1.697
32.242	1.605
32.951	1.500
33.668	1.754
34.659	3.159
36.382	4.929
38.246	3.751
39.354	2.254
40.058	1.820
40.693	1.646
41.311	1.533
41.954	1.802
42.828	3.072
44.396	6.558
47.021	9.179
49.278	5.271
50.306	2.556
50.847	2.083
51.368	2.686
52.136	4.268
53.392	6.135
54.975	5.628
56.180	3.194
56.831	1.790
57.242	1.473
57.644	1.710
58.184	2.470
59.043	3.985
60.413	5.858
62.128	5.995
63.566	4.223
64.501	2.795
65.151	2.202
65.716	2.118
66.315	2.367
67.037	2.875
67.946	3.613
69.090	4.820
70.581	6.850
72.480	8.304
74.343	6.766
75.630	4.489
76.493	4.392
77.473	7.979
79.355	17.198
82.678	24.597
85.950	17.998
87.839	10.212
88.864	6.416
89.525	4.486
90.007	3.402
90.395	2.836
90.742	2.622
91.088	2.673
91.469	2.953
91.919	3.441
92.476	4.087
93.164	4.760
93.977	5.266
94.877	5.497
95.812	5.583
96.766	5.832
97.775	6.550
98.919	7.879
100.275	9.604
101.845	11.156
103.539	12.081
105.236	12.203
106.832	11.306
108.221	9.409
109.327	7.104
110.148	5.143
110.755	3.951
111.248	3.634
111.742	4.248
112.371	5.998
113.303	9.142
114.711	13.166
116.582	15.679
118.546	14.469
120.167	10.951
121.324	7.573
122.117	5.169
122.670	3.688
123.085	2.935
123.439	2.768
123.804	3.159
124.257	4.260
124.911	6.416
125.927	9.863
127.442	13.573
129.326	14.666
131.114	12.250
132.486	9.408
133.537	8.627
134.555	10.840
135.900	17.228
138.002	28.217
141.060	37.490
144.396	34.457
146.953	23.237
148.521	14.266
149.469	9.732
150.136	8.081
150.717	7.982
151.315	8.719
151.990	9.871
152.768	11.069
153.647	11.917
154.591	12.093
155.543	11.562
156.447	10.673
157.284	10.002
158.082	10.102
158.909	11.369
159.864	13.943
161.045	17.444
162.496	20.577
164.133	21.423
165.741	19.087
167.100	14.794
168.120	10.531
168.843	7.366
169.359	5.379
169.750	4.279
170.076	3.778
170.380	3.684
170.692	3.897
171.039	4.380
171.447	5.161
171.947	6.384
172.587	8.468
173.465	12.482
174.788	20.594
176.933	34.913
180.220	50.538
184.168	52.486
187.537	39.391
189.773	25.677
191.169	17.207
192.106	12.507
192.798	9.741
193.351	8.003
193.817	6.912
194.232	6.273
194.621	5.951
195.003	5.836
195.390	5.836
195.788	5.881
196.201	5.938
196.628	6.026
197.074	6.252
197.552	6.857
198.096	8.303
198.783	11.380
199.758	17.173
201.234	26.217
203.389	36.000
206.070	39.969
208.703	35.040
210.798	26.918
212.340	21.471
213.572	19.643
214.717	20.068
215.892	21.205
217.124	21.825
218.371	21.192
219.557	19.253
220.618	16.586
221.525	14.006
222.295	12.192
222.978	11.607
223.648	12.662
224.406	15.911
225.384	22.063
226.751	31.382
228.651	42.075
231.055	49.016
233.631	47.046
235.903	37.360
237.598	26.156
238.750	17.743
239.533	12.749
240.109	10.239
240.586	9.250
241.033	9.185
241.490	9.748
241.989	10.823
242.555	12.375
243.215	14.383
243.992	16.775
244.904	19.371
245.955	21.859
247.132	23.845
248.398	25.021
249.704	25.338
251.005	25.064
252.275	24.637
253.513	24.455
254.734	24.736
255.964	25.502
257.225	26.615
258.530	27.808
259.878	28.681
261.247	28.765
262.596	27.669
263.871	25.293
265.018	21.929
266.001	18.141
266.810	14.515
267.460	11.452
267.979	9.119
268.400	7.513
268.757	6.547
269.077	6.118
269.388	6.152
269.711	6.611
270.070	7.514
270.491	8.955
271.005	11.126
271.660	14.369
272.519	19.172
273.673	25.988
275.219	34.587
277.210	42.989
279.545	47.438
281.943	45.299
284.081	38.278
285.806	30.784
287.167	25.958
288.324	24.535
289.435	25.845
290.618	28.699
291.926	31.761
293.353	33.838
294.840	34.305
296.313	33.363
297.720	31.786
299.043	30.306
300.296	29.180
301.495	28.167
302.647	26.806
303.734	24.762
304.731	22.019
305.613	18.871
306.368	15.740
307.000	12.989
307.527	10.824
307.974	9.302
308.367	8.377
308.731	7.965
309.086	7.972
309.451	8.309
309.841	8.899
310.268	9.657
310.739	10.489
311.258	11.280
311.822	11.905
312.422	12.241
313.042	12.205
313.662	11.777
314.264	11.017
314.829	10.045
315.349	9.011
315.820	8.056
316.249	7.294
316.646	6.818
317.027	6.761
317.420	7.482
317.878	10.248
318.557	19.792
319.987	53.040
323.852	154.107
333.223	316.448
345.988	290.952
353.993	134.038
357.145	54.968
358.424	29.471
359.136	20.838
359.655	16.889
360.084	14.386
360.455	12.474
360.782	10.907
361.072	9.604
361.332	8.526
361.567	7.646
361.781	6.943
361.979	6.399
362.166	5.999
362.344	5.731
362.519	5.593
362.693	5.589
362.870	5.737
363.057	6.072
363.259	6.661
363.487	7.612
363.753	9.101
364.079	11.398
364.498	14.904
365.056	20.140
365.820	27.655
366.875	37.684
368.302	49.459
370.134	60.437
372.291	66.588
374.557	64.770
376.657	55.537
378.384	42.845
379.681	30.861
380.605	21.788
381.261	15.966
381.750	12.890
382.157	11.988
382.550	12.916
382.989	15.637
383.534	20.381
384.258	27.518
385.243	37.274
386.572	49.179
388.297	61.388
390.384	70.561
392.687	73.321
394.973	68.741
397.029	59.225
398.747	48.546
400.132	39.397
401.250	32.695
402.181	28.160
402.990	25.122
403.717	22.944
404.388	21.179
405.012	19.581
405.593	18.047
406.134	16.579
406.635	15.228
407.100	14.076
407.536	13.216
407.951	12.745
408.359	12.778
408.776	13.451
409.225	14.940
409.733	17.459
410.338	21.240
411.084	26.458
412.020	33.062
413.187	40.533
414.602	47.658
416.233	52.678
417.985	53.989
419.729	51.147
421.333	45.262
422.724	38.315
423.887	32.122
424.862	27.726
425.712	25.471
426.504	25.300
427.306	27.013
428.174	30.378
429.158	35.117
430.298	40.834
431.617	46.913
433.115	52.517
434.763	56.698
436.506	58.708
438.270	58.256
439.982	55.652
441.587	51.621
443.052	47.016
444.374	42.570
445.564	38.762
446.646	35.839
447.649	33.853
448.599	32.744
449.523	32.372
450.440	32.573
451.367	33.205
452.314	34.175
453.291	35.502
454.307	37.333
455.378	39.962
456.525	43.808
457.783	49.308
459.195	56.769
460.812	66.088
462.668	76.443
464.773	86.193
467.082	93.206
469.500	95.819
471.904	93.825
474.186	88.660
476.288	82.627
478.210	77.807
479.998	75.440
481.716	75.858
483.431	78.611
485.192	82.678
487.022	86.668
488.911	89.071
490.818	88.710
492.683	85.115
494.441	78.662
496.040	70.358
497.454	61.414
498.678	52.842
499.727	45.262
500.626	38.922
501.401	33.802
502.078	29.747
502.678	26.555
503.219	24.045
503.712	22.070
504.170	20.521
504.600	19.332
505.010	18.467
505.405	17.911
505.794	17.666
506.182	17.753
506.577	18.205
506.987	19.066
507.422	20.398
507.893	22.278
508.413	24.793
508.998	28.041
509.666	32.114
510.436	37.061
511.328	42.842
512.360	49.261
513.544	55.901
514.880	62.083
516.348	66.932
517.910	69.569
519.510	69.400
521.081	66.341
522.560	60.878
523.901	53.883
525.076	46.327
526.081	39.013
526.925	32.466
527.630	26.929
528.217	22.444
528.710	18.932
529.131	16.265
529.497	14.303
529.823	12.915
530.123	11.994
530.405	11.454
530.679	11.232
530.952	11.280
531.230	11.565
531.520	12.062
531.827	12.762
532.156	13.655
532.512	14.738
532.902	16.015
533.329	17.490
533.801	19.176
534.324	21.091
534.903	23.255
535.546	25.697
536.262	28.443
537.056	31.515
537.940	34.922
538.920	38.676
540.004	42.808
541.201	47.470
542.524	53.101
543.996	60.713
545.673	72.226
547.657	90.662
550.122	119.557
553.299	160.286
557.379	206.567
562.300	240.747
567.576	242.978
572.466	210.680
576.412	161.479
579.291	114.906
581.284	79.908
582.654	56.668
583.628	42.196
584.359	33.488
584.947	28.399
585.453	25.589
585.914	24.271
586.358	24.008
586.803	24.566
587.264	25.835
587.753	27.767
588.284	30.353
588.870	33.580
589.522	37.412
590.253	41.756
591.072	46.437
591.985	51.173
592.990	55.583
594.078	59.213
595.233	61.631
596.428	62.506
597.633	61.723
598.815	59.417
599.946	55.956
601.006	51.851
601.987	47.641
602.888	43.801
603.718	40.682
604.493	38.500
605.230	37.354
605.951	37.246
606.676	38.111
607.423	39.826
608.208	42.222
609.044	45.095
609.939	48.210
610.898	51.324
611.917	54.227
612.992	56.768
614.115	58.893
615.276	60.662
616.468	62.231
617.687	63.805
618.932	65.568
620.209	67.617
621.520	69.912
622.870	72.253
624.258	74.307
625.676	75.680
627.110	76.021
628.539	75.111
629.939	72.933
631.289	69.670
632.569	65.646
633.769	61.237
634.885	56.797
635.918	52.584
636.874	48.771
637.762	45.442
638.592	42.618
639.373	40.299
640.114	38.472
640.825	37.138
641.516	36.313
642.195	36.034
642.874	36.358
643.563	37.356
644.276	39.110
645.027	41.709
645.833	45.238
646.711	49.779
647.680	55.394
648.760	62.138
649.970	70.042
651.331	79.127
652.859	89.377
654.571	100.700
656.479	112.824
658.586	125.128
660.884	136.479
663.340	145.238
665.893	149.546
668.458	147.967
670.935	140.145
673.226	127.070
675.262	110.764
677.008	93.546
678.466	77.364
679.664	63.460
680.645	52.385
681.456	44.189
682.145	38.650
682.753	35.447
683.318	34.250
683.869	34.782
684.435	36.805
685.041	40.116
685.706	44.507
686.449	49.718
687.281	55.412
688.209	61.146
689.233	66.372
690.341	70.495
691.512	72.962
692.718	73.378
693.922	71.611
695.090	67.831
696.190	62.469
697.198	56.105
698.102	49.351
698.895	42.734
699.583	36.639
700.174	31.297
700.682	26.813
701.120	23.199
701.503	20.416
701.842	18.405
702.152	17.111
702.445	16.501
702.730	16.573
703.022	17.367
703.332	18.964
703.675	21.503
704.070	25.171
704.537	30.198
705.103	36.843
705.799	45.324
706.658	55.731
707.714	67.868
708.996	81.090
710.516	94.161
712.258	105.341
714.175	112.763
716.188	115.081
718.202	112.058
720.126	104.703
721.894	94.830
723.476	84.381
724.873	74.842
726.108	67.044
727.214	61.235
728.226	57.272
729.177	54.805
730.090	53.420
730.983	52.718
731.867	52.348
732.746	52.027
733.621	51.543
734.489	50.774
735.344	49.668
736.181	48.256
736.995	46.632
737.783	44.947
738.544	43.397
739.281	42.200
740.001	41.607
740.716	41.879
741.440	43.293
742.194	46.140
743.004	50.720
743.900	57.292
744.917	66.018
746.090	76.838
747.453	89.335
749.028	102.583
750.817	115.105
752.797	125.092
754.911	130.837
757.079	131.366
759.213	126.818
761.236	118.400
763.096	107.890
764.772	97.034
766.266	87.125
767.602	78.877
768.810	72.520
769.921	67.975
770.964	65.016
771.965	63.383
772.943	62.848
773.916	63.228
774.896	64.390
775.896	66.242
776.926	68.695
777.995	71.666
779.109	75.030
780.275	78.613
781.494	82.183
782.764	85.440
784.079	88.051
785.427	89.692
786.793	90.095
788.157	89.105
789.497	86.711
790.794	83.045
792.029	78.380
793.191	73.054
794.270	67.429
795.263	61.832
796.174	56.520
797.008	51.685
797.772	47.441
798.476	43.847
799.129	40.907
799.742	38.606
800.323	36.918
800.884	35.817
801.431	35.285
801.973	35.317
802.521	35.926
803.082	37.143
803.666	39.021
804.283	41.626
804.946	45.024
805.667	49.274
806.460	54.402
807.338	60.368
808.313	67.024
809.396	74.081
810.589	81.091
811.891	87.470
813.285	92.551
814.748	95.734
816.249	96.633
817.750	95.201
819.215	91.795
820.616	87.120
821.938	82.125
823.180	77.909
824.358	75.646
825.504	76.625
826.673	82.358
827.938	94.721
829.402	115.996
831.198	148.535
833.486	193.666
836.424	249.459
840.111	307.920
844.494	354.320
849.308	372.395
854.121	354.476
858.488	307.358
862.126	247.071
864.966	188.664
867.092	140.393
868.658	104.229
869.818	78.685
870.695	61.263
871.381	49.615
871.942	41.927
872.420	36.926
872.845	33.748
873.237	31.841
873.611	30.830
873.975	30.474
874.338	30.617
874.706	31.149
875.083	31.979
875.473	33.057
875.878	34.335
876.302	35.768
876.746	37.316
877.212	38.945
877.701	40.620
878.213	42.303
878.748	43.957
879.307	45.551
879.889	47.054
880.491	48.434
881.114	49.673
881.755	50.758
882.411	51.686
883.081	52.456
883.764	53.087
884.456	53.606
885.157	54.043
885.866	54.431
886.581	54.816
