<j>	<Fwlc>
1077.411	12.123
1079.621	12.083
1081.788	12.045
1083.904	12.010
1085.958	11.976
1087.942	11.945
1089.845	11.918
1091.657	11.893
1093.367	11.872
1094.968	11.855
1096.453	11.842
1097.819	11.833
1099.068	11.829
1100.203	11.828
1101.230	11.831
1102.159	11.838
1102.998	11.848
1103.758	11.861
1104.451	11.877
1105.085	11.894
1105.671	11.914
1106.218	11.935
1106.732	11.957
1107.221	11.980
1107.690	12.005
1108.144	12.029
1108.586	12.055
1109.020	12.081
1109.448	12.107
1109.872	12.133
1110.292	12.160
1110.710	12.186
1111.127	12.213
1111.541	12.240
1111.953	12.268
1112.363	12.295
1112.769	12.323
1113.172	12.350
1113.571	12.379
1113.964	12.407
1114.352	12.435
1114.733	12.464
1115.107	12.494
1115.473	12.524
1115.832	12.554
1116.182	12.584
1116.523	12.615
1116.857	12.647
1117.181	12.679
1117.498	12.711
1117.807	12.744
1118.109	12.777
1118.405	12.811
1118.695	12.845
1118.982	12.879
1119.266	12.913
1119.550	12.948
1119.835	12.983
1120.125	13.018
1120.423	13.053
1120.733	13.087
1121.059	13.121
1121.409	13.154
1121.788	13.186
1122.207	13.217
1122.675	13.246
1123.204	13.273
1123.811	13.296
1124.510	13.316
1125.319	13.332
1126.258	13.342
1127.344	13.346
1128.590	13.343
1130.007	13.333
1131.591	13.315
1133.330	13.291
1135.197	13.261
1137.151	13.227
1139.143	13.191
1141.121	13.155
1143.034	13.121
1144.843	13.092
1146.522	13.067
1148.058	13.048
1149.450	13.036
1150.707	13.029
1151.845	13.027
1152.880	13.029
1153.832	13.036
1154.719	13.045
1155.557	13.056
1156.360	13.069
1157.141	13.083
1157.911	13.097
1158.678	13.112
1159.451	13.126
1160.236	13.141
1161.038	13.154
1161.861	13.167
1162.710	13.179
1163.586	13.189
1164.491	13.199
1165.424	13.207
1166.385	13.214
1167.373	13.221
1168.384	13.226
1169.414	13.230
1170.459	13.233
1171.513	13.236
1172.571	13.239
1173.627	13.242
1174.674	13.245
1175.707	13.248
1176.720	13.253
1177.708	13.258
1178.666	13.264
1179.590	13.272
1180.478	13.281
1181.327	13.292
1182.136	13.304
1182.906	13.318
1183.639	13.334
1184.336	13.351
1185.004	13.370
1185.649	13.389
1186.281	13.409
1186.914	13.430
1187.565	13.450
1188.258	13.469
1189.025	13.485
1189.909	13.497
1190.964	13.502
1192.262	13.499
1193.886	13.483
1195.927	13.452
1198.471	13.401
1201.570	13.328
1205.211	13.234
1209.291	13.123
1213.610	13.001
1217.915	12.879
1221.964	12.767
1225.583	12.671
1228.695	12.594
1231.310	12.536
1233.488	12.494
1235.311	12.467
1236.862	12.450
1238.210	12.440
1239.408	12.437
1240.495	12.438
1241.497	12.442
1242.433	12.448
1243.312	12.456
1244.143	12.467
1244.928	12.478
1245.670	12.492
1246.371	12.506
1247.031	12.522
1247.653	12.540
1248.235	12.559
1248.781	12.579
1249.292	12.601
1249.769	12.624
1250.214	12.648
1250.629	12.673
1251.015	12.699
1251.376	12.726
1251.712	12.755
1252.025	12.784
1252.317	12.814
1252.590	12.845
1252.846	12.877
1253.085	12.909
1253.310	12.942
1253.521	12.976
1253.720	13.011
1253.909	13.046
1254.089	13.081
1254.260	13.117
1254.424	13.153
1254.582	13.190
1254.736	13.228
1254.887	13.265
1255.036	13.303
1255.184	13.341
1255.334	13.379
1255.487	13.417
1255.645	13.455
1255.810	13.494
1255.985	13.531
1256.173	13.569
1256.378	13.606
1256.602	13.643
1256.852	13.679
1257.131	13.714
1257.447	13.747
1257.804	13.779
1258.212	13.809
1258.677	13.837
1259.208	13.863
1259.814	13.885
1260.502	13.904
1261.280	13.919
1262.155	13.931
1263.129	13.938
1264.204	13.941
1265.378	13.939
1266.647	13.934
1268.003	13.925
1269.440	13.912
1270.950	13.897
1272.531	13.878
1274.183	13.857
1275.911	13.832
1277.727	13.805
1279.644	13.773
1281.675	13.738
1283.825	13.698
1286.090	13.653
1288.451	13.605
1290.871	13.554
1293.299	13.503
1295.677	13.453
1297.946	13.408
1300.057	13.368
1301.977	13.335
1303.690	13.310
1305.196	13.293
1306.508	13.284
1307.648	13.281
1308.641	13.285
1309.513	13.293
1310.289	13.304
1310.990	13.319
1311.637	13.337
1312.244	13.355
1312.824	13.376
1313.388	13.396
1313.944	13.418
1314.500	13.439
1315.059	13.461
1315.628	13.482
1316.210	13.502
1316.810	13.523
1317.430	13.542
1318.076	13.561
1318.751	13.578
1319.463	13.594
1320.216	13.609
1321.018	13.622
1321.880	13.633
1322.811	13.641
1323.823	13.646
1324.929	13.648
1326.139	13.646
1327.464	13.639
1328.912	13.628
1330.482	13.612
1332.169	13.592
1333.957	13.567
1335.821	13.540
1337.728	13.510
1339.637	13.481
1341.509	13.452
1343.303	13.426
1344.990	13.403
1346.545	13.386
1347.957	13.373
1349.224	13.366
1350.349	13.364
1351.346	13.367
1352.227	13.375
1353.010	13.386
1353.710	13.401
1354.343	13.418
1354.923	13.437
1355.463	13.458
1355.973	13.480
1356.462	13.504
1356.939	13.527
1357.409	13.552
1357.878	13.576
1358.350	13.600
1358.827	13.624
1359.313	13.648
1359.808	13.672
1360.314	13.695
1360.832	13.718
1361.361	13.741
1361.901	13.763
1362.451	13.785
1363.012	13.806
1363.581	13.827
1364.159	13.848
1364.745	13.869
1365.338	13.889
1365.938	13.909
1366.545	13.929
1367.160	13.949
1367.785	13.968
1368.422	13.987
1369.073	14.005
1369.743	14.023
1370.436	14.040
1371.158	14.055
1371.917	14.070
1372.720	14.082
1373.576	14.093
1374.494	14.102
1375.482	14.107
1376.549	14.110
1377.700	14.109
1378.937	14.105
1380.260	14.098
1381.659	14.087
1383.122	14.074
1384.630	14.059
1386.159	14.042
1387.681	14.026
1389.169	14.010
1390.598	13.997
1391.946	13.987
1393.198	13.980
1394.344	13.977
1395.384	13.979
1396.318	13.984
1397.153	13.994
1397.901	14.007
1398.573	14.023
1399.185	14.041
1399.750	14.062
1400.288	14.084
1400.820	14.107
1401.371	14.129
1401.977	14.150
1402.683	14.167
1403.556	14.179
1404.689	14.182
1406.211	14.172
1408.292	14.142
1411.142	14.085
1414.969	13.994
1419.909	13.863
1425.913	13.695
1432.657	13.501
1439.580	13.300
1446.069	13.113
1451.680	12.957
1456.247	12.836
1459.826	12.750
1462.592	12.693
1464.741	12.656
1466.440	12.635
1467.817	12.625
1468.962	12.622
1469.935	12.626
1470.777	12.633
1471.517	12.644
1472.172	12.658
1472.759	12.674
1473.287	12.692
1473.766	12.712
1474.204	12.732
1474.607	12.754
1474.982	12.777
1475.334	12.801
1475.669	12.826
1475.991	12.851
1476.306	12.876
1476.618	12.902
1476.933	12.928
