<j>	<Fwlc>
1035.951	13.907
1036.928	13.914
1037.961	13.920
1039.091	13.921
1040.373	13.915
1041.885	13.900
1043.728	13.869
1046.033	13.819
1048.947	13.741
1052.606	13.631
1057.080	13.485
1062.307	13.307
1068.049	13.107
1073.922	12.902
1079.519	12.711
1084.536	12.545
1088.838	12.411
1092.434	12.308
1095.417	12.231
1097.903	12.176
1100.001	12.136
1101.798	12.109
1103.359	12.091
1104.733	12.081
1105.953	12.076
1107.042	12.077
1108.021	12.082
1108.903	12.091
1109.700	12.102
1110.421	12.117
1111.074	12.134
1111.669	12.154
1112.210	12.175
1112.706	12.198
1113.161	12.223
1113.582	12.250
1113.972	12.277
1114.337	12.306
1114.680	12.336
1115.005	12.367
1115.315	12.398
1115.613	12.430
1115.902	12.462
1116.183	12.495
1116.459	12.528
1116.731	12.562
1117.001	12.596
1117.270	12.630
1117.539	12.664
1117.809	12.698
1118.080	12.732
1118.354	12.767
1118.629	12.801
1118.908	12.836
1119.189	12.870
1119.473	12.905
1119.761	12.940
1120.051	12.974
1120.344	13.009
1120.640	13.044
1120.938	13.078
1121.239	13.113
1121.542	13.148
1121.847	13.183
1122.154	13.218
1122.464	13.252
1122.776	13.287
1123.091	13.322
1123.410	13.357
1123.733	13.392
1124.061	13.427
1124.396	13.462
1124.739	13.497
1125.093	13.531
1125.460	13.565
1125.843	13.598
1126.245	13.630
1126.671	13.662
1127.125	13.693
1127.614	13.722
1128.145	13.749
1128.726	13.775
1129.366	13.797
1130.077	13.817
1130.874	13.833
1131.774	13.845
1132.795	13.851
1133.962	13.851
1135.301	13.843
1136.840	13.827
1138.608	13.801
1140.626	13.763
1142.905	13.715
1145.432	13.655
1148.169	13.586
1151.044	13.511
1153.961	13.433
1156.810	13.358
1159.490	13.290
1161.922	13.232
1164.057	13.186
1165.882	13.153
1167.408	13.133
1168.667	13.124
1169.694	13.125
1170.531	13.134
1171.215	13.150
1171.781	13.172
1172.256	13.197
1172.666	13.226
1173.031	13.256
1173.370	13.288
1173.699	13.321
1174.035	13.354
1174.395	13.387
1174.797	13.418
1175.264	13.446
1175.823	13.472
1176.509	13.492
1177.362	13.506
1178.433	13.512
1179.777	13.507
1181.451	13.489
1183.503	13.455
1185.957	13.405
1188.794	13.340
1191.943	13.261
1195.274	13.174
1198.622	13.085
1201.822	13.002
1204.740	12.929
1207.299	12.870
1209.477	12.826
1211.298	12.796
1212.809	12.778
1214.071	12.770
1215.139	12.771
1216.065	12.777
1216.893	12.787
1217.658	12.800
1218.389	12.815
1219.112	12.830
1219.848	12.845
1220.617	12.859
1221.437	12.872
1222.327	12.882
1223.303	12.889
1224.383	12.893
1225.581	12.892
1226.907	12.887
1228.368	12.876
1229.961	12.861
1231.677	12.841
1233.494	12.817
1235.384	12.791
1237.309	12.762
1239.228	12.734
1241.099	12.707
1242.885	12.682
1244.557	12.662
1246.095	12.646
1247.490	12.635
1248.738	12.629
1249.846	12.628
1250.824	12.633
1251.684	12.641
1252.440	12.653
1253.106	12.669
1253.697	12.687
1254.224	12.708
1254.699	12.731
1255.132	12.756
1255.533	12.782
1255.910	12.809
1256.271	12.836
1256.624	12.864
1256.977	12.893
1257.336	12.921
1257.710	12.949
1258.107	12.977
1258.535	13.003
1259.003	13.028
1259.519	13.052
1260.095	13.073
1260.739	13.093
1261.462	13.109
1262.271	13.122
1263.175	13.132
1264.178	13.138
1265.284	13.140
1266.491	13.138
1267.794	13.133
1269.186	13.124
1270.655	13.112
1272.191	13.098
1273.781	13.082
1275.415	13.064
1277.089	13.044
1278.800	13.023
1280.550	13.001
1282.344	12.978
1284.187	12.953
