<j>	var(j)
1.246	0.387
3.002	0.921
4.179	0.875
5.196	0.705
6.054	0.711
7.215	1.332
8.585	0.975
9.532	1.532
11.137	2.247
12.467	1.536
13.346	1.420
14.237	1.855
15.522	2.821
17.083	2.218
18.031	1.476
18.729	1.284
19.440	1.445
20.367	1.813
21.486	1.844
22.550	1.870
23.598	1.727
24.543	1.681
25.496	1.971
26.692	3.106
28.339	3.566
29.759	2.826
30.782	2.091
31.548	1.697
32.242	1.605
32.951	1.500
33.668	1.754
34.659	3.159
36.382	4.929
38.246	3.751
39.354	2.254
40.058	1.820
40.693	1.646
41.311	1.533
41.954	1.802
42.828	3.072
44.396	6.558
47.021	9.179
49.278	5.271
50.306	2.556
50.847	2.083
51.368	2.686
52.136	4.268
53.392	6.135
54.975	5.628
56.180	3.194
56.831	1.790
57.242	1.473
57.644	1.710
58.184	2.470
59.043	3.985
60.413	5.858
62.128	5.995
63.566	4.223
64.501	2.795
65.151	2.202
65.716	2.118
66.315	2.367
67.037	2.875
67.946	3.613
69.090	4.820
70.581	6.850
72.480	8.304
74.343	6.766
75.630	4.489
76.493	4.392
77.473	7.979
79.355	17.198
82.678	24.597
85.950	17.998
87.839	10.212
88.864	6.416
89.525	4.486
90.007	3.402
90.395	2.836
90.742	2.622
91.088	2.673
91.469	2.953
91.919	3.441
92.476	4.087
93.164	4.760
93.977	5.266
94.877	5.497
95.812	5.583
96.766	5.832
97.775	6.550
98.919	7.879
100.275	9.604
101.845	11.156
103.539	12.081
105.236	12.203
106.832	11.306
108.221	9.409
109.327	7.104
110.148	5.143
110.755	3.951
111.248	3.634
111.742	4.248
112.371	5.998
113.303	9.142
114.711	13.166
116.582	15.679
118.546	14.469
120.167	10.951
121.324	7.573
122.117	5.169
122.670	3.688
123.085	2.935
123.439	2.768
123.804	3.159
124.257	4.260
124.911	6.416
125.927	9.863
127.442	13.573
129.326	14.666
131.114	12.250
132.486	9.408
133.537	8.627
134.555	10.840
135.900	17.228
138.002	28.217
141.060	37.490
144.396	34.457
146.953	23.237
148.521	14.266
149.469	9.732
150.136	8.081
150.717	7.982
151.315	8.719
151.990	9.871
152.768	11.069
153.647	11.917
154.591	12.093
155.543	11.562
156.447	10.673
157.284	10.002
158.082	10.102
158.909	11.369
159.864	13.943
161.045	17.444
162.496	20.577
164.133	21.423
165.741	19.087
167.100	14.794
168.120	10.531
168.843	7.366
169.359	5.379
169.750	4.279
170.076	3.778
170.380	3.684
170.692	3.897
171.039	4.380
171.447	5.161
171.947	6.384
172.587	8.468
173.465	12.482
174.788	20.594
176.933	34.913
180.220	50.538
184.168	52.486
187.537	39.391
189.773	25.677
191.169	17.207
192.106	12.507
192.798	9.741
193.351	8.003
193.817	6.912
194.232	6.273
194.621	5.951
195.003	5.836
195.390	5.836
195.788	5.881
196.201	5.938
196.628	6.026
197.074	6.252
197.552	6.857
198.096	8.303
198.783	11.380
199.758	17.173
201.234	26.217
203.389	36.000
206.070	39.969
208.703	35.040
210.798	26.918
212.340	21.471
213.572	19.643
214.717	20.068
215.892	21.205
217.124	21.825
218.371	21.192
219.557	19.253
220.618	16.586
221.525	14.006
222.295	12.192
222.978	11.607
223.648	12.662
224.406	15.911
225.384	22.063
226.751	31.382
228.651	42.075
231.055	49.016
233.631	47.046
235.903	37.360
237.598	26.156
238.750	17.743
239.533	12.749
240.109	10.239
240.586	9.250
241.033	9.185
241.490	9.748
241.989	10.823
242.555	12.375
243.215	14.383
243.992	16.775
244.904	19.371
245.955	21.859
247.132	23.845
248.398	25.021
249.704	25.338
251.005	25.064
252.275	24.637
253.513	24.455
254.734	24.736
255.964	25.502
257.225	26.615
258.530	27.808
259.878	28.681
261.247	28.765
262.596	27.669
263.871	25.293
265.018	21.929
266.001	18.141
266.810	14.515
267.460	11.452
267.979	9.119
268.400	7.513
268.757	6.547
269.077	6.118
269.388	6.152
269.711	6.611
270.070	7.514
270.491	8.955
271.005	11.126
271.660	14.369
272.519	19.172
273.673	25.988
275.219	34.587
277.210	42.989
279.545	47.438
281.943	45.299
284.081	38.278
285.806	30.784
287.167	25.958
288.324	24.535
289.435	25.845
290.618	28.699
291.926	31.761
293.353	33.838
294.840	34.305
296.313	33.363
297.720	31.786
299.043	30.306
300.296	29.180
301.495	28.167
302.647	26.806
303.734	24.762
304.731	22.019
305.613	18.871
306.368	15.740
307.000	12.989
307.527	10.824
307.974	9.302
308.367	8.377
308.731	7.965
309.086	7.972
309.451	8.309
309.841	8.899
310.268	9.657
310.739	10.489
311.258	11.280
311.822	11.905
312.422	12.241
313.042	12.205
313.662	11.777
314.264	11.017
314.829	10.045
315.349	9.010
315.820	8.052
316.249	7.278
316.645	6.764
317.022	6.564
317.400	6.747
317.801	7.436
318.259	8.895
318.827	11.673
319.599	16.834
320.737	26.109
322.499	41.095
325.145	59.647
328.624	71.606
332.281	66.805
335.301	50.138
337.400	33.610
338.765	22.316
339.672	15.593
340.318	11.695
340.814	9.411
341.224	8.103
341.587	7.475
341.933	7.421
342.289	7.970
342.683	9.275
343.158	11.655
343.771	15.643
344.612	22.039
345.806	31.789
347.509	45.406
349.858	61.663
352.857	76.383
356.276	83.928
359.714	81.669
362.805	71.942
365.367	59.241
367.392	47.173
368.969	37.628
370.217	31.151
371.255	27.523
372.183	26.226
373.080	26.710
374.003	28.463
374.993	30.999
376.074	33.802
377.247	36.292
378.496	37.892
379.785	38.152
381.066	36.903
382.290	34.322
383.416	30.863
384.421	27.081
385.301	23.460
386.065	20.328
386.732	17.847
387.324	16.056
387.864	14.921
388.374	14.371
388.874	14.327
389.380	14.701
389.909	15.403
390.469	16.335
391.071	17.391
391.717	18.462
392.407	19.441
393.137	20.246
393.900	20.830
394.687	21.198
395.490	21.402
396.303	21.527
397.124	21.670
397.954	21.920
398.797	22.343
399.661	22.987
400.553	23.886
401.484	25.109
402.465	26.790
403.515	29.199
404.663	32.789
405.953	38.184
407.454	45.964
409.242	56.105
411.378	67.048
413.836	75.258
416.461	76.608
418.989	69.588
421.172	56.826
422.889	42.832
424.154	30.897
425.061	22.135
425.714	16.274
426.201	12.577
426.586	10.346
426.910	9.071
427.202	8.424
427.479	8.223
427.756	8.391
428.045	8.941
428.361	9.986
428.722	11.785
429.158	14.840
429.721	20.074
430.500	29.093
431.645	44.356
433.387	68.558
436.010	101.528
439.670	134.394
444.093	149.419
448.521	136.640
452.212	106.892
454.925	77.562
456.836	56.795
458.227	44.470
459.323	37.986
460.271	35.076
461.155	34.285
462.028	34.750
462.918	35.926
463.842	37.430
464.806	38.940
465.808	40.177
466.841	40.901
467.889	40.934
468.934	40.185
469.957	38.667
470.938	36.484
471.861	33.810
472.716	30.856
473.497	27.828
474.203	24.912
474.839	22.252
475.410	19.957
475.927	18.105
476.402	16.754
476.847	15.959
477.277	15.785
477.710	16.323
478.166	17.695
478.669	20.062
479.248	23.618
479.939	28.549
480.780	34.941
481.813	42.629
483.069	51.008
484.554	58.897
486.238	64.692
488.046	66.938
489.869	65.080
491.597	59.824
493.154	52.796
494.509	45.763
495.676	40.050
496.699	36.385
497.636	35.051
498.550	36.091
499.502	39.417
500.550	44.779
501.744	51.651
503.115	59.055
504.667	65.545
506.360	69.486
508.118	69.658
509.841	65.866
511.437	59.066
512.845	50.885
514.044	42.893
515.051	36.135
515.901	31.057
516.638	27.665
517.301	25.736
517.925	24.983
518.540	25.135
519.165	25.973
519.817	27.335
520.509	29.118
521.250	31.268
522.051	33.780
522.919	36.682
523.864	40.031
524.897	43.890
526.028	48.315
527.271	53.302
528.635	58.751
530.127	64.406
531.745	69.821
533.476	74.358
535.290	77.289
537.141	77.961
538.974	76.018
540.728	71.552
542.351	65.100
543.807	57.476
545.080	49.541
546.169	42.010
547.091	35.354
547.867	29.817
548.525	25.460
549.092	22.244
549.592	20.073
550.051	18.850
550.487	18.484
550.923	18.906
551.375	20.060
551.861	21.891
552.398	24.328
553.001	27.259
553.681	30.500
554.444	33.783
555.291	36.752
556.210	39.003
557.181	40.166
558.176	39.999
559.161	38.468
560.102	35.764
560.974	32.250
561.757	28.359
562.446	24.493
563.042	20.953
563.555	17.923
563.998	15.486
564.385	13.653
564.731	12.398
565.051	11.690
565.358	11.507
565.667	11.858
565.991	12.790
566.347	14.412
566.757	16.915
567.245	20.598
567.849	25.915
568.617	33.503
569.617	44.151
570.936	58.597
572.671	76.951
574.903	97.676
577.641	116.660
580.764	127.944
584.011	127.052
587.067	114.516
589.699	95.455
591.822	75.796
593.475	59.314
594.760	47.293
595.787	39.536
596.655	35.324
597.442	33.916
598.209	34.716
599.004	37.269
599.866	41.200
600.823	46.134
601.896	51.633
603.093	57.163
604.409	62.119
605.827	65.920
607.315	68.155
608.835	68.705
610.349	67.807
611.827	65.971
613.253	63.841
614.625	62.032
615.953	61.001
617.255	60.999
618.556	62.051
619.876	63.964
621.233	66.358
622.633	68.699
624.073	70.390
625.536	70.882
626.994	69.806
628.416	67.066
629.768	62.870
631.026	57.654
632.171	51.963
633.200	46.323
634.116	41.160
634.931	36.761
635.662	33.286
636.328	30.811
636.951	29.353
637.550	28.909
638.147	29.489
638.762	31.120
639.418	33.871
640.139	37.859
640.951	43.256
641.883	50.290
642.969	59.222
644.248	70.281
645.759	83.528
647.539	98.613
649.610	114.486
651.968	129.219
654.562	140.213
657.296	144.981
660.036	142.272
662.644	132.741
665.014	118.643
667.086	102.792
668.853	87.536
670.343	74.278
671.601	63.523
672.676	55.193
673.613	48.913
674.446	44.234
675.203	40.743
675.905	38.113
676.566	36.116
677.195	34.614
677.802	33.551
678.395	32.935
678.980	32.837
679.569	33.379
680.172	34.739
680.805	37.149
681.487	40.894
682.245	46.303
683.109	53.714
684.115	63.394
685.304	75.392
686.714	89.322
688.371	104.129
690.279	117.977
692.404	128.466
694.669	133.303
696.965	131.233
699.174	122.629
701.195	109.335
702.965	93.857
704.466	78.461
705.710	64.657
706.733	53.154
707.573	44.070
708.274	37.200
708.869	32.212
709.389	28.779
709.858	26.624
710.298	25.539
710.724	25.384
711.153	26.072
711.599	27.553
712.075	29.804
712.594	32.809
713.171	36.529
713.817	40.889
714.543	45.740
715.358	50.846
716.264	55.864
717.258	60.366
718.329	63.884
719.457	65.978
720.616	66.350
721.774	64.903
722.900	61.782
723.965	57.336
724.950	52.031
725.841	46.354
726.634	40.727
727.331	35.459
727.940	30.737
728.470	26.647
728.933	23.197
729.338	20.348
729.697	18.036
730.018	16.196
730.309	14.769
730.578	13.709
730.830	12.996
731.073	12.635
731.312	12.674
731.555	13.221
731.813	14.491
732.102	16.868
732.444	21.041
732.880	28.216
733.477	40.456
734.344	61.139
735.664	95.202
737.710	148.157
740.827	221.533
745.288	303.392
750.994	362.288
757.251	365.113
763.034	311.252
767.624	233.321
770.904	163.029
773.138	112.509
774.667	80.214
775.761	60.604
776.594	48.827
777.273	41.649
777.858	37.142
778.385	34.210
778.874	32.237
779.339	30.868
779.788	29.892
780.226	29.179
780.656	28.641
781.082	28.226
781.504	27.894
781.924	27.622
782.342	27.396
782.760	27.204
783.177	27.048
783.596	26.932
784.015	26.865
784.435	26.865
784.858	26.956
785.286	27.165
785.721	27.537
786.164	28.127
786.621	29.015
787.095	30.318
787.594	32.211
788.130	34.967
788.716	39.022
789.376	45.088
790.146	54.336
791.081	68.674
792.272	91.106
793.858	125.989
796.041	178.623
799.092	252.814
803.283	344.741
808.730	435.217
815.175	490.859
821.919	485.451
828.120	424.101
833.219	337.585
837.106	255.472
839.969	191.563
842.086	146.899
843.701	117.380
844.992	98.358
846.077	86.202
847.031	78.448
847.904	73.516
848.725	70.425
849.514	68.525
850.285	67.408
851.045	66.787
851.801	66.473
852.556	66.314
853.310	66.208
854.065	66.075
854.821	65.873
855.576	65.562
856.329	65.134
857.079	64.590
857.824	63.957
858.564	63.254
859.298	62.513
860.024	61.774
860.744	61.070
861.458	60.432
862.167	59.882
862.871	59.436
863.572	59.104
864.272	58.887
864.970	58.765
865.670	58.724
866.371	58.751
867.075	58.823
867.782	58.912
868.492	59.010
869.205	59.108
869.921	59.211
870.640	59.329
871.363	59.485
872.090	59.726
872.822	60.091
873.560	60.627
874.308	61.393
875.066	62.440
875.840	63.810
876.633	65.513
877.450	67.556
878.293	69.912
879.168	72.499
880.076	75.202
881.019	77.879
881.996	80.351
883.003	82.417
884.035	83.875
885.085	84.571
886.141	84.393
887.193	83.298
888.230	81.336
889.240	78.646
890.216	75.416
891.152	71.883
892.044	68.320
