<j>	var(j)
1.246	0.387
3.002	0.921
4.179	0.875
5.196	0.705
6.054	0.711
7.215	1.332
8.585	0.975
9.532	1.532
11.137	2.247
12.467	1.536
13.346	1.420
14.237	1.855
15.522	2.821
17.083	2.218
18.031	1.476
18.729	1.284
19.440	1.445
20.367	1.813
21.486	1.844
22.550	1.870
23.598	1.727
24.543	1.681
25.496	1.971
26.692	3.106
28.339	3.566
29.759	2.826
30.782	2.091
31.548	1.697
32.242	1.605
32.951	1.500
33.668	1.754
34.659	3.159
36.382	4.929
38.246	3.751
39.354	2.254
40.058	1.820
40.693	1.646
41.311	1.533
41.954	1.802
42.828	3.072
44.396	6.558
47.021	9.179
49.278	5.271
50.306	2.556
50.847	2.083
51.368	2.686
52.136	4.268
53.392	6.135
54.975	5.628
56.180	3.194
56.831	1.790
57.242	1.473
57.644	1.710
58.184	2.470
59.043	3.985
60.413	5.858
62.128	5.995
63.566	4.223
64.501	2.795
65.151	2.202
65.716	2.118
66.315	2.367
67.037	2.875
67.946	3.613
69.090	4.820
70.581	6.850
72.480	8.304
74.343	6.766
75.630	4.489
76.493	4.392
77.473	7.979
79.355	17.198
82.678	24.597
85.950	17.998
87.839	10.212
88.864	6.416
89.525	4.486
90.007	3.402
90.395	2.836
90.742	2.622
91.088	2.673
91.469	2.953
91.919	3.441
92.476	4.087
93.164	4.760
93.977	5.266
94.877	5.497
95.812	5.583
96.766	5.832
97.775	6.550
98.919	7.879
100.275	9.604
101.845	11.156
103.539	12.081
105.236	12.203
106.832	11.306
108.221	9.409
109.327	7.104
110.148	5.143
110.755	3.951
111.248	3.634
111.742	4.248
112.371	5.998
113.303	9.142
114.711	13.166
116.582	15.679
118.546	14.469
120.167	10.951
121.324	7.573
122.117	5.169
122.670	3.688
123.085	2.935
123.439	2.768
123.804	3.159
124.257	4.260
124.911	6.416
125.927	9.863
127.442	13.573
129.326	14.666
131.114	12.250
132.486	9.408
133.537	8.627
134.555	10.840
135.900	17.228
138.002	28.217
141.060	37.490
144.396	34.457
146.953	23.237
148.521	14.266
149.469	9.732
150.136	8.081
150.717	7.982
151.315	8.719
151.990	9.871
152.768	11.069
153.647	11.917
154.591	12.093
155.543	11.562
156.447	10.673
157.284	10.002
158.082	10.102
158.909	11.369
159.864	13.943
161.045	17.444
162.496	20.577
164.133	21.423
165.741	19.087
167.100	14.794
168.120	10.531
168.843	7.366
169.359	5.379
169.750	4.279
170.076	3.778
170.380	3.684
170.692	3.897
171.039	4.380
171.447	5.161
171.947	6.384
172.587	8.468
173.465	12.482
174.788	20.594
176.933	34.913
180.220	50.538
184.168	52.486
187.537	39.391
189.773	25.677
191.169	17.207
192.106	12.507
192.798	9.741
193.351	8.003
193.817	6.912
194.232	6.273
194.621	5.951
195.003	5.836
195.390	5.836
195.788	5.881
196.201	5.938
196.628	6.026
197.074	6.252
197.552	6.857
198.096	8.303
198.783	11.380
199.758	17.173
201.234	26.217
203.389	36.000
206.070	39.969
208.703	35.040
210.798	26.918
212.340	21.471
213.572	19.643
214.717	20.068
215.892	21.205
217.124	21.825
218.371	21.192
219.557	19.253
220.618	16.586
221.525	14.006
222.295	12.192
222.978	11.607
223.648	12.662
224.406	15.911
225.384	22.063
226.751	31.382
228.651	42.075
231.055	49.016
233.631	47.046
235.903	37.360
237.598	26.156
238.750	17.743
239.533	12.749
240.109	10.239
240.586	9.250
241.033	9.185
241.490	9.748
241.989	10.823
242.555	12.375
243.215	14.383
243.992	16.775
244.904	19.371
245.955	21.859
247.132	23.845
248.398	25.021
249.704	25.338
251.005	25.064
252.275	24.637
253.513	24.455
254.734	24.736
255.964	25.502
257.225	26.615
258.530	27.808
259.878	28.681
261.247	28.765
262.596	27.669
263.871	25.293
265.018	21.929
266.001	18.141
266.810	14.515
267.460	11.452
267.979	9.119
268.400	7.513
268.757	6.547
269.077	6.118
269.388	6.152
269.711	6.611
270.070	7.514
270.491	8.955
271.005	11.126
271.660	14.369
272.519	19.172
273.673	25.988
275.219	34.587
277.210	42.989
279.545	47.438
281.943	45.299
284.081	38.278
285.806	30.784
287.167	25.958
288.324	24.535
289.435	25.845
290.618	28.699
291.926	31.761
293.353	33.838
294.840	34.305
296.313	33.363
297.720	31.786
299.043	30.306
300.296	29.180
301.495	28.167
302.647	26.806
303.734	24.762
304.731	22.019
305.613	18.871
306.368	15.740
307.000	12.989
307.527	10.824
307.974	9.302
308.367	8.377
308.731	7.965
309.086	7.972
309.451	8.309
309.841	8.899
310.268	9.657
310.739	10.489
311.258	11.280
311.822	11.905
312.422	12.241
313.042	12.205
313.662	11.777
314.264	11.016
314.829	10.043
315.348	9.007
315.820	8.045
316.248	7.263
316.643	6.729
317.018	6.487
317.390	6.573
317.779	7.040
318.209	7.991
318.712	9.625
319.336	12.299
320.150	16.629
321.267	23.531
322.844	33.978
325.054	47.884
327.979	62.108
331.430	70.475
334.948	69.112
338.087	60.825
340.671	51.384
342.775	44.588
344.573	41.562
346.240	41.859
347.910	44.209
349.650	46.861
351.452	48.014
353.246	46.536
354.935	42.490
356.439	36.956
357.725	31.262
358.804	26.322
359.713	22.477
360.495	19.662
361.185	17.643
361.812	16.171
362.393	15.057
362.942	14.179
363.464	13.475
363.968	12.922
364.457	12.520
364.938	12.282
365.417	12.224
365.901	12.371
366.399	12.755
366.921	13.422
367.478	14.439
368.086	15.897
368.765	17.906
369.538	20.572
370.433	23.966
371.479	28.038
372.698	32.556
374.098	37.070
375.664	41.017
377.359	43.975
379.132	45.893
380.938	47.122
382.752	48.144
384.569	49.227
386.391	50.273
388.214	50.893
390.020	50.659
391.778	49.332
393.455	46.961
395.022	43.810
396.462	40.225
397.770	36.525
398.949	32.959
400.009	29.712
400.964	26.913
401.831	24.654
402.630	22.997
403.381	21.974
404.106	21.602
404.827	21.867
405.564	22.737
406.338	24.141
407.166	25.964
408.060	28.041
409.028	30.178
410.067	32.193
411.173	33.986
412.333	35.601
413.543	37.255
414.804	39.278
416.126	41.975
417.532	45.443
419.042	49.381
420.662	53.026
422.371	55.300
424.115	55.255
425.817	52.551
427.400	47.678
428.810	41.668
430.028	35.599
431.063	30.217
431.941	25.839
432.697	22.474
433.359	19.963
433.954	18.108
434.500	16.728
435.011	15.691
435.495	14.908
435.962	14.327
436.416	13.926
436.863	13.700
437.308	13.661
437.759	13.830
438.222	14.242
438.705	14.946
439.219	16.009
439.778	17.519
440.397	19.583
441.097	22.318
441.902	25.832
442.838	30.177
443.932	35.292
445.206	40.940
446.669	46.680
448.310	51.938
450.098	56.172
451.988	59.054
453.927	60.537
455.868	60.745
457.773	59.814
459.609	57.810
461.349	54.789
462.970	50.893
464.454	46.384
465.790	41.619
466.980	36.937
468.031	32.595
468.958	28.748
469.777	25.454
470.506	22.713
471.161	20.492
471.758	18.747
472.309	17.435
472.827	16.525
473.325	15.994
473.813	15.837
474.304	16.065
474.808	16.710
475.340	17.826
475.916	19.492
476.553	21.812
477.273	24.898
478.101	28.852
479.066	33.724
480.193	39.446
481.505	45.771
483.011	52.239
484.703	58.228
486.551	63.097
488.508	66.364
490.515	67.822
492.518	67.516
494.466	65.632
496.320	62.410
498.051	58.139
499.637	53.162
501.070	47.864
502.347	42.612
503.478	37.712
504.477	33.365
505.361	29.678
506.151	26.685
506.866	24.384
507.524	22.760
508.145	21.805
508.747	21.527
509.349	21.960
509.970	23.154
510.634	25.169
511.363	28.050
512.182	31.789
513.114	36.273
514.178	41.223
515.383	46.171
516.720	50.512
518.165	53.666
519.679	55.298
521.215	55.499
522.736	54.785
524.221	53.916
525.671	53.631
527.106	54.462
528.558	56.653
530.063	60.184
531.651	64.851
533.347	70.345
535.163	76.320
537.104	82.406
539.163	88.157
541.322	92.967
543.548	96.059
545.795	96.633
548.000	94.166
550.099	88.706
552.034	80.948
553.768	72.001
555.291	63.032
556.612	54.957
557.760	48.325
558.769	43.338
559.678	39.966
560.522	38.040
561.330	37.337
562.129	37.613
562.940	38.628
563.776	40.134
564.649	41.887
565.561	43.642
566.512	45.171
567.495	46.284
568.501	46.856
569.518	46.848
570.532	46.318
571.532	45.406
572.513	44.314
573.469	43.267
574.404	42.476
575.324	42.111
576.238	42.283
577.159	43.031
578.100	44.321
579.071	46.034
580.080	47.980
581.132	49.908
582.224	51.530
583.349	52.574
584.491	52.833
585.634	52.217
586.758	50.774
587.846	48.686
588.886	46.223
589.872	43.689
590.803	41.372
591.687	39.497
592.534	38.218
593.358	37.614
594.173	37.695
594.994	38.419
595.835	39.691
596.707	41.378
597.619	43.310
598.575	45.290
599.574	47.112
600.612	48.577
601.679	49.526
602.764	49.862
603.853	49.562
604.931	48.685
605.986	47.346
607.011	45.700
607.998	43.913
608.947	42.135
609.857	40.493
610.734	39.084
611.583	37.978
612.410	37.223
613.225	36.855
614.035	36.890
614.849	37.329
615.676	38.154
616.525	39.322
617.403	40.769
618.315	42.410
619.265	44.159
620.254	45.946
621.284	47.759
622.352	49.675
623.463	51.873
624.621	54.633
625.840	58.291
627.138	63.134
628.542	69.263
630.073	76.423
631.749	83.853
633.565	90.296
635.489	94.260
637.458	94.515
639.393	90.644
641.211	83.249
642.853	73.696
644.287	63.548
645.514	54.075
646.555	46.029
647.441	39.688
648.209	35.010
648.892	31.794
649.519	29.794
650.111	28.788
650.690	28.599
651.270	29.099
651.867	30.202
652.490	31.847
653.153	33.984
653.864	36.550
654.633	39.456
655.465	42.568
656.364	45.697
657.329	48.610
658.354	51.049
659.426	52.772
660.530	53.600
661.646	53.470
662.754	52.446
663.836	50.717
664.879	48.558
665.876	46.269
666.825	44.125
667.732	42.347
668.604	41.082
669.454	40.406
670.294	40.342
671.136	40.876
671.992	41.986
672.876	43.654
673.798	45.896
674.769	48.769
675.804	52.386
676.916	56.896
678.123	62.453
679.446	69.129
680.904	76.802
682.513	85.036
684.276	92.986
686.177	99.476
688.175	103.253
690.211	103.426
692.210	99.844
694.104	93.192
695.844	84.735
697.407	75.868
698.795	67.726
700.030	61.013
701.142	56.016
702.166	52.717
703.133	50.921
704.072	50.343
705.004	50.669
705.944	51.592
706.904	52.815
707.888	54.071
708.894	55.132
709.919	55.819
710.955	56.020
711.992	55.691
713.021	54.854
714.033	53.590
715.020	52.017
715.977	50.281
716.903	48.514
717.796	46.846
718.661	45.381
719.500	44.196
720.320	43.344
721.126	42.858
721.927	42.742
722.728	42.983
723.538	43.547
724.360	44.379
725.200	45.404
726.062	46.526
726.946	47.655
727.853	48.703
728.780	49.606
729.725	50.343
730.683	50.951
731.653	51.524
732.633	52.217
733.628	53.225
734.643	54.756
735.689	56.990
736.779	60.042
737.927	63.901
739.148	68.400
740.452	73.195
741.841	77.764
743.305	81.477
744.826	83.726
746.373	84.069
747.909	82.362
749.398	78.808
750.809	73.874
752.121	68.162
753.326	62.263
754.422	56.650
755.419	51.634
756.328	47.370
757.164	43.898
757.943	41.190
758.677	39.185
759.379	37.810
760.060	37.000
760.731	36.704
761.400	36.886
762.077	37.526
762.770	38.617
763.486	40.158
764.235	42.163
765.025	44.646
765.864	47.620
766.761	51.096
767.725	55.063
768.765	59.480
769.888	64.249
771.097	69.202
772.395	74.078
773.777	78.530
775.231	82.146
776.740	84.504
778.276	85.272
779.812	84.288
781.314	81.600
782.756	77.489
784.113	72.385
785.373	66.792
786.531	61.201
787.589	56.007
788.557	51.481
789.449	47.777
790.279	44.958
791.064	43.016
791.819	41.891
792.559	41.497
793.296	41.741
794.041	42.530
794.804	43.775
795.593	45.396
796.413	47.328
797.271	49.525
798.170	51.964
799.114	54.636
800.107	57.558
801.154	60.758
802.259	64.276
803.425	68.138
804.659	72.339
805.966	76.817
807.347	81.439
808.805	86.000
810.333	90.197
811.923	93.700
813.560	96.220
815.226	97.575
816.898	97.751
818.557	96.919
820.187	95.431
821.780	93.719
823.334	92.197
824.855	91.169
826.352	90.754
827.835	90.872
829.315	91.253
830.792	91.456
832.264	91.033
833.719	89.564
835.141	86.788
836.509	82.659
837.803	77.357
839.007	71.226
840.111	64.694
841.111	58.191
842.009	52.071
842.813	46.581
843.535	41.863
844.186	37.972
844.780	34.887
845.330	32.553
845.846	30.896
846.340	29.830
846.821	29.281
847.298	29.185
847.776	29.496
848.263	30.187
848.765	31.256
849.289	32.736
849.842	34.689
850.431	37.236
851.068	40.553
851.766	44.887
852.543	50.566
853.422	57.999
854.435	67.632
855.619	79.863
857.014	94.921
858.665	112.589
860.604	131.951
862.843	151.268
865.362	168.166
868.097	180.272
