<j>	var(j)
1.246	0.387
3.002	0.921
4.179	0.875
5.196	0.705
6.054	0.711
7.215	1.332
8.585	0.975
9.532	1.532
11.137	2.247
12.467	1.536
13.346	1.420
14.237	1.855
15.522	2.821
17.083	2.218
18.031	1.476
18.729	1.284
19.440	1.445
20.367	1.813
21.486	1.844
22.550	1.870
23.598	1.727
24.543	1.681
25.496	1.971
26.692	3.106
28.339	3.566
29.759	2.826
30.782	2.091
31.548	1.697
32.242	1.605
32.951	1.500
33.668	1.754
34.659	3.159
36.382	4.929
38.246	3.751
39.354	2.254
40.058	1.820
40.693	1.646
41.311	1.533
41.954	1.802
42.828	3.072
44.396	6.558
47.021	9.179
49.278	5.271
50.306	2.556
50.847	2.083
51.368	2.686
52.136	4.268
53.392	6.135
54.975	5.628
56.180	3.194
56.831	1.790
57.242	1.473
57.644	1.710
58.184	2.470
59.043	3.985
60.413	5.858
62.128	5.995
63.566	4.223
64.501	2.795
65.151	2.202
65.716	2.118
66.315	2.367
67.037	2.875
67.946	3.613
69.090	4.820
70.581	6.850
72.480	8.304
74.343	6.766
75.630	4.489
76.493	4.392
77.473	7.979
79.355	17.198
82.678	24.597
85.950	17.998
87.839	10.212
88.864	6.416
89.525	4.486
90.007	3.402
90.395	2.836
90.742	2.622
91.088	2.673
91.469	2.953
91.919	3.441
92.476	4.087
93.164	4.760
93.977	5.266
94.877	5.497
95.812	5.583
96.766	5.832
97.775	6.550
98.919	7.879
100.275	9.604
101.845	11.156
103.539	12.081
105.236	12.203
106.832	11.306
108.221	9.409
109.327	7.104
110.148	5.143
110.755	3.951
111.248	3.634
111.742	4.248
112.371	5.998
113.303	9.142
114.711	13.166
116.582	15.679
118.546	14.469
120.167	10.951
121.324	7.573
122.117	5.169
122.670	3.688
123.085	2.935
123.439	2.768
123.804	3.159
124.257	4.260
124.911	6.416
125.927	9.863
127.442	13.573
129.326	14.666
131.114	12.250
132.486	9.408
133.537	8.627
134.555	10.840
135.900	17.228
138.002	28.217
141.060	37.490
144.396	34.457
146.953	23.237
148.521	14.266
149.469	9.732
150.136	8.081
150.717	7.982
151.315	8.719
151.990	9.871
152.768	11.069
153.647	11.917
154.591	12.093
155.543	11.562
156.447	10.673
157.284	10.002
158.082	10.102
158.909	11.369
159.864	13.943
161.045	17.444
162.496	20.577
164.133	21.423
165.741	19.087
167.100	14.794
168.120	10.531
168.843	7.366
169.359	5.379
169.750	4.279
170.076	3.778
170.380	3.684
170.692	3.897
171.039	4.380
171.447	5.161
171.947	6.384
172.587	8.468
173.465	12.482
174.788	20.594
176.933	34.913
180.220	50.538
184.168	52.486
187.537	39.391
189.773	25.677
191.169	17.207
192.106	12.507
192.798	9.741
193.351	8.003
193.817	6.912
194.232	6.273
194.621	5.951
195.003	5.836
195.390	5.836
195.788	5.881
196.201	5.938
196.628	6.026
197.074	6.252
197.552	6.857
198.096	8.303
198.783	11.380
199.758	17.173
201.234	26.217
203.389	36.000
206.070	39.969
208.703	35.040
210.798	26.918
212.340	21.471
213.572	19.643
214.717	20.068
215.892	21.205
217.124	21.825
218.371	21.192
219.557	19.253
220.618	16.586
221.525	14.006
222.295	12.192
222.978	11.607
223.648	12.662
224.406	15.911
225.384	22.063
226.751	31.382
228.651	42.075
231.055	49.016
233.631	47.046
235.903	37.360
237.598	26.156
238.750	17.743
239.533	12.749
240.109	10.239
240.586	9.250
241.033	9.185
241.490	9.748
241.989	10.823
242.555	12.375
243.215	14.383
243.992	16.775
244.904	19.371
245.955	21.859
247.132	23.845
248.398	25.021
249.704	25.338
251.005	25.064
252.275	24.637
253.513	24.455
254.734	24.736
255.964	25.502
257.225	26.615
258.530	27.808
259.878	28.681
261.247	28.765
262.596	27.669
263.871	25.293
265.018	21.929
266.001	18.141
266.810	14.515
267.460	11.452
267.979	9.119
268.400	7.513
268.757	6.547
269.077	6.118
269.388	6.152
269.711	6.611
270.070	7.514
270.491	8.955
271.005	11.126
271.660	14.369
272.519	19.172
273.673	25.988
275.219	34.587
277.210	42.989
279.545	47.438
281.943	45.299
284.081	38.278
285.806	30.784
287.167	25.958
288.324	24.535
289.435	25.845
290.618	28.699
291.926	31.761
293.353	33.838
294.840	34.305
296.313	33.363
297.720	31.786
299.043	30.306
300.296	29.180
301.495	28.167
302.647	26.806
303.734	24.762
304.731	22.019
305.613	18.871
306.368	15.740
307.000	12.989
307.527	10.824
307.974	9.302
308.367	8.377
308.731	7.965
309.086	7.972
309.451	8.309
309.841	8.899
310.268	9.657
310.739	10.489
311.258	11.280
311.822	11.905
312.422	12.241
313.042	12.205
313.662	11.777
314.264	11.016
314.829	10.043
315.348	9.007
315.820	8.045
316.248	7.265
316.643	6.735
317.019	6.504
317.392	6.623
317.785	7.189
318.226	8.441
318.764	10.985
319.493	16.373
320.624	28.418
322.622	54.685
326.290	100.603
332.089	141.827
338.564	131.465
343.441	87.499
346.352	53.682
348.093	36.814
349.302	29.521
350.289	26.505
351.187	25.415
352.058	25.467
352.937	26.668
353.867	29.541
354.906	35.087
356.150	44.766
357.738	60.160
359.844	81.685
362.611	105.985
366.008	124.133
369.706	125.986
373.181	109.966
376.023	85.081
378.127	61.787
379.621	45.049
380.706	35.044
381.557	30.164
382.301	28.745
383.020	29.548
383.769	31.716
384.580	34.601
385.469	37.635
386.438	40.274
387.473	42.028
388.550	42.547
389.635	41.703
390.694	39.650
391.697	36.777
392.625	33.587
393.474	30.575
394.249	28.119
394.967	26.455
395.648	25.675
396.316	25.761
396.994	26.601
397.701	28.027
398.451	29.805
399.254	31.662
400.110	33.304
401.012	34.458
401.944	34.929
402.889	34.639
403.824	33.656
404.732	32.164
405.599	30.408
406.422	28.643
407.199	27.071
407.938	25.819
408.647	24.940
409.338	24.427
410.021	24.230
410.703	24.275
411.392	24.477
412.092	24.747
412.804	24.999
413.527	25.154
414.258	25.143
414.993	24.921
415.724	24.464
416.444	23.795
417.148	22.975
417.831	22.124
418.493	21.412
419.139	21.087
419.782	21.476
420.447	23.035
421.171	26.360
422.012	32.214
423.053	41.376
424.393	54.241
426.134	69.916
428.325	85.236
430.893	94.925
433.616	94.451
436.190	83.758
438.373	67.447
440.078	51.018
441.345	37.733
442.280	28.325
442.986	22.208
443.548	18.469
444.023	16.345
444.452	15.342
444.862	15.208
445.276	15.895
445.717	17.545
446.213	20.488
446.803	25.286
447.542	32.734
448.508	43.799
449.804	59.228
451.541	78.680
453.798	99.408
456.545	115.683
459.590	121.090
462.609	113.225
465.295	95.991
467.487	76.264
469.187	59.234
470.494	46.875
471.529	38.966
472.397	34.486
473.173	32.400
473.910	31.894
474.643	32.390
475.393	33.466
476.173	34.796
476.987	36.105
477.834	37.155
478.707	37.755
479.594	37.782
480.482	37.197
481.357	36.060
482.204	34.517
483.017	32.770
483.790	31.043
484.526	29.545
485.230	28.445
485.913	27.860
486.588	27.852
487.268	28.419
487.968	29.506
488.700	31.003
489.473	32.736
490.294	34.488
491.160	36.006
492.064	37.044
492.994	37.400
493.930	36.971
494.855	35.779
495.747	33.975
496.594	31.817
497.388	29.632
498.130	27.780
498.831	26.649
499.509	26.665
500.198	28.346
500.941	32.325
501.801	39.364
502.859	50.193
504.213	65.067
505.953	82.928
508.125	100.486
510.672	112.356
513.403	113.519
516.041	102.916
518.336	84.475
520.162	64.138
521.520	46.340
522.493	32.832
523.183	23.479
523.680	17.378
524.054	13.554
524.352	11.232
524.603	9.865
524.828	9.094
525.040	8.695
525.246	8.529
525.452	8.512
525.660	8.593
525.873	8.747
526.094	8.962
526.323	9.242
526.562	9.607
526.815	10.092
527.084	10.761
527.375	11.717
527.698	13.115
528.065	15.191
528.498	18.288
529.028	22.874
529.700	29.527
530.576	38.820
531.730	51.004
533.235	65.405
535.129	79.761
537.370	90.243
539.808	93.048
542.217	86.975
544.382	74.472
546.180	59.847
547.597	46.641
548.694	36.504
549.556	29.574
550.262	25.284
550.874	22.936
551.439	21.948
551.989	21.921
552.545	22.620
553.125	23.943
553.746	25.890
554.424	28.538
555.177	32.016
556.028	36.473
557.000	42.022
558.122	48.646
559.416	56.087
560.897	63.726
562.558	70.566
564.364	75.406
566.255	77.228
568.148	75.636
569.962	71.039
571.633	64.467
573.128	57.131
574.440	50.023
575.583	43.759
576.582	38.594
577.465	34.541
578.260	31.490
578.989	29.292
579.672	27.802
580.326	26.905
580.965	26.516
581.599	26.596
582.241	27.149
582.902	28.238
583.595	30.002
584.338	32.681
585.154	36.653
586.075	42.466
587.150	50.857
588.441	62.684
590.029	78.687
592.002	98.877
594.433	121.596
597.333	142.773
600.599	156.559
604.015	158.170
607.303	147.101
610.231	127.456
612.684	105.014
614.658	84.227
616.219	67.205
617.459	54.303
618.461	45.028
619.296	38.666
620.020	34.560
620.672	32.202
621.287	31.230
621.890	31.401
622.503	32.559
623.144	34.609
623.831	37.494
624.580	41.175
625.407	45.613
626.325	50.745
627.348	56.471
628.485	62.638
629.742	69.041
631.120	75.428
632.615	81.528
634.216	87.082
635.908	91.858
637.672	95.672
639.487	98.361
641.329	99.758
643.172	99.701
644.990	98.039
646.754	94.700
648.438	89.741
650.017	83.387
651.469	76.016
652.783	68.084
653.953	60.062
654.981	52.349
655.877	45.240
656.651	38.913
657.319	33.441
657.896	28.822
658.396	25.004
658.833	21.907
659.220	19.447
659.567	17.541
659.883	16.119
660.177	15.120
660.456	14.500
660.727	14.231
660.996	14.299
661.271	14.704
661.557	15.464
661.862	16.611
662.193	18.194
662.560	20.280
662.974	22.954
663.447	26.318
663.994	30.480
664.633	35.545
665.381	41.591
666.260	48.639
667.288	56.608
668.481	65.279
669.849	74.284
671.393	83.154
673.102	91.420
674.955	98.764
676.928	105.149
678.995	110.820
681.140	116.176
683.353	121.475
685.629	126.586
687.959	130.859
690.324	133.250
692.685	132.703
694.988	128.613
697.177	121.186
699.203	111.423
701.039	100.841
702.682	91.058
704.156	83.493
705.505	79.285
706.788	79.335
708.078	84.397
709.455	95.104
711.010	111.769
712.831	133.947
714.992	159.758
717.528	185.338
720.402	205.090
723.492	213.368
726.607	207.135
729.538	187.689
732.122	159.957
734.274	129.906
735.996	102.145
737.337	79.072
738.372	61.239
739.174	48.127
739.807	38.814
740.322	32.356
740.756	27.964
741.134	25.035
741.476	23.132
741.796	21.952
742.102	21.294
742.403	21.026
742.702	21.067
743.005	21.373
743.316	21.921
743.636	22.710
743.972	23.753
744.326	25.077
744.703	26.718
745.108	28.721
745.546	31.138
746.025	34.029
746.552	37.448
747.136	41.446
747.785	46.054
748.510	51.265
749.320	57.013
750.221	63.161
751.220	69.468
752.317	75.597
753.507	81.135
754.779	85.628
756.113	88.665
757.486	89.968
758.870	89.456
760.235	87.271
761.559	83.761
762.823	79.409
764.016	74.738
765.136	70.227
766.187	66.266
767.180	63.132
768.127	60.999
769.045	59.963
769.951	60.044
770.860	61.227
771.791	63.462
772.759	66.649
773.777	70.646
774.857	75.247
776.006	80.168
777.228	85.042
778.520	89.441
779.871	92.907
781.268	95.032
782.686	95.523
784.102	94.268
785.490	91.383
786.827	87.149
788.095	81.986
789.282	76.354
790.385	70.679
791.405	65.311
792.347	60.458
793.220	56.229
794.034	52.644
794.798	49.652
795.522	47.162
796.212	45.058
796.875	43.229
797.512	41.576
798.129	40.018
798.724	38.508
799.299	37.017
799.855	35.544
800.391	34.119
800.908	32.791
801.408	31.635
801.893	30.739
802.367	30.220
802.838	30.231
803.312	30.965
803.803	32.677
804.326	35.704
804.904	40.489
805.566	47.590
806.350	57.666
807.306	71.395
808.493	89.248
809.972	111.121
811.800	135.775
814.000	160.333
816.545	180.384
819.335	191.126
822.207	189.477
824.971	175.711
827.466	153.400
829.596	127.553
831.339	102.565
832.727	81.073
833.819	64.036
834.682	51.305
835.377	42.212
835.954	35.968
836.450	31.865
836.894	29.333
837.307	27.942
837.705	27.398
838.100	27.485
838.499	28.054
838.910	29.004
839.338	30.269
839.787	31.799
840.263	33.552
840.768	35.491
841.305	37.585
841.876	39.798
842.484	42.082
843.128	44.387
843.810	46.662
844.529	48.846
845.284	50.882
846.070	52.720
846.887	54.331
847.728	55.715
848.592	56.903
849.476	57.991
850.376	59.136
851.296	60.566
852.239	62.594
853.216	65.633
854.244	70.208
855.346	76.942
856.557	86.544
857.921	99.749
859.491	117.132
861.326	138.807
863.480	163.984
865.988	190.544
868.844	214.910
871.983	232.675
875.285	240.082
878.591	235.626
881.743	220.737
884.619	198.993
887.158	174.479
889.347	150.439
891.214	128.811
