<j>	<F>
1.204	20.472
2.625	13.678
3.355	18.923
4.797	15.979
6.279	11.270
6.988	13.314
7.763	16.974
9.288	14.457
10.556	13.068
11.910	12.761
12.990	12.197
13.952	13.130
15.183	12.747
15.959	13.278
16.658	14.977
18.050	14.940
20.006	12.785
21.796	11.474
23.147	10.847
24.055	11.109
24.930	11.607
26.039	11.903
27.518	11.614
28.936	11.119
29.919	11.173
30.727	11.598
31.627	12.015
32.769	12.160
34.099	11.985
35.419	11.795
36.801	11.636
38.286	11.324
39.529	11.113
40.364	11.282
40.949	11.756
41.430	12.407
41.912	13.161
42.590	13.858
43.989	13.967
46.667	12.701
49.235	11.213
50.605	10.830
51.474	10.977
52.248	11.246
53.054	11.520
53.957	11.741
54.964	11.874
55.982	11.957
56.868	12.098
57.571	12.382
58.164	12.792
58.780	13.243
59.568	13.606
60.688	13.721
62.202	13.482
63.848	13.051
65.227	12.778
66.284	12.773
67.201	12.912
68.117	13.072
69.084	13.202
70.116	13.284
71.191	13.322
72.237	13.359
73.187	13.452
74.050	13.620
74.911	13.816
75.895	13.956
77.156	13.935
78.837	13.650
80.862	13.124
82.799	12.602
84.278	12.329
85.334	12.313
86.173	12.446
86.965	12.629
87.807	12.799
88.721	12.927
89.653	13.027
90.509	13.152
91.228	13.348
91.834	13.624
92.417	13.944
93.111	14.235
94.088	14.389
95.541	14.285
97.576	13.861
100.092	13.204
102.783	12.500
105.304	11.909
107.461	11.497
109.250	11.245
110.725	11.111
111.915	11.072
112.851	11.117
113.581	11.234
114.166	11.407
114.669	11.619
115.140	11.854
115.629	12.096
116.190	12.327
116.887	12.521
117.793	12.647
118.963	12.674
120.388	12.597
121.956	12.450
123.497	12.297
124.889	12.191
126.108	12.148
127.184	12.158
128.160	12.205
129.084	12.277
130.000	12.356
130.952	12.428
131.962	12.480
133.014	12.513
134.051	12.541
134.997	12.591
135.803	12.685
136.470	12.829
137.036	13.017
137.558	13.233
138.092	13.456
138.690	13.666
139.417	13.839
140.391	13.938
141.864	13.888
144.275	13.556
147.890	12.852
151.918	11.992
154.987	11.384
156.789	11.137
157.801	11.122
158.441	11.220
158.916	11.370
159.311	11.546
159.667	11.740
160.003	11.945
160.336	12.158
160.681	12.376
161.056	12.593
161.481	12.804
161.982	13.000
162.591	13.170
163.342	13.303
164.271	13.384
165.410	13.403
166.789	13.352
168.437	13.226
170.379	13.023
172.613	12.749
175.060	12.428
177.555	12.100
179.903	11.812
181.958	11.593
183.658	11.453
185.010	11.389
186.057	11.391
186.858	11.447
187.470	11.546
187.945	11.678
188.326	11.835
188.643	12.012
188.919	12.204
189.171	12.408
189.414	12.620
189.659	12.840
189.921	13.062
190.213	13.285
190.556	13.501
190.973	13.704
191.497	13.885
192.169	14.029
193.043	14.120
194.186	14.139
195.667	14.065
197.523	13.889
199.684	13.626
201.921	13.333
203.930	13.087
205.520	12.941
206.684	12.901
207.533	12.946
208.193	13.045
208.767	13.172
209.333	13.308
209.950	13.438
210.667	13.549
211.530	13.627
212.575	13.661
213.811	13.647
215.204	13.589
216.670	13.507
218.096	13.426
219.387	13.373
220.500	13.361
221.455	13.390
222.319	13.446
223.198	13.509
224.232	13.548
225.584	13.526
227.391	13.408
229.636	13.189
232.040	12.918
234.179	12.685
235.785	12.554
236.858	12.533
237.546	12.598
238.002	12.718
238.337	12.870
238.618	13.039
238.893	13.217
239.195	13.395
239.561	13.565
240.031	13.719
240.655	13.844
241.490	13.925
242.580	13.951
243.931	13.914
245.482	13.827
247.107	13.715
248.673	13.610
250.098	13.534
251.363	13.493
252.486	13.483
253.489	13.499
254.382	13.538
255.170	13.600
255.859	13.682
256.466	13.784
257.014	13.902
257.536	14.030
258.076	14.158
258.686	14.277
259.442	14.370
260.448	14.414
261.842	14.382
263.751	14.243
266.195	13.990
268.953	13.665
271.626	13.349
273.892	13.110
275.677	12.966
277.089	12.900
278.281	12.880
279.375	12.884
280.443	12.895
281.516	12.906
282.591	12.915
283.639	12.927
284.625	12.946
285.521	12.980
286.312	13.031
286.999	13.101
287.600	13.187
288.134	13.287
288.624	13.397
289.091	13.513
289.554	13.633
290.029	13.753
290.531	13.871
291.077	13.982
291.685	14.084
292.379	14.172
293.186	14.239
294.135	14.279
295.242	14.289
296.503	14.267
297.875	14.220
299.278	14.161
300.620	14.110
301.829	14.081
302.871	14.084
303.754	14.117
304.511	14.177
305.186	14.255
305.822	14.344
306.464	14.435
307.152	14.519
307.928	14.590
308.829	14.638
309.886	14.656
311.106	14.642
312.470	14.597
313.940	14.530
315.476	14.451
317.069	14.363
318.744	14.264
320.532	14.148
322.422	14.015
324.331	13.875
326.133	13.750
327.721	13.659
329.064	13.610
330.211	13.597
331.252	13.607
332.285	13.622
333.402	13.629
334.678	13.614
336.170	13.569
337.922	13.485
339.957	13.362
342.273	13.200
344.812	13.009
347.442	12.804
349.973	12.611
352.222	12.453
354.082	12.345
355.540	12.290
356.653	12.280
357.502	12.305
358.164	12.357
358.702	12.427
359.161	12.509
359.572	12.599
359.959	12.695
360.339	12.792
360.726	12.891
361.134	12.989
361.576	13.084
362.066	13.174
362.618	13.256
363.248	13.330
363.972	13.391
364.804	13.437
365.761	13.467
366.856	13.478
368.103	13.468
369.524	13.435
371.153	13.376
373.047	13.286
375.285	13.156
377.949	12.979
381.047	12.754
384.447	12.495
387.852	12.234
390.921	12.009
393.427	11.845
395.328	11.748
396.711	11.708
397.708	11.711
398.436	11.745
398.987	11.800
399.419	11.869
399.772	11.948
400.071	12.035
400.332	12.127
400.566	12.223
400.782	12.323
400.984	12.426
401.178	12.531
401.368	12.638
401.560	12.748
401.757	12.858
401.964	12.969
402.185	13.079
402.427	13.189
402.694	13.298
402.992	13.404
403.325	13.508
403.697	13.607
404.110	13.702
404.565	13.793
405.059	13.878
405.585	13.960
406.133	14.039
406.690	14.116
407.244	14.193
407.783	14.273
408.297	14.357
408.782	14.446
409.241	14.539
409.684	14.636
410.130	14.735
410.606	14.832
411.155	14.921
411.840	14.993
412.742	15.035
413.958	15.032
415.572	14.971
417.598	14.846
419.914	14.673
422.265	14.488
424.375	14.331
426.079	14.230
427.361	14.189
428.294	14.199
428.979	14.248
