<j>	<F>
1.274	18.889
2.372	17.590
3.239	20.087
4.193	21.136
5.366	19.168
6.313	20.269
7.478	18.858
8.608	19.118
10.496	13.740
11.541	13.203
12.228	14.837
12.846	17.362
13.517	20.173
14.668	20.347
16.947	15.640
18.798	12.388
19.848	12.449
20.976	12.681
22.359	12.311
23.580	11.928
24.436	12.272
25.214	12.946
26.130	13.482
27.293	13.540
28.498	13.290
29.460	13.441
30.365	13.863
31.432	14.037
32.605	13.951
33.827	13.833
35.196	13.520
36.511	13.133
37.437	13.198
38.024	13.819
38.499	14.763
39.041	15.752
39.769	16.495
40.687	16.836
41.634	17.038
42.565	17.310
43.580	17.421
44.562	17.513
45.543	17.754
46.983	17.308
48.591	16.261
49.560	16.194
50.323	16.724
51.502	16.789
53.144	16.017
54.468	15.500
55.363	15.668
56.270	15.942
57.383	15.960
58.571	15.807
59.608	15.785
60.424	16.026
61.063	16.511
61.610	17.173
62.225	17.849
63.223	18.123
64.900	17.457
66.604	16.514
67.619	16.401
68.288	16.822
68.954	17.313
69.688	17.721
70.411	18.120
71.067	18.624
71.758	19.149
72.756	19.350
74.411	18.752
76.718	17.376
78.905	16.129
80.416	15.587
81.415	15.576
82.211	15.801
83.035	16.050
84.051	16.160
85.319	16.047
86.744	15.774
88.133	15.505
89.359	15.358
90.395	15.355
91.240	15.491
91.893	15.775
92.375	16.212
92.744	16.778
93.076	17.428
93.460	18.089
94.056	18.618
95.230	18.686
97.586	17.751
100.803	16.065
103.345	14.923
105.054	14.474
106.485	14.281
107.937	14.111
109.447	13.908
110.884	13.724
112.099	13.635
113.067	13.671
113.865	13.802
114.578	13.986
115.262	14.193
115.949	14.405
116.667	14.610
117.441	14.790
118.292	14.933
119.216	15.033
120.184	15.102
121.151	15.164
122.076	15.243
122.940	15.354
123.742	15.500
124.508	15.674
125.293	15.850
126.196	15.979
127.361	15.982
128.923	15.779
130.830	15.377
132.763	14.940
134.442	14.631
135.926	14.451
137.465	14.289
139.240	14.049
141.186	13.731
143.015	13.436
144.491	13.264
145.615	13.230
146.536	13.286
147.412	13.374
148.347	13.449
149.368	13.493
150.424	13.513
151.413	13.544
152.246	13.621
152.891	13.765
153.374	13.975
153.742	14.238
154.044	14.542
154.318	14.871
154.599	15.214
154.924	15.555
155.358	15.869
156.022	16.103
157.135	16.161
158.964	15.915
161.468	15.356
163.954	14.755
165.737	14.413
166.801	14.362
167.426	14.497
167.826	14.735
168.111	15.031
168.339	15.365
168.541	15.724
168.743	16.101
168.969	16.485
169.252	16.860
169.640	17.204
170.196	17.479
170.985	17.645
172.021	17.681
173.216	17.620
174.450	17.533
175.781	17.429
177.639	17.154
180.651	16.448
184.549	15.376
187.774	14.527
189.697	14.166
190.834	14.110
191.649	14.180
192.345	14.296
192.995	14.433
193.631	14.577
194.286	14.721
195.013	14.850
195.903	14.938
197.087	14.945
198.701	14.825
200.748	14.566
202.961	14.238
204.928	13.963
206.415	13.819
207.464	13.805
208.227	13.878
208.836	14.003
209.370	14.155
209.876	14.320
210.377	14.490
210.892	14.661
211.433	14.827
212.016	14.985
212.654	15.129
213.365	15.253
214.176	15.350
215.126	15.408
216.278	15.409
217.703	15.331
219.442	15.162
221.446	14.914
223.559	14.631
225.588	14.371
227.408	14.168
228.974	14.034
230.292	13.964
231.385	13.952
232.291	13.988
233.060	14.062
233.744	14.161
234.398	14.273
235.072	14.384
235.814	14.482
236.664	14.556
237.651	14.596
238.777	14.599
240.008	14.571
241.272	14.529
242.488	14.494
243.604	14.482
244.612	14.497
245.545	14.534
246.459	14.581
247.406	14.623
248.425	14.648
249.525	14.653
250.680	14.642
251.837	14.625
252.942	14.618
253.963	14.630
254.904	14.663
255.806	14.709
256.727	14.756
257.733	14.786
258.868	14.786
260.129	14.754
261.452	14.701
262.726	14.652
263.845	14.633
264.760	14.660
265.479	14.736
266.049	14.851
266.527	14.994
266.962	15.152
267.392	15.316
267.844	15.479
268.337	15.635
268.886	15.779
269.502	15.907
270.197	16.016
270.990	16.101
271.915	16.153
273.026	16.159
274.386	16.103
276.036	15.971
277.928	15.773
279.889	15.550
281.692	15.358
283.180	15.240
284.329	15.204
285.201	15.239
285.877	15.324
286.430	15.443
286.910	15.585
287.353	15.739
287.785	15.900
288.230	16.061
288.704	16.218
289.224	16.366
289.805	16.500
290.460	16.617
291.202	16.712
292.058	16.778
293.083	16.805
294.402	16.763
296.235	16.604
298.825	16.271
302.154	15.765
305.667	15.210
308.663	14.771
310.941	14.501
312.749	14.349
314.401	14.245
316.098	14.143
317.890	14.026
319.712	13.900
321.432	13.786
322.931	13.707
324.149	13.674
325.095	13.688
325.817	13.743
326.379	13.828
326.845	13.934
327.272	14.050
327.713	14.169
328.222	14.280
328.857	14.373
329.672	14.437
330.709	14.461
331.971	14.444
333.394	14.393
334.855	14.327
336.205	14.275
337.338	14.256
338.220	14.281
338.876	14.347
339.359	14.448
339.724	14.574
340.016	14.717
340.268	14.871
340.501	15.032
340.732	15.197
340.971	15.365
341.229	15.532
341.516	15.696
341.846	15.855
342.242	16.004
342.743	16.135
343.419	16.235
344.399	16.279
345.898	16.225
348.186	16.020
351.375	15.638
355.087	15.147
358.526	14.698
361.148	14.397
362.969	14.247
364.266	14.197
365.288	14.201
366.186	14.230
367.034	14.269
367.861	14.313
368.670	14.359
369.455	14.408
370.204	14.463
370.908	14.525
371.560	14.595
372.157	14.675
372.703	14.765
373.203	14.863
373.666	14.969
374.103	15.081
374.525	15.198
374.944	15.317
375.372	15.436
375.822	15.553
376.307	15.666
376.840	15.772
377.440	15.866
378.129	15.946
378.938	16.005
379.911	16.035
381.111	16.025
382.615	15.962
384.503	15.831
386.807	15.629
389.463	15.367
392.286	15.077
395.028	14.801
397.485	14.573
399.557	14.408
401.235	14.306
402.565	14.259
403.614	14.256
404.450	14.286
405.137	14.341
405.729	14.413
406.268	14.494
406.787	14.580
407.313	14.667
407.865	14.752
408.460	14.831
409.110	14.903
409.829	14.965
410.632	15.014
411.541	15.049
412.587	15.063
413.814	15.051
415.273	15.006
417.006	14.921
419.014	14.795
421.229	14.637
423.503	14.467
425.661	14.312
427.564	14.190
429.158	14.112
430.458	14.075
431.519	14.072
432.404	14.095
433.165	14.137
433.842	14.191
434.462	14.254
435.043	14.323
435.599	14.396
436.138	14.473
436.668	14.552
437.195	14.632
437.724	14.712
438.260	14.792
438.807	14.871
439.369	14.949
439.950	15.025
440.555	15.098
441.189	15.167
441.859	15.231
442.573	15.290
443.343	15.340
