<j>	<F>
1.208	20.458
2.671	13.501
3.668	16.921
5.522	10.240
6.736	10.087
7.912	10.092
9.005	10.282
9.965	10.799
10.815	11.784
11.827	12.820
13.364	11.886
14.449	11.399
15.322	12.273
16.528	12.542
17.850	11.818
18.626	12.299
19.332	13.528
20.688	13.900
23.121	11.648
24.821	10.369
25.920	10.369
26.874	10.600
27.743	10.949
28.608	11.370
29.650	11.687
31.083	11.575
32.732	11.031
34.033	10.714
34.915	10.878
35.584	11.314
36.130	11.926
36.600	12.702
37.079	13.598
37.764	14.408
39.100	14.488
41.192	13.310
42.743	12.452
43.456	12.698
43.912	13.413
44.400	14.233
45.144	14.876
46.468	14.861
48.453	13.989
50.761	12.916
53.381	11.823
55.823	10.853
57.514	10.409
58.705	10.345
59.696	10.424
60.571	10.568
61.340	10.768
62.012	11.026
62.600	11.343
63.125	11.716
63.617	12.135
64.108	12.584
64.639	13.038
65.249	13.461
65.981	13.808
66.870	14.039
67.962	14.115
69.304	13.996
70.860	13.690
72.409	13.348
73.727	13.154
74.813	13.141
75.788	13.229
76.750	13.338
77.726	13.436
78.698	13.528
79.629	13.641
80.529	13.783
81.461	13.922
82.521	13.997
83.824	13.937
85.507	13.670
87.573	13.174
89.610	12.633
91.083	12.349
91.947	12.396
92.475	12.655
92.884	13.015
93.290	13.408
93.764	13.789
94.363	14.121
95.138	14.360
96.105	14.478
97.216	14.491
98.381	14.453
99.518	14.422
100.609	14.423
101.718	14.437
103.057	14.374
104.970	14.064
107.585	13.408
110.278	12.667
112.304	12.211
113.696	12.057
114.787	12.058
115.805	12.105
116.853	12.152
117.975	12.174
119.170	12.167
120.402	12.140
121.616	12.115
122.791	12.103
123.963	12.101
125.198	12.088
126.564	12.039
128.086	11.942
129.721	11.803
131.350	11.658
132.872	11.538
134.197	11.470
135.307	11.462
136.207	11.514
136.926	11.620
137.505	11.772
137.987	11.960
138.412	12.175
138.822	12.406
139.272	12.638
139.822	12.851
140.586	13.011
141.708	13.068
143.303	12.974
145.358	12.715
147.494	12.397
149.313	12.154
150.649	12.055
151.631	12.075
152.463	12.155
153.260	12.256
154.119	12.344
155.022	12.417
155.950	12.477
156.834	12.543
157.619	12.633
158.293	12.756
158.859	12.915
159.360	13.102
159.840	13.304
160.349	13.507
160.930	13.695
161.626	13.850
162.469	13.959
163.456	14.016
164.544	14.030
165.666	14.027
166.781	14.024
167.924	14.021
169.218	13.987
170.834	13.866
172.853	13.624
175.122	13.291
177.205	12.989
178.806	12.814
179.928	12.777
180.698	12.847
181.279	12.979
181.758	13.147
182.181	13.338
182.583	13.541
182.979	13.751
183.381	13.966
183.802	14.181
184.258	14.391
184.761	14.591
185.308	14.780
185.918	14.951
186.587	15.102
187.298	15.240
188.069	15.359
188.931	15.452
189.978	15.494
191.444	15.420
193.703	15.119
196.976	14.520
200.768	13.761
204.058	13.142
206.481	12.781
208.365	12.590
210.061	12.467
211.728	12.358
213.369	12.254
214.896	12.167
216.234	12.115
217.362	12.104
218.285	12.134
219.048	12.199
219.697	12.290
220.269	12.399
220.796	12.521
221.307	12.649
221.816	12.782
222.350	12.911
222.902	13.039
223.485	13.162
224.104	13.277
224.748	13.387
225.392	13.497
226.036	13.607
226.680	13.717
227.295	13.836
227.897	13.959
228.512	14.083
229.164	14.201
229.889	14.306
230.737	14.383
231.760	14.418
232.970	14.405
234.305	14.354
235.694	14.283
237.041	14.215
238.242	14.179
239.280	14.185
240.205	14.222
241.089	14.274
241.990	14.328
242.980	14.365
244.121	14.370
245.463	14.328
247.010	14.239
248.733	14.108
250.577	13.950
252.474	13.780
254.347	13.616
256.151	13.471
257.845	13.348
259.413	13.252
260.819	13.187
262.069	13.153
263.183	13.149
264.214	13.164
265.246	13.185
266.361	13.195
267.634	13.180
269.063	13.135
270.647	13.059
272.262	12.970
273.754	12.895
275.016	12.857
276.006	12.865
276.747	12.918
277.300	13.008
277.710	13.128
278.022	13.270
278.277	13.426
278.497	13.594
278.693	13.771
278.876	13.954
279.058	14.143
279.251	14.334
279.465	14.526
279.737	14.713
280.119	14.883
280.708	15.018
281.717	15.077
283.512	14.986
286.485	14.662
290.594	14.103
294.823	13.498
298.070	13.066
300.120	12.861
301.408	12.807
302.326	12.828
303.127	12.877
303.924	12.932
304.777	12.981
305.713	13.017
306.743	13.038
307.857	13.045
309.052	13.038
310.285	13.025
311.556	13.005
312.868	12.979
314.194	12.949
315.525	12.919
316.822	12.892
318.066	12.871
319.216	12.863
320.253	12.871
321.164	12.897
321.955	12.942
322.648	13.003
323.269	13.077
323.858	13.158
324.440	13.242
325.047	13.326
325.719	13.401
326.485	13.463
327.371	13.508
328.415	13.529
329.591	13.527
330.892	13.504
332.257	13.468
333.636	13.426
334.973	13.389
336.211	13.366
337.344	13.359
338.376	13.369
339.360	13.388
340.316	13.413
341.291	13.437
342.314	13.455
343.415	13.463
344.600	13.458
345.885	13.438
347.241	13.406
348.642	13.366
350.032	13.326
351.378	13.291
352.654	13.265
353.836	13.252
