<j>	<Fwlc>
1039.459	13.778
1043.307	13.645
1047.183	13.513
1051.051	13.384
1054.887	13.259
1058.660	13.139
1062.321	13.025
1065.811	12.921
1069.062	12.827
1072.022	12.747
1074.661	12.680
1076.974	12.628
1078.982	12.588
1080.722	12.561
1082.240	12.543
1083.581	12.533
1084.790	12.528
1085.904	12.528
1086.956	12.531
1087.972	12.536
1088.971	12.541
1089.969	12.547
1090.974	12.553
1091.992	12.558
1093.027	12.562
1094.075	12.566
1095.135	12.570
1096.199	12.573
1097.261	12.576
1098.312	12.579
1099.344	12.583
1100.349	12.588
1101.318	12.594
1102.247	12.602
1103.131	12.611
1103.967	12.623
1104.753	12.636
1105.488	12.651
1106.174	12.668
1106.812	12.688
1107.405	12.709
1107.954	12.732
1108.463	12.756
1108.935	12.783
1109.373	12.810
1109.779	12.839
1110.157	12.870
1110.509	12.902
1110.836	12.934
1111.142	12.968
1111.429	13.003
1111.698	13.039
1111.950	13.075
1112.187	13.113
1112.411	13.151
1112.623	13.190
1112.824	13.230
1113.015	13.270
1113.196	13.311
1113.370	13.352
1113.536	13.394
1113.695	13.437
1113.849	13.480
1113.997	13.523
1114.141	13.567
1114.281	13.611
1114.418	13.656
1114.552	13.701
1114.684	13.747
1114.815	13.792
1114.945	13.838
1115.075	13.885
1115.205	13.931
1115.336	13.978
1115.469	14.025
1115.604	14.072
1115.743	14.120
1115.887	14.167
1116.036	14.214
1116.191	14.261
1116.355	14.309
1116.530	14.356
1116.716	14.402
1116.919	14.448
1117.141	14.493
1117.387	14.538
1117.667	14.581
1117.991	14.622
1118.376	14.660
1118.851	14.695
1119.456	14.723
1120.263	14.743
1121.380	14.748
1122.983	14.731
1125.326	14.680
1128.746	14.580
1133.589	14.415
1140.006	14.179
1147.678	13.886
1155.737	13.574
1163.124	13.292
1169.131	13.072
1173.613	12.920
1176.804	12.825
1179.045	12.772
1180.637	12.748
1181.799	12.742
1182.674	12.749
1183.353	12.764
1183.894	12.785
1184.334	12.810
1184.698	12.838
1185.004	12.869
1185.264	12.902
1185.488	12.937
1185.683	12.973
1185.856	13.010
1186.009	13.049
1186.149	13.088
1186.278	13.127
1186.399	13.167
1186.516	13.208
1186.629	13.249
1186.742	13.290
1186.857	13.332
1186.977	13.373
1187.104	13.415
1187.240	13.456
1187.389	13.497
1187.553	13.538
1187.738	13.578
1187.948	13.617
1188.187	13.655
1188.462	13.692
1188.781	13.727
1189.151	13.761
1189.583	13.791
1190.088	13.819
1190.680	13.844
1191.374	13.864
1192.187	13.879
1193.138	13.888
1194.249	13.891
1195.539	13.886
1197.032	13.872
1198.746	13.849
1200.695	13.816
1202.881	13.773
1205.295	13.720
1207.906	13.659
1210.665	13.591
1213.504	13.520
1216.342	13.449
1219.100	13.381
1221.707	13.319
1224.114	13.266
1226.296	13.221
1228.250	13.186
1229.998	13.159
1231.573	13.140
1233.019	13.126
1234.383	13.116
1235.715	13.108
1237.064	13.100
1238.474	13.091
1239.985	13.078
1241.623	13.061
1243.406	13.038
1245.331	13.010
1247.378	12.977
1249.507	12.941
1251.662	12.904
1253.782	12.867
1255.805	12.833
1257.678	12.804
1259.367	12.782
1260.852	12.767
1262.132	12.759
1263.218	12.759
1264.129	12.764
1264.887	12.776
1265.518	12.793
1266.043	12.813
1266.485	12.837
1266.861	12.863
1267.186	12.892
1267.472	12.922
1267.730	12.954
1267.968	12.986
1268.193	13.019
1268.409	13.053
1268.621	13.087
1268.834	13.121
1269.050	13.156
1269.272	13.190
1269.503	13.224
1269.745	13.258
1270.002	13.291
1270.275	13.324
1270.567	13.356
1270.882	13.388
1271.221	13.419
1271.589	13.449
1271.989	13.477
1272.424	13.505
1272.898	13.531
1273.413	13.555
1273.973	13.578
1274.581	13.599
1275.238	13.618
1275.944	13.636
1276.700	13.651
1277.502	13.664
1278.348	13.675
1279.230	13.685
1280.141	13.694
1281.073	13.701
1282.015	13.709
1282.955	13.715
1283.884	13.723
1284.791	13.731
1285.667	13.740
1286.506	13.751
1287.301	13.763
1288.050	13.777
1288.751	13.793
1289.405	13.811
1290.013	13.831
1290.580	13.853
1291.109	13.877
1291.604	13.902
1292.073	13.928
1292.519	13.955
1292.950	13.983
1293.371	14.012
1293.790	14.041
1294.213	14.070
1294.648	14.098
1295.104	14.126
1295.588	14.153
1296.111	14.179
1296.684	14.202
1297.319	14.223
1298.028	14.241
1298.824	14.256
1299.720	14.266
1300.731	14.272
1301.866	14.273
1303.135	14.267
1304.539	14.256
1306.077	14.240
1307.739	14.217
1309.506	14.191
1311.356	14.160
1313.258	14.127
1315.180	14.093
1317.092	14.060
1318.965	14.028
1320.776	13.998
1322.509	13.972
1324.153	13.949
1325.704	13.930
1327.158	13.915
1328.520	13.903
1329.791	13.896
1330.977	13.892
1332.084	13.891
1333.118	13.893
1334.085	13.898
1334.992	13.906
1335.847	13.915
1336.656	13.927
1337.427	13.940
1338.169	13.954
1338.889	13.970
1339.599	13.986
1340.307	14.002
1341.027	14.018
1341.772	14.033
1342.559	14.047
1343.406	14.059
1344.337	14.067
1345.377	14.071
1346.557	14.071
1347.908	14.063
1349.464	14.048
1351.251	14.024
1353.290	13.990
1355.584	13.946
1358.113	13.893
1360.832	13.833
1363.674	13.767
1366.558	13.700
1369.403	13.634
1372.143	13.572
1374.735	13.516
1377.168	13.466
1379.457	13.422
1381.637	13.383
1383.757	13.347
1385.872	13.313
1388.035	13.277
1390.292	13.239
1392.678	13.197
1395.209	13.150
1397.881	13.100
1400.669	13.045
1403.530	12.988
1406.406	12.930
1409.237	12.874
1411.968	12.821
1414.559	12.772
1416.984	12.730
1419.235	12.692
1421.319	12.661
1423.252	12.635
1425.054	12.613
1426.746	12.595
1428.347	12.580
1429.875	12.567
1431.340	12.557
1432.749	12.548
1434.105	12.541
1435.409	12.535
1436.657	12.532
1437.846	12.530
1438.971	12.529
1440.029	12.531
1441.017	12.535
1441.934	12.541
1442.778	12.549
1443.553	12.559
1444.260	12.572
1444.904	12.586
1445.489	12.602
1446.020	12.620
1446.503	12.640
1446.945	12.661
1447.350	12.683
1447.725	12.706
1448.074	12.730
1448.403	12.755
1448.717	12.781
1449.020	12.807
1449.316	12.833
1449.610	12.860
1449.904	12.886
1450.204	12.913
1450.510	12.939
1450.828	12.965
1451.159	12.991
1451.506	13.017
1451.870	13.042
1452.256	13.066
1452.662	13.090
1453.092	13.113
1453.546	13.136
1454.025	13.157
1454.527	13.178
1455.054	13.198
1455.603	13.218
1456.174	13.237
1456.765	13.255
1457.373	13.272
1457.997	13.289
1458.635	13.305
1459.285	13.322
1459.947	13.337
1460.620	13.353
1461.309	13.368
1462.016	13.382
1462.751	13.395
1463.523	13.408
1464.348	13.419
1465.248	13.427
1466.250	13.433
1467.386	13.434
1468.696	13.430
1470.224	13.419
1472.016	13.400
1474.109	13.371
1476.528	13.331
1479.271	13.281
1482.300	13.222
1485.536	13.155
1488.867	13.085
1492.163	13.015
1495.298	12.950
1498.174	12.893
1500.729	12.846
1502.941	12.810
1504.822	12.784
1506.404	12.767
1507.731	12.759
1508.849	12.758
1509.801	12.762
1510.624	12.770
1511.349	12.781
1512.002	12.795
1512.602	12.811
1513.165	12.827
1513.701	12.845
1514.221	12.864
1514.730	12.883
1515.234	12.902
1515.736	12.921
1516.239	12.940
1516.744	12.960
1517.253	12.979
1517.767	12.998
1518.285	13.017
1518.807	13.036
1519.334	13.054
1519.864	13.073
1520.397	13.092
1520.932	13.110
1521.467	13.129
1522.002	13.148
1522.536	13.166
1523.067	13.185
1523.596	13.204
1524.121	13.223
1524.642	13.242
1525.159	13.262
1525.673	13.281
1526.185	13.301
1526.694	13.321
1527.203	13.341
1527.714	13.360
1528.229	13.380
1528.750	13.400
1529.281	13.419
1529.825	13.438
1530.387	13.457
1530.971	13.475
1531.581	13.492
