<j>	<F>
1.026	23.252
2.509	14.961
3.045	23.000
4.140	22.240
6.119	12.184
6.797	14.462
7.348	21.018
9.350	12.898
9.932	15.338
10.871	18.936
13.220	11.782
14.018	12.363
14.569	14.010
14.924	17.078
15.213	22.389
16.373	23.259
17.868	18.647
18.381	21.958
20.793	17.760
22.446	13.872
22.935	15.380
23.597	17.043
24.880	16.666
25.751	16.507
26.013	19.026
26.252	22.611
26.779	25.612
27.823	25.732
29.696	22.185
31.332	19.171
32.233	19.498
32.967	20.259
33.535	22.015
34.768	21.743
36.075	20.409
37.245	20.440
39.152	18.075
40.013	18.009
40.745	19.120
42.908	17.560
45.326	14.949
47.084	14.192
49.028	13.230
50.296	12.798
50.891	13.165
51.244	13.901
51.508	14.840
51.724	15.965
51.935	17.267
52.239	18.638
52.936	19.553
54.436	18.948
55.873	17.997
56.587	18.391
57.178	19.193
57.921	19.798
58.994	19.894
60.487	19.146
61.583	18.780
62.006	19.651
62.247	21.091
62.717	22.386
64.356	21.811
67.441	18.460
69.263	17.137
70.734	16.784
72.700	15.946
74.404	15.168
75.240	15.202
75.588	15.800
75.781	16.652
75.946	17.635
76.164	18.674
76.604	19.579
77.746	19.739
80.153	18.333
82.813	16.594
85.049	15.572
87.168	14.756
88.787	14.260
89.714	14.252
90.188	14.602
90.447	15.158
90.614	15.841
90.740	16.618
90.847	17.482
90.946	18.431
91.049	19.464
91.176	20.567
91.389	21.673
91.922	22.497
93.466	22.093
96.046	20.141
97.601	19.272
98.280	19.574
98.899	20.068
99.935	20.209
101.794	19.495
103.816	18.439
105.009	18.160
105.880	18.355
107.490	18.146
110.864	16.704
114.577	14.890
116.467	14.211
117.225	14.291
117.718	14.599
118.392	14.883
119.683	14.919
121.993	14.469
124.861	13.664
126.993	13.102
128.069	13.009
128.579	13.200
128.879	13.511
129.113	13.875
129.334	14.265
129.583	14.668
129.917	15.057
130.448	15.381
131.356	15.545
132.811	15.437
134.674	15.079
136.389	14.730
137.577	14.617
138.345	14.725
138.934	14.942
139.490	15.191
140.051	15.443
140.603	15.700
141.112	15.981
141.556	16.301
141.939	16.668
142.287	17.072
142.637	17.495
143.030	17.912
143.509	18.293
144.101	18.611
144.816	18.848
145.625	19.016
146.470	19.150
147.291	19.293
148.073	19.469
148.936	19.626
150.370	19.502
153.437	18.479
157.729	16.680
160.445	15.666
161.571	15.535
162.166	15.715
162.615	15.982
162.993	16.291
163.311	16.639
163.583	17.025
163.847	17.437
164.199	17.835
164.860	18.114
166.298	18.039
168.920	17.354
171.851	16.413
173.662	15.947
174.423	15.999
174.744	16.294
174.946	16.673
175.156	17.073
175.444	17.458
175.892	17.786
176.624	17.992
177.795	17.990
179.461	17.735
181.408	17.322
183.326	16.926
185.259	16.578
187.598	16.131
190.441	15.502
193.091	14.905
194.832	14.603
195.720	14.605
196.136	14.791
196.346	15.066
196.475	15.386
196.571	15.732
196.653	16.097
196.730	16.480
196.804	16.879
196.880	17.294
196.961	17.724
197.050	18.169
197.154	18.624
197.279	19.088
197.435	19.555
197.631	20.017
197.878	20.467
198.184	20.897
198.545	21.304
198.952	21.691
199.404	22.060
199.990	22.372
201.269	22.358
205.442	20.956
213.638	17.696
219.816	15.623
224.117	14.646
227.935	13.904
230.725	13.420
232.307	13.241
233.098	13.272
233.501	13.410
233.739	13.600
233.905	13.816
234.039	14.047
234.158	14.289
234.269	14.541
234.379	14.802
234.496	15.069
234.633	15.340
234.812	15.609
235.069	15.866
235.470	16.092
236.112	16.254
237.113	16.311
238.527	16.235
240.212	16.056
241.821	15.874
243.042	15.794
243.815	15.851
244.253	16.019
244.493	16.262
244.630	16.549
244.718	16.864
244.784	17.197
244.842	17.546
244.901	17.907
244.965	18.278
245.046	18.657
245.158	19.037
245.330	19.407
245.616	19.744
246.117	20.005
247.022	20.109
248.701	19.918
251.855	19.202
257.039	17.820
262.609	16.330
266.121	15.502
267.741	15.272
268.495	15.319
268.929	15.470
269.239	15.664
269.492	15.879
269.716	16.108
269.929	16.347
270.150	16.592
270.409	16.833
270.751	17.059
271.249	17.248
272.003	17.367
273.123	17.378
274.631	17.264
276.349	17.069
277.932	16.893
279.117	16.825
279.875	16.886
280.318	17.049
280.573	17.278
280.728	17.549
280.835	17.846
280.925	18.157
281.019	18.478
281.141	18.800
281.326	19.111
281.639	19.390
282.197	19.594
283.188	19.651
284.792	19.488
286.920	19.119
289.049	18.720
290.658	18.485
291.677	18.457
292.304	18.574
292.736	18.769
293.103	18.997
293.504	19.224
294.040	19.415
294.846	19.522
296.070	19.490
297.763	19.290
299.713	18.984
301.501	18.713
302.857	18.581
303.840	18.583
304.748	18.637
306.138	18.593
308.978	18.186
313.938	17.211
319.216	16.100
322.394	15.497
323.714	15.371
324.206	15.468
324.409	15.646
324.514	15.856
324.584	16.081
324.639	16.316
324.686	16.558
324.730	16.807
324.772	17.063
324.814	17.326
324.857	17.596
324.903	17.872
324.955	18.153
325.022	18.438
325.115	18.723
325.267	19.001
325.543	19.251
326.092	19.433
327.223	19.457
329.415	19.180
332.887	18.528
336.804	17.728
339.905	17.145
341.918	16.862
343.210	16.778
344.095	16.801
344.728	16.890
345.188	17.024
345.530	17.191
345.796	17.382
346.023	17.588
346.238	17.802
346.466	18.019
346.728	18.231
347.043	18.434
347.426	18.621
347.884	18.790
348.414	18.940
348.995	19.074
349.597	19.201
350.180	19.333
350.719	19.477
351.210	19.639
351.685	19.810
352.234	19.969
353.051	20.062
354.508	19.985
357.098	19.596
360.850	18.872
364.688	18.106
367.523	17.607
369.358	17.382
370.632	17.312
371.638	17.313
372.487	17.353
373.211	17.423
373.817	17.520
374.317	17.644
374.727	17.792
375.067	17.960
375.359	18.143
375.624	18.337
375.882	18.537
376.159	18.737
376.502	18.927
377.031	19.081
378.109	19.124
380.780	18.840
386.913	17.838
395.771	16.250
402.202	15.128
405.009	14.735
406.086	14.693
406.568	14.772
406.842	14.893
407.029	15.034
407.170	15.185
407.283	15.343
407.377	15.508
407.457	15.679
407.527	15.855
407.590	16.035
407.648	16.221
407.702	16.410
407.755	16.603
407.808	16.801
407.862	17.002
407.919	17.207
407.981	17.414
408.049	17.625
408.127	17.838
408.218	18.052
408.326	18.267
408.456	18.481
408.615	18.692
408.813	18.898
409.060	19.096
409.367	19.282
409.752	19.453
410.228	19.602
410.816	19.724
411.539	19.813
412.423	19.861
413.504	19.859
414.802	19.801
416.297	19.689
417.891	19.547
419.417	19.416
420.718	19.335
421.719	19.328
422.440	19.393
422.948	19.515
423.318	19.676
423.613	19.862
423.877	20.060
424.145	20.261
424.447	20.458
424.815	20.641
425.297	20.798
425.964	20.909
426.926	20.945
428.319	20.867
430.243	20.649
432.640	20.305
435.280	19.900
437.953	19.499
440.616	19.118
443.266	18.753
445.749	18.427
447.834	18.186
449.406	18.055
450.527	18.023
451.342	18.060
451.990	18.137
452.574	18.231
453.173	18.326
453.844	18.409
454.643	18.468
455.621	18.492
456.824	18.470
458.277	18.397
459.962	18.275
461.804	18.120
463.672	17.956
465.420	17.813
466.937	17.713
468.173	17.665
469.134	17.671
469.862	17.723
470.412	17.812
470.833	17.928
471.170	18.063
471.459	18.211
471.732	18.365
472.016	18.520
472.342	18.670
472.743	18.807
473.259	18.924
473.934	19.009
474.804	19.054
475.879	19.055
477.120	19.018
478.438	18.960
479.720	18.906
480.876	18.875
481.869	18.878
482.710	18.913
483.434	18.974
484.078	19.053
484.666	19.145
485.210	19.248
485.712	19.360
486.166	19.482
486.569	19.617
486.920	19.765
487.219	19.927
487.476	20.100
487.701	20.284
487.919	20.473
488.170	20.660
488.550	20.824
489.283	20.920
490.867	20.840
494.108	20.411
499.225	19.571
504.445	18.681
507.835	18.158
509.491	17.996
510.242	18.026
510.612	18.139
510.827	18.287
510.974	18.452
511.087	18.626
511.183	18.807
511.271	18.993
511.356	19.182
511.441	19.375
511.530	19.570
511.624	19.767
511.725	19.965
511.835	20.165
511.955	20.365
512.089	20.566
512.242	20.766
512.443	20.959
512.795	21.129
513.740	21.197
516.991	20.860
526.540	19.405
540.423	17.149
548.229	15.932
550.744	15.642
551.609	15.644
552.078	15.716
552.456	15.805
552.822	15.898
553.203	15.990
553.606	16.080
554.034	16.167
554.486	16.252
554.954	16.335
555.431	16.417
555.907	16.499
556.373	16.583
556.820	16.670
557.240	16.761
557.630	16.857
557.986	16.958
558.310	17.066
558.602	17.179
558.865	17.298
559.102	17.423
559.316	17.552
559.512	17.686
559.692	17.825
559.859	17.967
560.017	18.113
560.168	18.261
560.318	18.413
560.473	18.565
560.643	18.718
560.848	18.867
561.119	19.008
561.517	19.130
562.139	19.217
563.140	19.242
564.716	19.170
567.014	18.973
569.957	18.663
573.166	18.303
576.212	17.972
578.928	17.704
581.401	17.485
583.737	17.293
585.919	17.126
587.836	16.994
589.386	16.913
590.555	16.886
591.399	16.906
592.005	16.963
592.457	17.043
592.820	17.139
